participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.payoff,player.id_in_group,player.payoff,player.cash,player.shares,player.periods_until_auto_buy,player.periods_until_auto_sell,player.shares_transacted,player.trans_cost,player.cash_after_trade,player.interest_earned,player.dividend_earned,player.cash_result,player.shares_result,player.f0,player.f1,player.f2,player.f3,player.fcast_rnd_0,player.fcast_rnd_1,player.fcast_rnd_2,player.fcast_rnd_3,player.forecast_error,player.forecast_reward,player.risk_1,player.risk_2,player.risk_3,player.risk_4,player.risk_rh,player.risk_rl,player.risk_sh,player.risk_sl,player.risk_phi_1,player.risk_phi_2,player.risk_phi_3,player.risk_phi_4,player.dose_r,player.dose_mu,group.id_in_subsession,group.price,group.volume,group.dividend,group.float,group.short,group.is_practice,subsession.round_number,session.code,session.label,session.mturk_HITId,session.is_demo
1,7yie36v5,561487ad7ffc8a0012812266,0,400,401,payment,FinalResultsPage,45342.73785,1,1286.78,2,0,100,4,-99,-99,3,-45,55,2.75,7,64.75,7,19,19,27,38,1,3,6,11,4,0,0,1,0,1,19.25,0.5,10,8,35,57,46,60,0.745893505,2.280349991,1,15,11,1,72,0,1,1,lztzt0mf,Pilot 2024-02-20,,0
2,n7xvxqf6,5dd2f94a238a913096c52317,0,400,401,payment,FinalResultsPage,45342.73786,1,1121.92,3,0,100,4,-99,-99,0,0,100,5,4,109,4,14,14,21,20,1,3,6,11,1,5,0,0,0,0,19.25,0.5,10,8,35,57,73,84,0.988723491,3.468524825,1,15,11,1,72,0,1,1,lztzt0mf,Pilot 2024-02-20,,0
3,37fxkf6n,63cff262503b56190be3eb18,0,400,401,payment,FinalResultsPage,45342.73787,1,944.51,4,0,100,4,-99,-99,3,-45,55,2.75,7,64.75,7,15,11,11,11,1,3,6,11,0,5,,0,0,0,19.25,0.5,10,8,35,35,57,73,0.697066643,3.190375636,1,15,11,1,72,0,1,1,lztzt0mf,Pilot 2024-02-20,,0
4,tua9l5ic,629e241d171ec6698e05f149,0,400,401,payment,FinalResultsPage,45342.73787,1,1089.02,5,0,100,4,-99,-99,-4,60,160,8,0,168,0,15,18,25,31,1,3,6,11,0,5,0,0,0,1,19.25,0.5,10,8,35,57,73,84,1.196851014,3.544614912,1,15,11,1,72,0,1,1,lztzt0mf,Pilot 2024-02-20,,0
5,3z5ajv7g,63254db937c17e8e9200fd54,0,400,401,payment,FinalResultsPage,45342.73787,1,1451.5,6,0,100,4,-99,-99,0,0,100,5,4,109,4,13,15,21,33,1,3,6,11,2,5,,0,0,0,19.25,0.5,10,8,35,35,57,73,0.697066643,3.190375636,1,15,11,1,72,0,1,1,lztzt0mf,Pilot 2024-02-20,,0
6,a053vavw,60c4e1091b936c7b812e5af4,0,400,401,payment,FinalResultsPage,45342.73789,1,722.43,7,0,100,4,-99,-99,0,0,100,5,4,109,4,14,15,15,13,1,3,6,11,1,5,,0,0,1,19.25,0.5,10,8,35,35,57,73,1.080986592,3.502255623,1,15,11,1,72,0,1,1,lztzt0mf,Pilot 2024-02-20,,0
7,5eiyjet7,5c8db07eb1f89a0016777fe0,0,400,401,payment,FinalResultsPage,45342.73789,1,1010.92,8,0,100,4,-99,-99,0,0,100,5,4,109,4,10,14,15,14,1,3,6,11,5,0,0,0,0,0,19.25,0.5,10,8,35,57,73,84,0.988723491,3.468524825,1,15,11,1,72,0,1,1,lztzt0mf,Pilot 2024-02-20,,0
8,xixbk2wi,5d4869cc692e5400197a980c,0,400,401,payment,FinalResultsPage,45342.73789,1,1159.59,9,0,100,4,-99,-99,1,-15,85,4.25,5,94.25,5,15,15,15,15,1,3,6,11,0,5,1,0,0,0,19.25,0.5,10,8,35,21,28,32,-0.383819636,2.955329565,1,15,11,1,72,0,1,1,lztzt0mf,Pilot 2024-02-20,,0
9,6w7zusl6,614f89a9441723072040d4de,0,400,401,payment,FinalResultsPage,45342.73797,1,876.38,10,0,100,4,-99,-99,-3,45,145,7.25,1,153.25,1,15,13,14,15,1,3,6,11,0,5,0,0,1,1,19.25,0.5,10,8,35,57,73,70,0.908454575,3.114831042,1,15,11,1,72,0,1,1,lztzt0mf,Pilot 2024-02-20,,0
10,aq32twsx,5e5e623737be5e1762ad4418,0,400,401,payment,FinalResultsPage,45342.73809,1,394.55,11,0,100,4,-99,-99,-4,60,160,8,0,168,0,9,15,12,,1,3,6,11,6,0,,1,1,1,19.25,0.5,10,8,35,35,21,15,-0.991447599,2.937947081,1,15,11,1,72,0,1,1,lztzt0mf,Pilot 2024-02-20,,0
11,3fjd4p07,5f3d6975ef131710ed519c7a,0,400,401,payment,FinalResultsPage,45342.73834,1,388.05,12,0,100,4,-99,-99,3,-45,55,2.75,7,64.75,7,11,15,12,17,1,3,6,11,4,0,0,1,1,0,19.25,0.5,10,8,35,57,46,41,-0.16596159,3.049685374,1,15,11,1,72,0,1,1,lztzt0mf,Pilot 2024-02-20,,0
12,grvtqx2k,59d9d9cd8fd07a0001842484,0,400,401,payment,FinalResultsPage,45342.73882,1,1059.89,13,0,100,4,-99,-99,0,0,100,5,4,109,4,15,13,19,14,1,3,6,11,0,5,0,,0,1,19.25,0.5,10,8,35,57,57,73,1.080986592,3.502255623,1,15,11,1,72,0,1,1,lztzt0mf,Pilot 2024-02-20,,0
13,q3eed83d,650d90ebf26334f992c31579,0,400,401,payment,FinalResultsPage,45342.73893,1,788.16,14,0,100,4,-99,-99,0,0,100,5,4,109,4,5,,4,,1,3,6,11,10,0,1,,,,19.25,0.5,10,8,35,21,21,21,0.598241406,3.187141063,1,15,11,1,72,0,1,1,lztzt0mf,Pilot 2024-02-20,,0
14,5t2lsf81,5ecc6ffce3ca77849333e83e,0,400,401,payment,FinalResultsPage,45342.74059,1,1189.72,15,0,100,4,-99,-99,0,0,100,5,4,109,4,15,14,16,,1,3,6,11,0,5,0,0,0,0,19.25,0.5,10,8,35,57,73,84,0.988723491,3.468524825,1,15,11,1,72,0,1,1,lztzt0mf,Pilot 2024-02-20,,0
15,kr5aqbg4,62bdc30224534809032cf056,0,400,401,payment,FinalResultsPage,45342.74061,1,1465.68,16,0,100,4,-99,-99,0,0,100,5,4,109,4,14,15,20,30,1,3,6,11,1,5,1,0,0,0,19.25,0.5,10,8,35,21,28,32,-0.383819636,2.955329565,1,15,11,1,72,0,1,1,lztzt0mf,Pilot 2024-02-20,,0
16,2q5u7nzm,64c0a2d8031339ab6ec5e54a,0,400,401,payment,FinalResultsPage,45342.74105,1,672.27,17,0,100,4,-99,-99,0,0,100,5,4,109,4,,,,,1,3,6,11,,0,0,0,0,0,19.25,0.5,10,8,35,57,73,84,0.988723491,3.468524825,1,15,11,1,72,0,1,1,lztzt0mf,Pilot 2024-02-20,,0
17,6mcv9x1g,59ac5e9f9fdf6c0001cba8bf,0,400,401,payment,FinalResultsPage,45342.74107,1,1090.24,18,0,100,4,-99,-99,1,-15,85,4.25,5,94.25,5,14,15,12,13,1,3,6,11,1,5,0,0,0,0,19.25,0.5,10,8,35,57,73,84,0.988723491,3.468524825,1,15,11,1,72,0,1,1,lztzt0mf,Pilot 2024-02-20,,0
18,9rew9efn,5e2e7d79acf5fe45b62f859a,0,400,401,payment,FinalResultsPage,45342.74302,1,1176.59,19,0,100,4,-99,-99,0,0,100,5,4,109,4,4,5,7,10,1,3,6,11,11,0,0,,,0,19.25,0.5,10,8,35,57,57,57,0.181668596,2.954555741,1,15,11,1,72,0,1,1,lztzt0mf,Pilot 2024-02-20,,0
1,7yie36v5,561487ad7ffc8a0012812266,0,400,401,payment,FinalResultsPage,45342.73785,1,1286.78,2,0,64.75,7,-99,-99,3,-48,16.75,0.84,10,27.59,10,19,21,33,36,2,4,7,12,3,0,0,0,0,1,20.5,1.75,9,8.75,28,42,57,82,1.180190574,3.214263017,1,16,10,1,72,0,1,2,lztzt0mf,Pilot 2024-02-20,,0
2,n7xvxqf6,5dd2f94a238a913096c52317,0,400,401,payment,FinalResultsPage,45342.73786,1,1121.92,3,0,109,4,-99,-99,-3,48,157,7.85,1,165.85,1,16,17,21,21,2,4,7,12,0,5,0,0,0,0,20.5,1.75,9,8.75,28,42,57,82,0.952276227,3.628598995,1,16,10,1,72,0,1,2,lztzt0mf,Pilot 2024-02-20,,0
3,37fxkf6n,63cff262503b56190be3eb18,0,400,401,payment,FinalResultsPage,45342.73787,1,944.51,4,0,64.75,7,-99,-99,0,0,64.75,3.24,7,74.99,7,15,16,23,25,2,4,7,12,1,5,0,0,1,1,20.5,1.75,9,8.75,28,42,57,56,0.881037269,3.277329495,1,16,10,1,72,0,1,2,lztzt0mf,Pilot 2024-02-20,,0
4,tua9l5ic,629e241d171ec6698e05f149,0,400,401,payment,FinalResultsPage,45342.73787,1,1089.02,5,0,168,0,-99,-99,0,0,168,8.4,0,176.4,0,15,16,17,18,2,4,7,12,1,5,0,0,0,1,20.5,1.75,9,8.75,28,42,57,82,1.180190574,3.214263017,1,16,10,1,72,0,1,2,lztzt0mf,Pilot 2024-02-20,,0
5,3z5ajv7g,63254db937c17e8e9200fd54,0,400,401,payment,FinalResultsPage,45342.73787,1,1451.5,6,0,109,4,-99,-99,0,0,109,5.45,4,118.45,4,15,18,26,22,2,4,7,12,1,5,1,1,0,0,20.5,1.75,9,8.75,28,19,15,17,-1.028132049,2.934311299,1,16,10,1,72,0,1,2,lztzt0mf,Pilot 2024-02-20,,0
