session,participant,part_label,clicked_button,market_bonus,forecast_bonus,risk_bonus,total_bonus,showup,total_payment
8h0lckuw,3gcizzkv,65d942ce4ea2fe978c283416,1,6.5766,1.1,2,9.68,12,21.68
8h0lckuw,jd7j4awn,5d453e8723a5bb0001492546,1,18.695899999999998,1.7,2,22.4,12,34.4
8h0lckuw,v04mphn3,5ed543442db0060a955d12e1,1,2.0336000000000003,1.4,2,5.43,12,17.43
8h0lckuw,6b7fjowl,46Y,1,15.4288,1.45,2,18.88,12,30.88
8h0lckuw,derjwt5u,5d012930cfeb82001817c9c9,1,3.4052,0.0,2,5.41,12,17.41
8h0lckuw,b9zh2kol,24O,1,12.076400000000001,1.8,2,15.88,12,27.880000000000003
8h0lckuw,a9xoky1h,6558c5afa08ee83a08287f09,1,2.033,0.95,2,4.98,12,16.98
8h0lckuw,716x33zn,41X,1,7.140700000000001,1.75,2,10.89,12,22.89
8h0lckuw,mlv9qutg,6287a8c4a6303ff156cd0853,1,3.4143,1.15,2,6.56,12,18.56
8h0lckuw,fzib88y3,5c1053202b16ba0001c86317,1,7.7192,0.7,2,10.42,12,22.42
8h0lckuw,bt39ucvn,16W,1,7.0552,1.2,2,10.26,12,22.259999999999998
8h0lckuw,4r69si1s,6480bdf6d433e2e158870605,1,1.3478,1.05,2,4.4,12,16.4
8h0lckuw,scgp2zzw,59e7d3f97f3d71000171def0,1,11.0614,1.9,2,14.96,12,26.96
8h0lckuw,3hucdghb,24Z,1,6.218500000000001,1.3,2,9.52,12,21.52
8h0lckuw,o2un372f,5d88db42c1d06e001a1fdcab,1,9.3558,0.85,2,12.21,12,24.21
8h0lckuw,o1smf3j5,5ecd4acdb218ec085c6eefe6,1,1.8024,0.45,2,4.25,12,16.25
8h0lckuw,zc2aypo5,77U,1,4.2463999999999995,1.0,2,7.25,12,19.25
8h0lckuw,ikjpcmk9,76J,1,6.416900000000001,1.15,2,9.57,12,21.57
8h0lckuw,11pag8tb,6517301b6d21d25e19c7e501,1,7.5531,0.0,2,9.55,12,21.55
8h0lckuw,d2wqwej0,63e537a4b33c1c72be91da82,1,0.6516,0.65,2,3.3,12,15.3
8h0lckuw,gaw5a4ki,6234d77291179c1badffad36,1,0.4644,0.3,2,2.76,12,14.76
8h0lckuw,4k6cvu2p,44J,0,0.14,0.0,2,2.14,12,14.14
8h0lckuw,mfngje4o,24I,0,0.14,0.0,2,2.14,12,14.14
8h0lckuw,rvta7rof,55W,0,0.14,0.0,2,2.14,12,14.14
8h0lckuw,yxyq8srf,73W,0,0.14,0.0,2,2.14,12,14.14
