session,participant,part_label,clicked_button,market_bonus,forecast_bonus,risk_bonus,quiz_bonus,total_bonus,showup,total_payment
pmyan048,s96xkv65,6018a5c0e1600b187ccb8693,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
pmyan048,060elvfs,60c12fe6ca8c4aa6d0185190,1,5.74,0.0,0.85,1.25,7.84,12.0,19.84
pmyan048,ldszmi8g,66469125811cb4b314cd04f4,1,4.98,0.01,0.95,0.75,6.69,12.0,18.69
pmyan048,5g8oz5t2,62728f0c68b9ecf571a2dbd4,1,5.41,0.0,0.15,0.5,6.06,12.0,18.06
pmyan048,was57sab,66467f5703bc98ffca9a248c,1,5.11,0.01,1.75,1.25,8.12,12.0,20.12
pmyan048,1vis1ts3,6625c9127eee9a3639d7e1af,1,3.59,0.01,0.1,0.5,4.2,12.0,16.2
pmyan048,n4wasbid,6680b99725961403f1c3ee3a,1,4.3,0.01,1.93,1.0,7.24,12.0,19.24
pmyan048,twjlwfmh,66857cc20736230620552dbc,1,3.25,0.01,0.8,0.75,4.81,12.0,16.81
pmyan048,78i2bx63,663ab8a4d5bff4596f9a9de7,1,0.87,0.0,0.9,0.5,2.27,12.0,14.27
pmyan048,i1ggdjpc,6675ebfe4ca3bfdd2a986877,1,1.27,0.0,0.05,1.0,2.32,12.0,14.32
pmyan048,r09n6nk6,663bb62ffe083ca847014fbb,1,2.86,0.04,1.0,0.75,4.65,12.0,16.65
pmyan048,6ek5x1dx,65d563ecf8df20ade2f17888,1,3.55,0.0,1.0,1.0,5.55,12.0,17.55
pmyan048,qi72aeol,8w4eyts6_17C,1,4.11,0.01,0.85,0.75,5.72,12.0,17.72
pmyan048,zcvku1t6,667d4f099343ca5b26b2932a,1,2.89,0.0,0.03,1.0,3.92,12.0,15.92
pmyan048,rio1mjch,8w4eyts6_76K,1,3.46,0.0,0.9,0.75,5.11,12.0,17.11
pmyan048,9vmh3iei,5de260b9553cee28d97b058d,1,7.0,0.0,1.73,1.25,9.98,12.0,21.98
pmyan048,7syrgg2l,60c3ba02dfcf64dbe7ae0396,1,4.14,0.0,1.05,0.75,5.94,12.0,17.94
pmyan048,fzoqscxw,663200f99991108a0c4dcb23,1,1.15,0.0,0.18,1.0,2.33,12.0,14.33
pmyan048,km9mu9xl,666228f8860c05fcca83ab1e,1,1.09,0.06,1.82,1.0,3.97,12.0,15.97
pmyan048,nbrqyleb,6630dd23d49aad3c932af33c,1,1.26,0.0,1.07,0.5,2.83,12.0,14.83
pmyan048,syury4uj,8w4eyts6_80C,1,3.14,0.0,1.75,1.25,6.14,12.0,18.14
pmyan048,cn90dpcx,6668b7620adc0e65f62c79d5,1,1.47,0.01,1.88,1.0,4.36,12.0,16.36
pmyan048,yyaz335o,8w4eyts6_62K,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
pmyan048,q9904ja4,6637c7d9fc91cd7d5c8b0d49,1,1.14,0.03,0.72,1.0,2.89,12.0,14.89
pmyan048,j1vdqjff,8w4eyts6_76S,1,3.72,0.01,1.1,1.25,6.08,12.0,18.08
pmyan048,wz55p7hh,pmyan048_65A,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
pmyan048,iginkwy8,pmyan048_94I,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
pmyan048,b2g9me3w,pmyan048_56Q,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
pmyan048,sxk2o69k,pmyan048_26T,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
pmyan048,dqgtyupz,pmyan048_81X,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
