participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.timeout,player.consent_given,player.quiz_1,player.quiz_2,player.quiz_3,player.quiz_4,player.quiz_5,player.quiz_1_init,player.quiz_2_init,player.quiz_3_init,player.quiz_4_init,player.quiz_5_init,player.quiz_grade,player.quiz_attempt,player.quiz_failed,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,0zwb3kg4,pdqr3ms5_21X,0,8,8,landingct,NoConsent,2024-07-15 17:15:35.236913,1,,,0.0,1,,0.0,0.0,0,,,,,,,,,,,0,0,0,1,1,pdqr3ms5,2024-07-15,,,Landing Page,0
2,4276u76b,pdqr3ms5_96L,0,7,8,landingct,ReadyToStart,2024-07-15 17:19:37.273389,1,,,0.0,2,,0.0,0.0,1,2,2,210,110,14,2,2,200,110,14,4,2,0,1,1,pdqr3ms5,2024-07-15,,,Landing Page,0
3,74xplejp,pdqr3ms5_52W,0,7,8,landingct,ReadyToStart,2024-07-15 17:21:16.498723,1,,,0.0,3,,0.0,0.0,1,2,2,210,110,14,1,5,210,110,14,3,2,0,1,1,pdqr3ms5,2024-07-15,,,Landing Page,0
4,w09rafav,pdqr3ms5_40O,0,7,8,landingct,ReadyToStart,2024-07-15 17:23:24.080534,1,,,0.0,4,,0.0,0.0,1,2,2,210,110,14,2,2,210,110,14,5,1,0,1,1,pdqr3ms5,2024-07-15,,,Landing Page,0
5,a7ugsvun,pdqr3ms5_91A,0,7,8,landingct,ReadyToStart,2024-07-15 17:27:17.744798,1,,,0.0,5,,0.0,0.0,1,2,2,210,110,14,1,2,210,110,14,4,2,0,1,1,pdqr3ms5,2024-07-15,,,Landing Page,0
6,cfzlly6k,pdqr3ms5_78T,0,7,8,landingct,ReadyToStart,2024-07-15 17:28:09.708260,1,,,0.0,6,,0.0,0.0,1,2,2,210,110,14,2,2,210,110,14,5,1,0,1,1,pdqr3ms5,2024-07-15,,,Landing Page,0
7,rbpvfrab,56bd7bf3d4e2180005a86846,0,7,8,landingct,ReadyToStart,2024-07-15 17:29:29.213717,1,,,0.0,7,,0.0,0.0,1,2,2,210,110,14,1,5,210,110,14,3,2,0,1,1,pdqr3ms5,2024-07-15,,,Landing Page,0
8,vm0bwgcl,60d13d406f3b34d6791c8831,0,7,8,landingct,ReadyToStart,2024-07-15 17:29:30.625212,1,,,0.0,8,,0.0,0.0,1,2,2,210,110,14,2,2,210,110,14,5,1,0,1,1,pdqr3ms5,2024-07-15,,,Landing Page,0
9,rgvy1g0t,60f4a2d142c69dc1121b6dbf,0,7,8,landingct,ReadyToStart,2024-07-15 17:29:36.115267,1,,,0.0,9,,0.0,0.0,1,2,2,210,110,14,2,5,210,110,14,4,2,0,1,1,pdqr3ms5,2024-07-15,,,Landing Page,0
10,zfzcbgu4,5b133bf71e55760001b9f8de,0,7,8,landingct,ReadyToStart,2024-07-15 17:29:40.091709,1,,,0.0,10,,0.0,0.0,1,2,2,210,110,14,2,1,200,105,29,1,2,0,1,1,pdqr3ms5,2024-07-15,,,Landing Page,0
