"Timestamp","Please enter the 3-digit ID. If you do not have it, enter the Prolific ID. ","Please enter your prolific ID:","Have you participated in similar trading experiments before?","On a scale from 1-10, how well did you understood the task and were able to trade as required?","Did you understand exactly what you had to do from the beginning?","Did you follow any strategy when trading? Please describe, be as detailed as possible","Do you have any suggestions to improve the experiment? i.e. the software, the trading instructions, time to enter orders, time to enter forecast, time to do the risk elicitation task etc. ","Do you own/trade stocks? ","Imagine you performed the tasks with another 99 persons. In terms of performance, on what place do you think you placed? How would you rate your outcome from 1-100?","How would you rate your risk-taking behavior in general, on a scale from 1-7.","How would you rate your financial risk-taking behavior, on a scale from 1-7.","You have been given $100. You can invest any part of this money in a risky asset. If the investment is successful, the risky asset returns 2.5 times the amount invested with a probability of one-half and nothing with a probability of one-half. You can also choose not to invest at all, in which case you will keep the money you have. How much would you like to invest? (write amount in dollars)","Choose what you prefer:","Choose what you prefer:","Choose what you prefer:","Choose what you prefer:","Choose what you prefer:","Choose what you prefer:","Choose what you prefer:","Choose what you prefer:","Choose what you prefer:","Choose what you prefer:","Choose what you prefer:","Choose what you prefer:",""
"2023/11/16 1:08:09 PM EST","","testmMT","","8","Yes, but partially, I understood more as I continued trading","Test","Test","","35","3","","","2","2","2","2","2","2","2","2","2","2","2","2","testMT"
"2023/11/16 4:16:43 PM EST","","test ross","","10","Yes, entirely","not really","none","","t","5","","","2","1","2","1","2","2","2","2","2","1","2","1","35f"
"2023/11/16 4:19:15 PM EST","","subj3_0816","","8","Yes, entirely","Intuition, tried to calculate carry and when it would be advantageous to buy","no","","1","5","","","1","1","1","1","2","2","2","2","2","2","2","2","42X"
"2023/11/16 4:19:27 PM EST","","Subject2_0816_CALTECH","","6","Yes, but partially, I understood more as I continued trading","Hold cash for 5% as much as possible until the end when price drops low enough then consider if dividend payment is enough... in retrospect, not worth dividends","Show dividends more clearly","","10","5","","","1","1","1","1","1","1","2","2","2","2","2","2","59L"
"2023/11/16 4:19:51 PM EST","","Subject1_0816_CALTECH","","7","Yes, but partially, I understood more as I continued trading","I tried to sell high, buy low. Recalled too late that the end price will be 14 dollars","Make the trading decision plot larger. It's hard to choose what price to","","30","3","","","1","1","1","1","1","1","1","2","2","2","2","2","15R"
"2023/11/16 4:23:47 PM EST","","MW_VTECH","","9","Yes, entirely","I initially tried to buy stocks in an attempt to sell them back after the price increased. A little after round 15, I started trying to sell all my stock before the price began to fall.","More time to enter orders and forecast would be helpful","","70","4","","","1","1","1","1","1","1","2","2","2","2","2","2","33X"
"2023/11/16 4:26:35 PM EST","","JG_VTECH","","7","Yes, but partially, I understood more as I continued trading","I tried to buy stock when it was cheap, and sell it before the experiment ended (I waited too long though, so it lost more value than I hoped)","1) The sliders are annoying, allow text entry as well (especially since there's limited time)

2) The formatting for ""Period"" is off (out of the box)

3) When getting close to the end, the forecast allows you to go farther than 30 periods (for a few rounds before the last few rounds)","","65","2","","","1","1","1","1","1","1","2","2","2","2","2","2","49J"
"2023/11/21 4:05:17 PM EST","","YG_VTECH","","7","Yes, but partially, I understood more as I continued trading","Buy low, sell high. ","time to enter orders is too short.","","35","1","","","1","1","1","1","1","1","2","2","2","2","2","2","46F"
"2023/11/21 4:05:58 PM EST","","SUBJECT3_1121_CALTECH","","8","Yes, but partially, I understood more as I continued trading","buy low, sell high","Make the lottery more exciting","","2","4","","","1","1","1","1","1","1","2","2","2","2","2","2","75M"
"2023/11/21 4:40:58 PM EST","","79H","","7","Yes, but partially, I understood more as I continued trading","Sell high, buy low","Lottery was kinda boring","","25","5","","","1","1","1","1","1","2","2","2","2","2","2","2","79H"
"2023/11/21 5:25:00 PM EST","","Subject1_1116_caltech","","8","Yes, but partially, I understood more as I continued trading","I follow my Wolf of Wall Street instinct ","The lottery system is a bit boring and strange. I only got to know how really it works at Round 20 (which make it less boring but still..)","","36","5","","","1","1","1","1","1","2","2","2","2","2","2","2","54G"
"2023/11/30 6:58:54 PM EST","","5dce29700ad506063969a4a5","","10","Yes, entirely","I just tried to buy low and sell high.","Just a little more time during the practice rounds to help the participant understand the stock market trading format.","","48","5","","","1","1","1","1","1","1","2","2","2","2","2","2","04R"
"2023/11/30 7:01:08 PM EST","","subject2_1130","","7","Yes, but partially, I understood more as I continued trading","Buy stock at low price","the color of the pie chart, limited time ","","50","2","","","1","1","1","1","1","1","1","1","1","2","2","2","30G"
"2023/11/30 7:15:40 PM EST","","subject3_1130","","6","Yes, but partially, I understood more as I continued trading","Wanted to buy a lot at start, or buy/sell single shares to push market graph up in low volume","Very difficult to enter responses, controls very small and twichy.  Would take 3 rounds before I could do what I wanted, then it would be too late.  Dragging is hard on laptops, make sure people have mice.","","20","3","","","1","1","1","1","1","1","1","2","2","2","2","2","61K"
