HR,Sample,Timestamp,Time,1701384603
71,0,1701384603,17:50:03.00,1
71.5,1,1701384604,17:50:04.00,
72,2,1701384605,17:50:05.00,
72,3,1701384606,17:50:06.00,
72.4,4,1701384607,17:50:07.00,
73,5,1701384608,17:50:08.00,
73.43,6,1701384609,17:50:09.00,
74.25,7,1701384610,17:50:10.00,
75.11,8,1701384611,17:50:11.00,
75.8,9,1701384612,17:50:12.00,
76.36,10,1701384613,17:50:13.00,
76.83,11,1701384614,17:50:14.00,
77.23,12,1701384615,17:50:15.00,
77.57,13,1701384616,17:50:16.00,
77.47,14,1701384617,17:50:17.00,
77.38,15,1701384618,17:50:18.00,
77.29,16,1701384619,17:50:19.00,
77.28,17,1701384620,17:50:20.00,
77.26,18,1701384621,17:50:21.00,
77.25,19,1701384622,17:50:22.00,
77.19,20,1701384623,17:50:23.00,
77.18,21,1701384624,17:50:24.00,
77.17,22,1701384625,17:50:25.00,
77.17,23,1701384626,17:50:26.00,
77.2,24,1701384627,17:50:27.00,
77.23,25,1701384628,17:50:28.00,
77.26,26,1701384629,17:50:29.00,
77.32,27,1701384630,17:50:30.00,
77.38,28,1701384631,17:50:31.00,
77.4,29,1701384632,17:50:32.00,
77.42,30,1701384633,17:50:33.00,
77.44,31,1701384634,17:50:34.00,
77.45,32,1701384635,17:50:35.00,
77.47,33,1701384636,17:50:36.00,
77.51,34,1701384637,17:50:37.00,
77.44,35,1701384638,17:50:38.00,
77.38,36,1701384639,17:50:39.00,
77.32,37,1701384640,17:50:40.00,
77.21,38,1701384641,17:50:41.00,
77.1,39,1701384642,17:50:42.00,
76.98,40,1701384643,17:50:43.00,
76.86,41,1701384644,17:50:44.00,
76.95,42,1701384645,17:50:45.00,
77,43,1701384646,17:50:46.00,
77.02,44,1701384647,17:50:47.00,
77.02,45,1701384648,17:50:48.00,
77,46,1701384649,17:50:49.00,
77.06,47,1701384650,17:50:50.00,
77.04,48,1701384651,17:50:51.00,
77.04,49,1701384652,17:50:52.00,
77.04,50,1701384653,17:50:53.00,
77.04,51,1701384654,17:50:54.00,
77.08,52,1701384655,17:50:55.00,
77.11,53,1701384656,17:50:56.00,
77.15,54,1701384657,17:50:57.00,
77.18,55,1701384658,17:50:58.00,
77.3,56,1701384659,17:50:59.00,
77.4,57,1701384660,17:51:00.00,
77.46,58,1701384661,17:51:01.00,
77.5,59,1701384662,17:51:02.00,
77.65,60,1701384663,17:51:03.00,
77.78,61,1701384664,17:51:04.00,
77.9,62,1701384665,17:51:05.00,
78.05,63,1701384666,17:51:06.00,
78.17,64,1701384667,17:51:07.00,
78.25,65,1701384668,17:51:08.00,
78.33,66,1701384669,17:51:09.00,
78.35,67,1701384670,17:51:10.00,
78.32,68,1701384671,17:51:11.00,
78.28,69,1701384672,17:51:12.00,
78.23,70,1701384673,17:51:13.00,
78.17,71,1701384674,17:51:14.00,
78.1,72,1701384675,17:51:15.00,
78.03,73,1701384676,17:51:16.00,
78.07,74,1701384677,17:51:17.00,
78.12,75,1701384678,17:51:18.00,
78.18,76,1701384679,17:51:19.00,
78.23,77,1701384680,17:51:20.00,
78.28,78,1701384681,17:51:21.00,
78.3,79,1701384682,17:51:22.00,
78.35,80,1701384683,17:51:23.00,
78.37,81,1701384684,17:51:24.00,
78.4,82,1701384685,17:51:25.00,
78.43,83,1701384686,17:51:26.00,
78.47,84,1701384687,17:51:27.00,
78.48,85,1701384688,17:51:28.00,
78.5,86,1701384689,17:51:29.00,
78.5,87,1701384690,17:51:30.00,
78.52,88,1701384691,17:51:31.00,
78.55,89,1701384692,17:51:32.00,
78.6,90,1701384693,17:51:33.00,
78.65,91,1701384694,17:51:34.00,
78.72,92,1701384695,17:51:35.00,
78.78,93,1701384696,17:51:36.00,
78.82,94,1701384697,17:51:37.00,
78.92,95,1701384698,17:51:38.00,
79.02,96,1701384699,17:51:39.00,
79.1,97,1701384700,17:51:40.00,
79.22,98,1701384701,17:51:41.00,
79.33,99,1701384702,17:51:42.00,
79.47,100,1701384703,17:51:43.00,
79.58,101,1701384704,17:51:44.00,
79.55,102,1701384705,17:51:45.00,
79.53,103,1701384706,17:51:46.00,
79.53,104,1701384707,17:51:47.00,
79.53,105,1701384708,17:51:48.00,
79.57,106,1701384709,17:51:49.00,
79.53,107,1701384710,17:51:50.00,
79.58,108,1701384711,17:51:51.00,
79.6,109,1701384712,17:51:52.00,
79.62,110,1701384713,17:51:53.00,
79.63,111,1701384714,17:51:54.00,
79.62,112,1701384715,17:51:55.00,
