session,participant,part_label,round_number,type,quantity,price,quantity_final,original_quantity,automatic,market_price,volume
pk07m2y3,l0grn7sz,67W,1,SELL,2,50.0,0,,0,26.0,1
pk07m2y3,l0grn7sz,67W,1,SELL,2,60.0,0,,0,26.0,1
pk07m2y3,jy2a5vzo,89L,1,BUY,5,14.0,0,,0,26.0,1
pk07m2y3,o15xzr8d,92Z,1,SELL,3,71.0,0,,0,26.0,1
pk07m2y3,atgr7a8d,92T,1,BUY,1,20.0,0,,0,26.0,1
pk07m2y3,atgr7a8d,92T,1,SELL,1,25.0,1,,0,26.0,1
pk07m2y3,dxuiq3eb,24E,1,BUY,1,26.0,1,,0,26.0,1
pk07m2y3,dxuiq3eb,24E,1,SELL,1,46.0,0,,0,26.0,1
pk07m2y3,l0grn7sz,67W,2,BUY,1,15.0,0,,0,28.0,2
pk07m2y3,l0grn7sz,67W,2,SELL,1,20.0,1,,0,28.0,2
pk07m2y3,jy2a5vzo,89L,2,BUY,5,14.0,0,,0,28.0,2
pk07m2y3,hh6sicch,07Q,2,SELL,1,28.0,1,,0,28.0,2
pk07m2y3,atgr7a8d,92T,2,BUY,1,35.0,1,,0,28.0,2
pk07m2y3,atgr7a8d,92T,2,SELL,1,43.0,0,,0,28.0,2
pk07m2y3,dxuiq3eb,24E,2,BUY,1,29.0,1,,0,28.0,2
pk07m2y3,dxuiq3eb,24E,2,SELL,1,32.0,0,,0,28.0,2
pk07m2y3,l0grn7sz,67W,3,BUY,1,36.0,1,,0,30.0,4
pk07m2y3,l0grn7sz,67W,3,SELL,2,43.0,0,,0,30.0,4
pk07m2y3,l0grn7sz,67W,3,BUY,1,36.0,1,,0,30.0,4
pk07m2y3,jy2a5vzo,89L,3,SELL,4,20.0,4,,0,30.0,4
pk07m2y3,o15xzr8d,92Z,3,BUY,1,28.0,0,,0,30.0,4
pk07m2y3,hh6sicch,07Q,3,SELL,2,33.0,0,,0,30.0,4
pk07m2y3,atgr7a8d,92T,3,BUY,2,47.0,2,,0,30.0,4
pk07m2y3,atgr7a8d,92T,3,SELL,2,59.0,0,,0,30.0,4
pk07m2y3,dxuiq3eb,24E,3,SELL,1,38.0,0,,0,30.0,4
pk07m2y3,l0grn7sz,67W,4,BUY,1,16.0,0,,0,22.0,2
pk07m2y3,l0grn7sz,67W,4,BUY,2,24.0,2,,0,22.0,2
pk07m2y3,l0grn7sz,67W,4,SELL,2,28.0,0,,0,22.0,2
pk07m2y3,l0grn7sz,67W,4,SELL,1,33.0,0,,0,22.0,2
pk07m2y3,jy2a5vzo,89L,4,BUY,5,14.0,0,,0,22.0,2
pk07m2y3,o15xzr8d,92Z,4,BUY,2,14.0,0,,0,22.0,2
pk07m2y3,hh6sicch,07Q,4,SELL,1,18.0,1,,0,22.0,2
pk07m2y3,atgr7a8d,92T,4,BUY,1,20.0,0,,0,22.0,2
pk07m2y3,atgr7a8d,92T,4,SELL,1,25.0,0,,0,22.0,2
pk07m2y3,dxuiq3eb,24E,4,BUY,1,17.0,0,,0,22.0,2
pk07m2y3,dxuiq3eb,24E,4,SELL,1,22.0,1,,0,22.0,2
pk07m2y3,dxuiq3eb,24E,4,SELL,3,23.0,0,,0,22.0,2
pk07m2y3,dxuiq3eb,24E,4,BUY,2,11.0,0,,0,22.0,2
