session,participant,part_label,clicked_button,market_bonus,forecast_bonus,risk_bonus,quiz_bonus,total_bonus,showup,total_payment
898aphuw,9oeq07qk,5700616b8a49c7000d0c73ad,1,2.66,0.01,0.72,0.25,3.64,12.0,15.64
898aphuw,somj9puo,5885f97f41da4500014d3645,1,4.25,0.0,0.7,0.75,5.7,12.0,17.7
898aphuw,tipxu5rn,kfzc0i99_59A,1,3.79,0.05,0.97,1.0,5.81,12.0,17.81
898aphuw,q292dlg8,5c9623dd35599200175642e4,1,1.95,0.04,1.1,0.25,3.34,12.0,15.34
898aphuw,m9t3mjpx,666e02576e916cd782e9ae12,1,3.86,0.03,1.07,1.25,6.21,12.0,18.21
898aphuw,qvstletj,kfzc0i99_82W,1,2.44,0.0,1.0,0.5,3.94,12.0,15.94
898aphuw,mogy0jjj,66429bad9e92786ee8928856,1,4.72,0.13,0.18,1.0,6.03,12.0,18.03
898aphuw,zxalivxa,kfzc0i99_50M,1,4.1,0.05,0.0,1.25,5.4,12.0,17.4
898aphuw,sdtf4ez6,65412ca42e0e2fbb27b8a7b2,1,4.83,0.05,1.8,1.0,7.68,12.0,19.68
898aphuw,nzqb1hvz,5bf0b1ecaf38d100016bd609,1,2.8,0.03,1.0,1.0,4.83,12.0,16.83
898aphuw,43rol51x,kfzc0i99_02E,1,3.8,0.04,1.02,1.0,5.86,12.0,17.86
898aphuw,4v7iwnmj,667b252c7a8e4a841804560d,1,3.87,0.0,0.15,1.0,5.02,12.0,17.02
898aphuw,9myb6b3u,66491e9882aaa64c5d0911d5,1,2.88,0.05,0.7,0.75,4.38,12.0,16.38
898aphuw,imvrfxus,61115178c8a4bbd5832f32ba,1,3.12,0.05,1.93,0.25,5.35,12.0,17.35
898aphuw,peblpes1,667b5427190429e5c81518f2,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
898aphuw,w5gqsid8,663c18b624172c32a8dbb066,1,2.72,0.04,0.9,0.75,4.41,12.0,16.41
898aphuw,5ee2gslk,6595e3b4dc9090390e4edb5f,1,2.54,0.03,1.75,1.25,5.57,12.0,17.57
898aphuw,ltm7qbf1,898aphuw_33G,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
898aphuw,kywso24r,898aphuw_30T,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
898aphuw,n7qznlxi,898aphuw_98O,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
898aphuw,zz2gu6js,898aphuw_15U,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
898aphuw,hvzsupki,898aphuw_24Q,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
898aphuw,886q3x0k,898aphuw_16N,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
898aphuw,ybc8fymw,898aphuw_60C,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
898aphuw,cvfpfos2,898aphuw_30A,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
