session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
53eami3v,1,u5i7xem4,0,,InitializeParticipant,1720630284,1,0,0
wdx26uvx,1,e9799njm,0,,InitializeParticipant,1720631694,1,0,0
wdx26uvx,2,eh7t9kyo,0,,InitializeParticipant,1720631715,1,0,0
wdx26uvx,3,z42in9i1,0,,InitializeParticipant,1720631747,1,0,0
d01q58pi,1,lvbas7hr,0,,InitializeParticipant,1720632120,1,0,0
d01q58pi,2,faf0un1o,0,,InitializeParticipant,1720632230,1,0,0
d01q58pi,2,faf0un1o,1,landingct,Consent,1720632394,1,0,0
d01q58pi,3,0oi15uir,0,,InitializeParticipant,1720632616,1,0,0
d01q58pi,4,z9b5c209,0,,InitializeParticipant,1720632660,1,0,0
d01q58pi,5,el9ele82,0,,InitializeParticipant,1720632692,1,0,0
d01q58pi,6,p5g69c8m,0,,InitializeParticipant,1720632696,1,0,0
d01q58pi,7,rkgtr7po,0,,InitializeParticipant,1720632731,1,0,0
d01q58pi,8,lkrhekp2,0,,InitializeParticipant,1720632732,1,0,0
d01q58pi,9,iq6a9fa9,0,,InitializeParticipant,1720632741,1,0,0
d01q58pi,10,erub9iiz,0,,InitializeParticipant,1720632743,1,0,0
d01q58pi,11,qzcgqd9i,0,,InitializeParticipant,1720632744,1,0,0
d01q58pi,12,zp5txlj3,0,,InitializeParticipant,1720632744,1,0,0
d01q58pi,13,akh9kjw6,0,,InitializeParticipant,1720632751,1,0,0
d01q58pi,14,q5pfmm5d,0,,InitializeParticipant,1720632754,1,0,0
d01q58pi,16,5mb8se05,0,,InitializeParticipant,1720632756,1,0,0
d01q58pi,15,o2r9q250,0,,InitializeParticipant,1720632756,1,0,0
d01q58pi,17,kagd35xw,0,,InitializeParticipant,1720632759,1,0,0
d01q58pi,10,erub9iiz,1,landingct,Consent,1720632777,1,0,0
d01q58pi,18,dins578t,0,,InitializeParticipant,1720632778,1,0,0
d01q58pi,19,ejykh7tc,0,,InitializeParticipant,1720632780,1,0,0
d01q58pi,9,iq6a9fa9,1,landingct,Consent,1720632802,1,0,0
d01q58pi,14,q5pfmm5d,1,landingct,Consent,1720632804,1,0,0
d01q58pi,20,qlod72bl,0,,InitializeParticipant,1720632805,1,0,0
d01q58pi,21,irl6ma8o,0,,InitializeParticipant,1720632807,1,0,0
d01q58pi,13,akh9kjw6,1,landingct,Consent,1720632815,1,0,0
d01q58pi,8,lkrhekp2,1,landingct,Consent,1720632821,1,0,0
d01q58pi,17,kagd35xw,1,landingct,Consent,1720632825,1,0,0
d01q58pi,18,dins578t,1,landingct,Consent,1720632827,1,0,0
d01q58pi,22,t5ds5k4m,0,,InitializeParticipant,1720632853,1,0,0
d01q58pi,12,zp5txlj3,1,landingct,Consent,1720632858,1,0,0
d01q58pi,11,qzcgqd9i,1,landingct,Consent,1720632877,1,0,0
d01q58pi,7,rkgtr7po,1,landingct,Consent,1720632882,1,0,0
d01q58pi,20,qlod72bl,1,landingct,Consent,1720632895,1,0,0
d01q58pi,16,5mb8se05,1,landingct,Consent,1720632906,1,0,0
d01q58pi,6,p5g69c8m,1,landingct,Consent,1720632942,1,0,0
d01q58pi,3,0oi15uir,1,landingct,Consent,1720632943,1,0,0
d01q58pi,2,faf0un1o,2,landingct,Instructions,1720632944,1,0,0
d01q58pi,23,gqbcwcow,0,,InitializeParticipant,1720632966,1,0,0
d01q58pi,2,faf0un1o,3,landingct,QuizInstructions,1720632979,1,0,0
d01q58pi,21,irl6ma8o,1,landingct,Consent,1720633013,1,0,0
d01q58pi,4,z9b5c209,1,landingct,Consent,1720633022,1,0,0
d01q58pi,1,lvbas7hr,1,landingct,Consent,1720633028,1,1,0
d01q58pi,24,ktqdbyvh,0,,InitializeParticipant,1720633069,1,0,0
d01q58pi,5,el9ele82,1,landingct,Consent,1720633078,1,0,0
d01q58pi,19,ejykh7tc,1,landingct,Consent,1720633080,1,0,0
d01q58pi,1,lvbas7hr,3,landingct,QuizInstructions,1720633089,1,1,0
d01q58pi,23,gqbcwcow,1,landingct,Consent,1720633099,1,0,0
d01q58pi,25,466v5p68,0,,InitializeParticipant,1720633114,1,0,0
d01q58pi,26,vrnt5ijr,0,,InitializeParticipant,1720633117,1,0,0
d01q58pi,10,erub9iiz,2,landingct,Instructions,1720633120,1,0,0
d01q58pi,2,faf0un1o,4,landingct,Quiz,1720633128,1,0,0
d01q58pi,10,erub9iiz,3,landingct,QuizInstructions,1720633128,1,0,0
d01q58pi,23,gqbcwcow,3,landingct,QuizInstructions,1720633166,1,1,0
d01q58pi,27,e2pxkyth,0,,InitializeParticipant,1720633168,1,0,0
d01q58pi,28,x3knwmas,0,,InitializeParticipant,1720633171,1,0,0
d01q58pi,25,466v5p68,1,landingct,Consent,1720633182,1,0,0
d01q58pi,24,ktqdbyvh,1,landingct,Consent,1720633213,1,0,0
d01q58pi,29,gwy4n2hf,0,,InitializeParticipant,1720633232,1,0,0
d01q58pi,28,x3knwmas,1,landingct,Consent,1720633256,1,0,0
d01q58pi,30,9u547af0,0,,InitializeParticipant,1720633267,1,0,0
d01q58pi,31,wo1r15pv,0,,InitializeParticipant,1720633270,1,0,0
d01q58pi,32,gqw57r9p,0,,InitializeParticipant,1720633285,1,0,0
d01q58pi,33,b7wdimcc,0,,InitializeParticipant,1720633285,1,0,0
d01q58pi,34,c9031jss,0,,InitializeParticipant,1720633285,1,0,0
d01q58pi,35,ruylxf6m,0,,InitializeParticipant,1720633285,1,0,0
d01q58pi,10,erub9iiz,4,landingct,Quiz,1720633287,1,0,0
d01q58pi,2,faf0un1o,5,landingct,Survey1,1720633288,1,0,0
d01q58pi,30,9u547af0,1,landingct,Consent,1720633333,1,0,0
d01q58pi,9,iq6a9fa9,2,landingct,Instructions,1720633343,1,0,0
d01q58pi,13,akh9kjw6,2,landingct,Instructions,1720633346,1,0,0
d01q58pi,17,kagd35xw,2,landingct,Instructions,1720633348,1,0,0
d01q58pi,13,akh9kjw6,3,landingct,QuizInstructions,1720633356,1,0,0
d01q58pi,17,kagd35xw,3,landingct,QuizInstructions,1720633359,1,0,0
d01q58pi,22,t5ds5k4m,1,landingct,Consent,1720633367,1,0,0
d01q58pi,9,iq6a9fa9,3,landingct,QuizInstructions,1720633374,1,0,0
d01q58pi,10,erub9iiz,5,landingct,Survey1,1720633381,1,0,0
d01q58pi,14,q5pfmm5d,2,landingct,Instructions,1720633395,1,0,0
d01q58pi,11,qzcgqd9i,2,landingct,Instructions,1720633399,1,0,0
d01q58pi,14,q5pfmm5d,3,landingct,QuizInstructions,1720633405,1,0,0
d01q58pi,11,qzcgqd9i,3,landingct,QuizInstructions,1720633407,1,0,0
d01q58pi,12,zp5txlj3,2,landingct,Instructions,1720633409,1,0,0
d01q58pi,8,lkrhekp2,2,landingct,Instructions,1720633415,1,0,0
d01q58pi,12,zp5txlj3,3,landingct,QuizInstructions,1720633419,1,0,0
d01q58pi,8,lkrhekp2,3,landingct,QuizInstructions,1720633430,1,0,0
d01q58pi,18,dins578t,2,landingct,Instructions,1720633438,1,0,0
d01q58pi,7,rkgtr7po,2,landingct,Instructions,1720633440,1,0,0
d01q58pi,16,5mb8se05,2,landingct,Instructions,1720633444,1,0,0
d01q58pi,29,gwy4n2hf,1,landingct,Consent,1720633445,1,0,0
d01q58pi,18,dins578t,3,landingct,QuizInstructions,1720633445,1,0,0
d01q58pi,16,5mb8se05,3,landingct,QuizInstructions,1720633453,1,0,0
d01q58pi,7,rkgtr7po,3,landingct,QuizInstructions,1720633458,1,0,0
d01q58pi,17,kagd35xw,4,landingct,Quiz,1720633484,1,0,0
d01q58pi,9,iq6a9fa9,4,landingct,Quiz,1720633501,1,0,0
d01q58pi,20,qlod72bl,2,landingct,Instructions,1720633502,1,0,0
d01q58pi,20,qlod72bl,3,landingct,QuizInstructions,1720633510,1,0,0
d01q58pi,11,qzcgqd9i,4,landingct,Quiz,1720633525,1,0,0
d01q58pi,15,o2r9q250,1,landingct,Consent,1720633539,1,0,0
d01q58pi,3,0oi15uir,2,landingct,Instructions,1720633544,1,0,0
d01q58pi,12,zp5txlj3,4,landingct,Quiz,1720633548,1,0,0
d01q58pi,3,0oi15uir,3,landingct,QuizInstructions,1720633556,1,0,0
d01q58pi,18,dins578t,4,landingct,Quiz,1720633561,1,0,0
d01q58pi,19,ejykh7tc,2,landingct,Instructions,1720633573,1,0,0
d01q58pi,4,z9b5c209,2,landingct,Instructions,1720633573,1,0,0
d01q58pi,9,iq6a9fa9,5,landingct,Survey1,1720633575,1,0,0
d01q58pi,13,akh9kjw6,4,landingct,Quiz,1720633582,1,0,0
d01q58pi,19,ejykh7tc,3,landingct,QuizInstructions,1720633584,1,0,0
d01q58pi,4,z9b5c209,3,landingct,QuizInstructions,1720633585,1,0,0
d01q58pi,16,5mb8se05,4,landingct,Quiz,1720633589,1,0,0
d01q58pi,12,zp5txlj3,5,landingct,Survey1,1720633611,1,0,0
d01q58pi,14,q5pfmm5d,4,landingct,Quiz,1720633616,1,0,0
d01q58pi,11,qzcgqd9i,5,landingct,Survey1,1720633619,1,0,0
d01q58pi,17,kagd35xw,5,landingct,Survey1,1720633624,1,0,0
d01q58pi,7,rkgtr7po,4,landingct,Quiz,1720633631,1,0,0
d01q58pi,18,dins578t,5,landingct,Survey1,1720633641,1,0,0
d01q58pi,5,el9ele82,2,landingct,Instructions,1720633652,1,0,0
d01q58pi,6,p5g69c8m,2,landingct,Instructions,1720633671,1,1,0
d01q58pi,20,qlod72bl,4,landingct,Quiz,1720633673,1,0,0
d01q58pi,5,el9ele82,3,landingct,QuizInstructions,1720633675,1,0,0
d01q58pi,14,q5pfmm5d,5,landingct,Survey1,1720633683,1,0,0
d01q58pi,25,466v5p68,2,landingct,Instructions,1720633711,1,0,0
d01q58pi,25,466v5p68,3,landingct,QuizInstructions,1720633716,1,0,0
d01q58pi,6,p5g69c8m,3,landingct,QuizInstructions,1720633738,1,1,0
d01q58pi,24,ktqdbyvh,2,landingct,Instructions,1720633739,1,0,0
d01q58pi,21,irl6ma8o,2,landingct,Instructions,1720633741,1,1,0
d01q58pi,7,rkgtr7po,5,landingct,Survey1,1720633745,1,0,0
d01q58pi,24,ktqdbyvh,3,landingct,QuizInstructions,1720633752,1,0,0
d01q58pi,4,z9b5c209,4,landingct,Quiz,1720633771,1,0,0
d01q58pi,3,0oi15uir,4,landingct,Quiz,1720633773,1,0,0
d01q58pi,25,466v5p68,4,landingct,Quiz,1720633775,1,0,0
d01q58pi,21,irl6ma8o,3,landingct,QuizInstructions,1720633807,1,1,0
d01q58pi,28,x3knwmas,2,landingct,Instructions,1720633815,1,0,0
d01q58pi,20,qlod72bl,5,landingct,Survey1,1720633817,1,0,0
d01q58pi,28,x3knwmas,3,landingct,QuizInstructions,1720633824,1,0,0
d01q58pi,30,9u547af0,2,landingct,Instructions,1720633857,1,0,0
d01q58pi,31,wo1r15pv,1,landingct,Consent,1720633866,1,0,0
d01q58pi,13,akh9kjw6,5,landingct,Survey1,1720633868,1,0,0
d01q58pi,25,466v5p68,5,landingct,Survey1,1720633875,1,0,0
d01q58pi,30,9u547af0,3,landingct,QuizInstructions,1720633876,1,0,0
d01q58pi,8,lkrhekp2,4,landingct,Quiz,1720633893,1,0,0
d01q58pi,24,ktqdbyvh,4,landingct,Quiz,1720633902,1,0,0
d01q58pi,22,t5ds5k4m,2,landingct,Instructions,1720633930,1,0,0
d01q58pi,16,5mb8se05,5,landingct,Survey1,1720633940,1,0,0
d01q58pi,22,t5ds5k4m,3,landingct,QuizInstructions,1720633944,1,0,0
d01q58pi,29,gwy4n2hf,2,landingct,Instructions,1720633971,1,0,0
d01q58pi,15,o2r9q250,2,landingct,Instructions,1720633987,1,0,0
d01q58pi,29,gwy4n2hf,3,landingct,QuizInstructions,1720633988,1,0,0
d01q58pi,15,o2r9q250,3,landingct,QuizInstructions,1720634021,1,0,0
d01q58pi,26,vrnt5ijr,1,landingct,Consent,1720634026,1,1,0
d01q58pi,28,x3knwmas,4,landingct,Quiz,1720634038,1,0,0
d01q58pi,8,lkrhekp2,5,landingct,Survey1,1720634043,1,0,0
d01q58pi,4,z9b5c209,5,landingct,Survey1,1720634047,1,0,0
d01q58pi,19,ejykh7tc,4,landingct,Quiz,1720634061,1,0,0
d01q58pi,3,0oi15uir,5,landingct,Survey1,1720634071,1,0,0
d01q58pi,24,ktqdbyvh,5,landingct,Survey1,1720634073,1,0,0
d01q58pi,27,e2pxkyth,1,landingct,Consent,1720634075,1,1,0
d01q58pi,5,el9ele82,4,landingct,Quiz,1720634082,1,0,0
d01q58pi,26,vrnt5ijr,3,landingct,QuizInstructions,1720634093,1,1,0
d01q58pi,22,t5ds5k4m,4,landingct,Quiz,1720634136,1,0,0
d01q58pi,27,e2pxkyth,3,landingct,QuizInstructions,1720634141,1,1,0
d01q58pi,28,x3knwmas,5,landingct,Survey1,1720634167,1,0,0
d01q58pi,32,gqw57r9p,1,landingct,Consent,1720634192,1,1,0
d01q58pi,33,b7wdimcc,1,landingct,Consent,1720634192,1,1,0
d01q58pi,34,c9031jss,1,landingct,Consent,1720634192,1,1,0
d01q58pi,35,ruylxf6m,1,landingct,Consent,1720634192,1,1,0
d01q58pi,30,9u547af0,4,landingct,Quiz,1720634219,1,0,0
d01q58pi,29,gwy4n2hf,4,landingct,Quiz,1720634237,1,0,0
d01q58pi,32,gqw57r9p,3,landingct,QuizInstructions,1720634258,1,1,0
d01q58pi,33,b7wdimcc,3,landingct,QuizInstructions,1720634258,1,1,0
d01q58pi,34,c9031jss,3,landingct,QuizInstructions,1720634258,1,1,0
d01q58pi,35,ruylxf6m,3,landingct,QuizInstructions,1720634261,1,1,0
d01q58pi,6,p5g69c8m,4,landingct,Quiz,1720634346,1,1,0
d01q58pi,22,t5ds5k4m,5,landingct,Survey1,1720634369,1,0,0
d01q58pi,31,wo1r15pv,2,landingct,Instructions,1720634411,1,0,0
d01q58pi,21,irl6ma8o,4,landingct,Quiz,1720634415,1,1,0
d01q58pi,15,o2r9q250,4,landingct,Quiz,1720634419,1,0,0
d01q58pi,31,wo1r15pv,3,landingct,QuizInstructions,1720634427,1,0,0
d01q58pi,5,el9ele82,5,landingct,Survey1,1720634486,1,0,0
d01q58pi,19,ejykh7tc,5,landingct,Survey1,1720634536,1,0,0
