participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.cash,player.shares,player.periods_until_auto_buy,player.periods_until_auto_sell,player.shares_transacted,player.trans_cost,player.cash_after_trade,player.interest_earned,player.dividend_earned,player.cash_result,player.shares_result,player.f0,player.f1,player.f2,player.f3,player.fcast_rnd_0,player.fcast_rnd_1,player.fcast_rnd_2,player.fcast_rnd_3,player.forecast_error,player.forecast_reward,player.forecast_bonus_data,player.risk,player.risk_1,player.risk_2,player.risk_3,player.risk_4,player.risk_rh,player.risk_rl,player.risk_sh,player.risk_sl,player.risk_phi_1,player.risk_phi_2,player.risk_phi_3,player.risk_phi_4,player.risk_reward,player.dr,player.dmu,player.dose_r,player.dose_mu,group.id_in_subsession,group.price,group.volume,group.dividend,group.float,group.short,group.is_practice,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,9zzvwwot,6686ebe474531e4a1975636f,0,367,368,payment,FinalResultsPage,2024-09-12 16:12:51.612548,1,,,1256.1,1,,0.0,100.0,4,-99,-99,0,0.0,100.0,5.0,1.6,106.6,4,14,15,15,15,1,3,6,11,0.0,2.5,,,0,1,0,1,19.25,0.5,10.0,8.0,35.0,57.0,46.0,60.0,,,,0.745893505205101,2.2803499913889307,1,14.0,3,0.4,52,0,1,1,31ulkmb6,2024-09-12,,,Market Experiment,0
2,q15qfbqw,60f4a2d142c69dc1121b6dbf,0,367,368,payment,FinalResultsPage,2024-09-12 16:12:52.631068,1,,,1083.42,2,,0.0,100.0,4,-99,-99,-2,28.0,128.0,6.4,0.8,135.2,2,16,17,21,29,1,3,6,11,2.0,2.5,,,0,1,0,0,19.25,0.5,10.0,8.0,35.0,57.0,46.0,60.0,,,,0.24430764785695816,3.211539223886089,1,14.0,3,0.4,52,0,1,1,31ulkmb6,2024-09-12,,,Market Experiment,0
3,o6rqm26r,31ulkmb6_21A,0,368,368,payment,NonParticipantPage,2024-09-12 16:12:53.105591,1,,,0.0,3,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,1,14.0,3,0.4,52,0,1,1,31ulkmb6,2024-09-12,,,Market Experiment,0
4,qapuvuc0,5c95493ddd325800166f838a,0,367,368,payment,FinalResultsPage,2024-09-12 16:12:54.042883,1,,,1218.49,4,,0.0,100.0,4,-99,-99,0,0.0,100.0,5.0,1.6,106.6,4,15,15,20,26,1,3,6,11,1.0,2.5,,,0,0,0,0,19.25,0.5,10.0,8.0,35.0,57.0,73.0,84.0,,,,0.9887234909914421,3.4685248251977425,1,14.0,3,0.4,52,0,1,1,31ulkmb6,2024-09-12,,,Market Experiment,0
5,6dsa3uub,6480bdf6d433e2e158870605,0,367,368,payment,FinalResultsPage,2024-09-12 16:12:54.269652,1,,,1023.56,5,,0.0,100.0,4,-99,-99,0,0.0,100.0,5.0,1.6,106.6,4,1,5,3,12,1,3,6,11,13.0,0.0,,,,0,,0,19.25,0.5,10.0,8.0,35.0,35.0,57.0,57.0,,,,0.18166859633110588,2.9545557406274625,1,14.0,3,0.4,52,0,1,1,31ulkmb6,2024-09-12,,,Market Experiment,0
6,zkj50deu,5b9c2c816f92f30001ecce7a,0,367,368,payment,FinalResultsPage,2024-09-12 16:12:54.659454,1,,,1091.37,6,,0.0,100.0,4,-99,-99,0,0.0,100.0,5.0,1.6,106.6,4,14,16,20,25,1,3,6,11,0.0,2.5,,,0,0,1,0,19.25,0.5,10.0,8.0,35.0,57.0,73.0,70.0,,,,0.5447911240686477,3.244794978678981,1,14.0,3,0.4,52,0,1,1,31ulkmb6,2024-09-12,,,Market Experiment,0
7,vu4x2lms,651c4484ba17050f6b716614,0,367,368,payment,FinalResultsPage,2024-09-12 16:12:54.901593,1,,,1178.43,7,,0.0,100.0,4,-99,-99,2,-28.0,72.0,3.6,2.4,78.0,6,15,19,24,32,1,3,6,11,1.0,2.5,,,0,1,0,0,19.25,0.5,10.0,8.0,35.0,57.0,46.0,60.0,,,,0.24430764785695816,3.211539223886089,1,14.0,3,0.4,52,0,1,1,31ulkmb6,2024-09-12,,,Market Experiment,0
8,ltxisr5x,65412ca42e0e2fbb27b8a7b2,0,367,368,payment,FinalResultsPage,2024-09-12 16:12:55.187312,1,,,1432.39,8,,0.0,100.0,4,-99,-99,0,0.0,100.0,5.0,1.6,106.6,4,15,15,15,13,1,3,6,11,1.0,2.5,,,0,0,0,1,19.25,0.5,10.0,8.0,35.0,57.0,73.0,84.0,,,,1.1968510138127109,3.5446149124240476,1,14.0,3,0.4,52,0,1,1,31ulkmb6,2024-09-12,,,Market Experiment,0
9,q2mghs8c,5658000ca9872d0011e1ba26,0,367,368,payment,FinalResultsPage,2024-09-12 16:12:55.873260,1,,,828.25,9,,0.0,100.0,4,-99,-99,0,0.0,100.0,5.0,1.6,106.6,4,14,16,17,22,1,3,6,11,0.0,2.5,,,0,,1,1,19.25,0.5,10.0,8.0,35.0,57.0,57.0,46.0,,,,0.4017730218869266,2.9192062989446423,1,14.0,3,0.4,52,0,1,1,31ulkmb6,2024-09-12,,,Market Experiment,0
10,yclbankj,666e02576e916cd782e9ae12,0,367,368,payment,FinalResultsPage,2024-09-12 16:12:56.327978,1,,,1095.94,10,,0.0,100.0,4,-99,-99,1,-14.0,86.0,4.3,2.0,92.3,5,15,17,19,20,1,3,6,11,1.0,2.5,,,0,1,1,0,19.25,0.5,10.0,8.0,35.0,57.0,46.0,41.0,,,,-0.16596158972904831,3.049685374491532,1,14.0,3,0.4,52,0,1,1,31ulkmb6,2024-09-12,,,Market Experiment,0
