participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.timeout,player.consent_given,player.quiz_1,player.quiz_2,player.quiz_3,player.quiz_4,player.quiz_5,player.quiz_1_init,player.quiz_2_init,player.quiz_3_init,player.quiz_4_init,player.quiz_5_init,player.quiz_grade,player.quiz_attempt,player.quiz_failed,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,byxbk489,659daa1ed4e13d6428103c1f,0,9,9,landingct,NoConsent,2024-09-28 17:28:38.257315,1,,,0.0,1,,0.0,0.0,1,2,2,210,110,14,2,2,205,105,14,3,2,0,1,1,0aselv7m,2024-09-28,,,Landing Page,0
2,vzpwji9y,5c9623dd35599200175642e4,0,9,9,landingct,NoConsent,2024-09-28 17:28:41.869368,1,,,0.0,2,,0.0,0.0,1,2,2,210,110,14,2,5,200,114,29,1,2,0,1,1,0aselv7m,2024-09-28,,,Landing Page,0
3,52nbmn8v,651c4484ba17050f6b716614,0,9,9,landingct,NoConsent,2024-09-28 17:28:51.799905,1,,,0.0,3,,0.0,0.0,1,2,2,210,110,14,2,2,210,110,14,5,1,0,1,1,0aselv7m,2024-09-28,,,Landing Page,0
4,mhoarciy,632b947efa9da6a9bde31f94,0,9,9,landingct,NoConsent,2024-09-28 17:28:54.136043,1,,,0.0,4,,0.0,0.0,1,2,2,210,110,14,2,2,205,105,,2,30,0,1,1,0aselv7m,2024-09-28,,,Landing Page,0
5,ql372uyn,5d88db42c1d06e001a1fdcab,0,9,9,landingct,NoConsent,2024-09-28 17:28:55.023864,1,,,0.0,5,,0.0,0.0,1,2,2,210,110,14,2,2,210,110,14,5,1,0,1,1,0aselv7m,2024-09-28,,,Landing Page,0
6,gfqc5sqi,59e7d3f97f3d71000171def0,0,9,9,landingct,NoConsent,2024-09-28 17:29:03.877706,1,,,0.0,6,,0.0,0.0,1,2,2,210,110,14,2,2,210,105,14,4,2,0,1,1,0aselv7m,2024-09-28,,,Landing Page,0
7,svjgur81,664299802cd8985e29fc6573,0,9,9,landingct,NoConsent,2024-09-28 17:29:05.245776,1,,,0.0,7,,0.0,0.0,1,2,2,210,110,14,2,2,210,110,14,5,1,0,1,1,0aselv7m,2024-09-28,,,Landing Page,0
8,ikae49m7,6634fcc04fdb39573179fb61,0,9,9,landingct,NoConsent,2024-09-28 17:29:07.361655,1,,,0.0,8,,0.0,0.0,1,2,2,210,110,14,2,2,210,110,14,5,1,0,1,1,0aselv7m,2024-09-28,,,Landing Page,0
9,c82r1xfa,6698155ab3119d4c4e19ce24,0,9,9,landingct,NoConsent,2024-09-28 17:29:09.684215,1,,,0.0,9,,0.0,0.0,1,2,2,210,110,14,2,5,200,110,29,2,4,0,1,1,0aselv7m,2024-09-28,,,Landing Page,0
10,th8lxn9g,5fb5ef0ab61b9e02d5752768,0,9,9,landingct,NoConsent,2024-09-28 17:29:12.125199,1,,,0.0,10,,0.0,0.0,1,2,2,210,110,14,2,5,200,110,14,3,3,0,1,1,0aselv7m,2024-09-28,,,Landing Page,0
11,h75494yt,5658000ca9872d0011e1ba26,0,9,9,landingct,NoConsent,2024-09-28 17:29:15.675014,1,,,0.0,11,,0.0,0.0,1,2,2,210,110,14,2,1,210,110,14,4,2,0,1,1,0aselv7m,2024-09-28,,,Landing Page,0
12,rms4illy,65d563ecf8df20ade2f17888,0,9,9,landingct,NoConsent,2024-09-28 17:29:26.120602,1,,,0.0,12,,0.0,0.0,1,2,2,210,110,14,2,5,200,110,14,3,2,0,1,1,0aselv7m,2024-09-28,,,Landing Page,0
13,joltqh68,6517301b6d21d25e19c7e501,0,9,9,landingct,NoConsent,2024-09-28 17:29:26.646992,1,,,0.0,13,,0.0,0.0,1,2,2,210,110,14,2,1,210,105,14,3,2,0,1,1,0aselv7m,2024-09-28,,,Landing Page,0
14,08c030je,6480bdf6d433e2e158870605,0,9,9,landingct,NoConsent,2024-09-28 17:29:38.829659,1,,,0.0,14,,0.0,0.0,1,2,2,210,110,14,2,5,210,110,14,4,4,0,1,1,0aselv7m,2024-09-28,,,Landing Page,0
15,2sppkili,62a0b34cbcc5987a8fa73c39,0,9,9,landingct,NoConsent,2024-09-28 17:29:41.122766,1,,,0.0,15,,0.0,0.0,1,2,2,210,110,14,1,5,210,110,14,3,2,0,1,1,0aselv7m,2024-09-28,,,Landing Page,0
