session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
qt1sc6fu,1,40hklnjm,0,,InitializeParticipant,1705079246,1,0,0
s5nyenhs,1,wapciq35,0,,InitializeParticipant,1705082555,1,0,0
s5nyenhs,2,oeoe55y8,0,,InitializeParticipant,1705082606,1,0,0
s5nyenhs,3,vqxhhnad,0,,InitializeParticipant,1705082610,1,0,0
s5nyenhs,4,kqwas00f,0,,InitializeParticipant,1705082888,1,0,0
s5nyenhs,5,y5cm1ta9,0,,InitializeParticipant,1705083366,1,0,0
s5nyenhs,6,5r06zip9,0,,InitializeParticipant,1705083366,1,0,0
s5nyenhs,7,eimzbskc,0,,InitializeParticipant,1705083366,1,0,0
s5nyenhs,8,8vuiuiux,0,,InitializeParticipant,1705083366,1,0,0
s5nyenhs,9,4z9ts8pd,0,,InitializeParticipant,1705083366,1,0,0
s5nyenhs,10,tdalnvu3,0,,InitializeParticipant,1705083366,1,0,0
s5nyenhs,11,mvbagnnk,0,,InitializeParticipant,1705083366,1,0,0
s5nyenhs,12,t99ddtdl,0,,InitializeParticipant,1705083366,1,0,0
s5nyenhs,13,eho1my68,0,,InitializeParticipant,1705083366,1,0,0
s5nyenhs,14,ud6x9zwt,0,,InitializeParticipant,1705083366,1,0,0
s5nyenhs,15,rwyvmwvz,0,,InitializeParticipant,1705083366,1,0,0
s5nyenhs,16,ifp6uhvm,0,,InitializeParticipant,1705083366,1,0,0
s5nyenhs,17,e2s8tuzm,0,,InitializeParticipant,1705083366,1,0,0
s5nyenhs,18,6j24lw1a,0,,InitializeParticipant,1705083366,1,0,0
s5nyenhs,19,fq9t2s3a,0,,InitializeParticipant,1705083366,1,0,0
s5nyenhs,20,w90toog4,0,,InitializeParticipant,1705083366,1,0,0
s5nyenhs,21,4ro65sqm,0,,InitializeParticipant,1705083366,1,0,0
s5nyenhs,22,n3krr5n7,0,,InitializeParticipant,1705083366,1,0,0
s5nyenhs,23,gefbsl9i,0,,InitializeParticipant,1705083366,1,0,0
s5nyenhs,24,akaq38vk,0,,InitializeParticipant,1705083366,1,0,0
s5nyenhs,25,95rig9y8,0,,InitializeParticipant,1705083368,1,0,0
s5nyenhs,1,wapciq35,1,consent,SplashPage,1705083377,1,1,0
s5nyenhs,2,oeoe55y8,1,consent,SplashPage,1705083377,1,1,0
s5nyenhs,3,vqxhhnad,1,consent,SplashPage,1705083377,1,1,0
s5nyenhs,4,kqwas00f,1,consent,SplashPage,1705083377,1,1,0
s5nyenhs,5,y5cm1ta9,1,consent,SplashPage,1705083377,1,1,0
s5nyenhs,6,5r06zip9,1,consent,SplashPage,1705083377,1,1,0
s5nyenhs,7,eimzbskc,1,consent,SplashPage,1705083377,1,1,0
s5nyenhs,8,8vuiuiux,1,consent,SplashPage,1705083377,1,1,0
s5nyenhs,9,4z9ts8pd,1,consent,SplashPage,1705083377,1,1,0
s5nyenhs,10,tdalnvu3,1,consent,SplashPage,1705083377,1,1,0
s5nyenhs,11,mvbagnnk,1,consent,SplashPage,1705083377,1,1,0
s5nyenhs,12,t99ddtdl,1,consent,SplashPage,1705083377,1,1,0
s5nyenhs,13,eho1my68,1,consent,SplashPage,1705083377,1,1,0
s5nyenhs,14,ud6x9zwt,1,consent,SplashPage,1705083377,1,1,0
s5nyenhs,15,rwyvmwvz,1,consent,SplashPage,1705083377,1,1,0
