HR,Sample,Timestamp,Time,1710437796
75,0,1710437796.00,12:36:36.00,1
75.5,1,1710437797.00,12:36:37.00,
68.67,2,1710437798.00,12:36:38.00,
66,3,1710437799.00,12:36:39.00,
63.8,4,1710437800.00,12:36:40.00,
82.17,5,1710437801.00,12:36:41.00,
94,6,1710437802.00,12:36:42.00,
103.12,7,1710437803.00,12:36:43.00,
110.33,8,1710437804.00,12:36:44.00,
107.9,9,1710437805.00,12:36:45.00,
105.91,10,1710437806.00,12:36:46.00,
104.17,11,1710437807.00,12:36:47.00,
102.62,12,1710437808.00,12:36:48.00,
101.21,13,1710437809.00,12:36:49.00,
100,14,1710437810.00,12:36:50.00,
98.81,15,1710437811.00,12:36:51.00,
97.29,16,1710437812.00,12:36:52.00,
95.94,17,1710437813.00,12:36:53.00,
94.68,18,1710437814.00,12:36:54.00,
93.4,19,1710437815.00,12:36:55.00,
92.29,20,1710437816.00,12:36:56.00,
91.23,21,1710437817.00,12:36:57.00,
90.22,22,1710437818.00,12:36:58.00,
89.42,23,1710437819.00,12:36:59.00,
88.68,24,1710437820.00,12:37:00.00,
88.31,25,1710437821.00,12:37:01.00,
87.96,26,1710437822.00,12:37:02.00,
87.68,27,1710437823.00,12:37:03.00,
87.48,28,1710437824.00,12:37:04.00,
87.3,29,1710437825.00,12:37:05.00,
87.13,30,1710437826.00,12:37:06.00,
86.94,31,1710437827.00,12:37:07.00,
86.79,32,1710437828.00,12:37:08.00,
86.65,33,1710437829.00,12:37:09.00,
86.49,34,1710437830.00,12:37:10.00,
86.31,35,1710437831.00,12:37:11.00,
86.14,36,1710437832.00,12:37:12.00,
85.95,37,1710437833.00,12:37:13.00,
85.79,38,1710437834.00,12:37:14.00,
85.65,39,1710437835.00,12:37:15.00,
85.54,40,1710437836.00,12:37:16.00,
85.45,41,1710437837.00,12:37:17.00,
85.37,42,1710437838.00,12:37:18.00,
85.3,43,1710437839.00,12:37:19.00,
85.22,44,1710437840.00,12:37:20.00,
85.15,45,1710437841.00,12:37:21.00,
85.11,46,1710437842.00,12:37:22.00,
85.06,47,1710437843.00,12:37:23.00,
85.02,48,1710437844.00,12:37:24.00,
84.98,49,1710437845.00,12:37:25.00,
84.94,50,1710437846.00,12:37:26.00,
84.9,51,1710437847.00,12:37:27.00,
84.87,52,1710437848.00,12:37:28.00,
84.83,53,1710437849.00,12:37:29.00,
84.78,54,1710437850.00,12:37:30.00,
84.71,55,1710437851.00,12:37:31.00,
84.65,56,1710437852.00,12:37:32.00,
84.6,57,1710437853.00,12:37:33.00,
84.58,58,1710437854.00,12:37:34.00,
84.57,59,1710437855.00,12:37:35.00,
84.73,60,1710437856.00,12:37:36.00,
84.8,61,1710437857.00,12:37:37.00,
85.15,62,1710437858.00,12:37:38.00,
85.48,63,1710437859.00,12:37:39.00,
85.85,64,1710437860.00,12:37:40.00,
84.33,65,1710437861.00,12:37:41.00,
82.97,66,1710437862.00,12:37:42.00,
81.57,67,1710437863.00,12:37:43.00,
80.28,68,1710437864.00,12:37:44.00,
80.37,69,1710437865.00,12:37:45.00,
80.43,70,1710437866.00,12:37:46.00,
80.58,71,1710437867.00,12:37:47.00,
80.73,72,1710437868.00,12:37:48.00,
80.9,73,1710437869.00,12:37:49.00,
81.05,74,1710437870.00,12:37:50.00,
81.23,75,1710437871.00,12:37:51.00,
81.55,76,1710437872.00,12:37:52.00,
81.85,77,1710437873.00,12:37:53.00,
82.15,78,1710437874.00,12:37:54.00,
82.48,79,1710437875.00,12:37:55.00,
82.8,80,1710437876.00,12:37:56.00,
83.15,81,1710437877.00,12:37:57.00,
83.48,82,1710437878.00,12:37:58.00,
83.77,83,1710437879.00,12:37:59.00,
84.05,84,1710437880.00,12:38:00.00,
84.18,85,1710437881.00,12:38:01.00,
84.33,86,1710437882.00,12:38:02.00,
84.5,87,1710437883.00,12:38:03.00,
84.67,88,1710437884.00,12:38:04.00,
84.92,89,1710437885.00,12:38:05.00,
85.18,90,1710437886.00,12:38:06.00,
85.5,91,1710437887.00,12:38:07.00,
85.83,92,1710437888.00,12:38:08.00,
86.12,93,1710437889.00,12:38:09.00,
86.4,94,1710437890.00,12:38:10.00,
86.75,95,1710437891.00,12:38:11.00,
87.08,96,1710437892.00,12:38:12.00,
87.42,97,1710437893.00,12:38:13.00,
87.75,98,1710437894.00,12:38:14.00,
88.05,99,1710437895.00,12:38:15.00,
88.35,100,1710437896.00,12:38:16.00,
88.72,101,1710437897.00,12:38:17.00,
89.05,102,1710437898.00,12:38:18.00,
89.37,103,1710437899.00,12:38:19.00,
89.7,104,1710437900.00,12:38:20.00,
90.05,105,1710437901.00,12:38:21.00,
90.35,106,1710437902.00,12:38:22.00,
90.6,107,1710437903.00,12:38:23.00,
90.85,108,1710437904.00,12:38:24.00,
91.1,109,1710437905.00,12:38:25.00,
91.37,110,1710437906.00,12:38:26.00,
91.67,111,1710437907.00,12:38:27.00,
91.97,112,1710437908.00,12:38:28.00,
92.2,113,1710437909.00,12:38:29.00,
92.45,114,1710437910.00,12:38:30.00,
92.8,115,1710437911.00,12:38:31.00,
93.2,116,1710437912.00,12:38:32.00,
93.48,117,1710437913.00,12:38:33.00,
93.75,118,1710437914.00,12:38:34.00,
94,119,1710437915.00,12:38:35.00,
94.23,120,1710437916.00,12:38:36.00,
94.57,121,1710437917.00,12:38:37.00,
94.95,122,1710437918.00,12:38:38.00,
95.1,123,1710437919.00,12:38:39.00,
95.28,124,1710437920.00,12:38:40.00,
95.37,125,1710437921.00,12:38:41.00,
95.45,126,1710437922.00,12:38:42.00,
95.5,127,1710437923.00,12:38:43.00,
95.38,128,1710437924.00,12:38:44.00,
95.25,129,1710437925.00,12:38:45.00,
95.12,130,1710437926.00,12:38:46.00,
94.93,131,1710437927.00,12:38:47.00,
94.77,132,1710437928.00,12:38:48.00,
94.57,133,1710437929.00,12:38:49.00,
94.35,134,1710437930.00,12:38:50.00,
94.27,135,1710437931.00,12:38:51.00,
94.18,136,1710437932.00,12:38:52.00,
94.12,137,1710437933.00,12:38:53.00,
93.7,138,1710437934.00,12:38:54.00,
93.3,139,1710437935.00,12:38:55.00,
92.95,140,1710437936.00,12:38:56.00,
92.5,141,1710437937.00,12:38:57.00,
92.12,142,1710437938.00,12:38:58.00,
91.78,143,1710437939.00,12:38:59.00,
91.48,144,1710437940.00,12:39:00.00,
91.28,145,1710437941.00,12:39:01.00,
91.08,146,1710437942.00,12:39:02.00,
90.88,147,1710437943.00,12:39:03.00,
90.6,148,1710437944.00,12:39:04.00,
90.23,149,1710437945.00,12:39:05.00,
89.83,150,1710437946.00,12:39:06.00,
89.4,151,1710437947.00,12:39:07.00,
88.85,152,1710437948.00,12:39:08.00,
88.37,153,1710437949.00,12:39:09.00,
87.97,154,1710437950.00,12:39:10.00,
87.47,155,1710437951.00,12:39:11.00,
87.02,156,1710437952.00,12:39:12.00,
86.6,157,1710437953.00,12:39:13.00,
86.22,158,1710437954.00,12:39:14.00,
85.9,159,1710437955.00,12:39:15.00,
85.57,160,1710437956.00,12:39:16.00,
