time,value,page,rnd
1712259171.40625,0.84375,ConsentWaitPage,-2
1712259565.34375,0.828125,ForecastPage,1
1712259566.390625,1.046875,ForecastPage,1
1712259567.1875,0.796875,ForecastPage,1
1712259567.984375,0.796875,ForecastPage,1
1712259568.796875,0.8125,ForecastPage,1
1712259694.46875,0.796875,RiskPage4,2
1712259703.015625,0.890625,MarketGridChoice,3
1712259711.015625,0.90625,MarketGridChoice,3
1712259763.53125,0.90625,RoundResultsPage,3
1712260209.84375,0.734375,RoundResultsPage,8
1712260215.859375,0.953125,RiskPage1,8
1712260229.296875,0.796875,RiskPage4,8
1712260230.0625,0.765625,RiskPage4,8
1712260230.921875,0.859375,RiskPage4,8
1712260231.75,0.828125,RiskPage4,8
1712260232.546875,0.796875,RiskPage4,8
1712260233.34375,0.796875,RiskPage4,8
1712260234.09375,0.75,PreMarketWait,9
1712260234.875,0.78125,PreMarketWait,9
1712260235.734375,0.859375,PreMarketWait,9
1712260236.625,0.890625,PreMarketWait,9
1712260237.453125,0.828125,PreMarketWait,9
1712260238.3125,0.859375,MarketGridChoice,9
1712260239.15625,0.84375,MarketGridChoice,9
1712260240.03125,0.875,MarketGridChoice,9
1712260240.953125,0.921875,MarketGridChoice,9
1712260241.765625,0.8125,MarketGridChoice,9
1712260242.578125,0.8125,MarketGridChoice,9
1712260243.421875,0.84375,MarketGridChoice,9
1712260250.125,0.8125,MarketGridChoice,9
1712260250.984375,0.859375,MarketGridChoice,9
1712260251.859375,0.875,MarketGridChoice,9
1712260257.21875,0.90625,MarketGridChoice,9
1712260258.125,0.90625,MarketGridChoice,9
1712260259.0625,0.9375,ForecastPage,9
1712260260.015625,0.953125,ForecastPage,9
1712260260.9375,0.921875,ForecastPage,9
1712260261.828125,0.890625,ForecastPage,9
1712260262.703125,0.875,ForecastPage,9
1712260267.9375,0.890625,ForecastPage,9
1712260268.75,0.8125,ForecastPage,9
1712260269.59375,0.84375,ForecastPage,9
1712260270.484375,0.890625,ForecastPage,9
1712260271.359375,0.875,ForecastPage,9
1712260272.21875,0.859375,ForecastPage,9
1712260273.0625,0.84375,ForecastPage,9
1712260273.921875,0.859375,ForecastPage,9
1712260274.8125,0.890625,ForecastPage,9
1712260275.671875,0.859375,ForecastPage,9
1712260276.5,0.828125,ForecastPage,9
1712260277.34375,0.84375,ForecastPage,9
1712260278.21875,0.875,ForecastPage,9
1712260279.09375,0.875,ForecastPage,9
1712260279.9375,0.84375,ForecastPage,9
1712260280.765625,0.828125,ForecastPage,9
1712260281.609375,0.84375,ForecastPage,9
1712260282.40625,0.796875,ForecastPage,9
1712260283.234375,0.828125,ForecastPage,9
1712260284.0625,0.828125,ForecastPage,9
1712260284.921875,0.859375,ForecastPage,9
1712260285.78125,0.859375,ForecastPage,9
1712260286.609375,0.828125,ForecastPage,9
1712260287.375,0.765625,ForecastPage,9
