time,value,page,rnd
1709838002.78125,0.359375,ConsentWaitPage,-2
1709838003.234375,0.453125,ConsentWaitPage,-2
1709838026.109375,0.34375,ConsentWaitPage,-2
1709838026.46875,0.359375,ConsentWaitPage,-2
1709838082.1875,0.40625,ConsentWaitPage,-2
1709838082.5625,0.375,ConsentWaitPage,-2
1709838082.953125,0.390625,ConsentWaitPage,-2
1709838087.234375,0.359375,ConsentWaitPage,-2
1709838120.765625,0.328125,ConsentWaitPage,-2
1709838147.421875,0.34375,ConsentWaitPage,-2
1709838249.59375,0.34375,PreMarketWait,1
1709838249.921875,0.328125,PreMarketWait,1
1709838262.5,0.4375,PreMarketWait,1
1709838262.828125,0.328125,PreMarketWait,1
1709838267.703125,0.34375,PreMarketWait,1
1709838307.09375,0.46875,PreMarketWait,1
1709838351.25,0.5,PreMarketWait,1
1709838356.265625,0.375,PreMarketWait,1
1709838428.921875,0.3125,PreMarketWait,1
1709838452.5625,0.34375,PreMarketWait,1
1709838504.78125,0.484375,MarketGridChoice,1
1709838551.625,0.375,RiskPage1,1
1709838608.71875,0.328125,ForecastPage,2
1709838609.078125,0.359375,ForecastPage,2
1709838714.953125,0.59375,RoundResultsPage,3
1709838722.484375,0.484375,RiskPage1,3
1709838780.25,0.453125,ForecastPage,4
1709838885.21875,0.328125,RoundResultsPage,5
1709838885.609375,0.390625,RoundResultsPage,5
1709838891.5625,0.328125,RoundResultsPage,5
1709838891.921875,0.359375,RoundResultsPage,5
1709838892.28125,0.359375,RoundResultsPage,5
1709838892.59375,0.3125,RoundResultsPage,5
1709838911.390625,0.328125,RiskPage4,5
1709838953.4375,0.53125,ForecastPage,6
1709839054.1875,0.328125,RoundResultsPage,7
1709839136.96875,0.40625,MarketWaitPage,8
1709839189.265625,0.359375,MarketGridChoice,9
1709839250.96875,0.328125,RiskPage3,9
1709839289.265625,0.34375,ForecastPage,10
1709839371.359375,0.40625,ForecastPage,11
1709839371.8125,0.453125,ForecastPage,11
1709839391.65625,0.484375,RoundResultsPage,11
1709839455.6875,0.46875,MarketGridChoice,12
1709839504.453125,0.5,RiskPage3,12
1709839509.65625,0.328125,RiskPage4,12
1709839527.609375,0.390625,MarketGridChoice,13
1709839622.046875,0.328125,MarketGridChoice,14
1709839625.78125,0.515625,MarketGridChoice,14
1709839626.203125,0.421875,MarketGridChoice,14
1709839630.015625,0.546875,ForecastPage,14
1709839658.640625,0.515625,RoundResultsPage,14
1709839659.046875,0.40625,RoundResultsPage,14
1709839661.296875,0.484375,RoundResultsPage,14
1709839679.875,0.484375,RiskPage4,14
1709839750.75,0.375,RiskPage1,15
1709839823.359375,0.484375,MarketWaitPage,16
1709839823.75,0.390625,MarketWaitPage,16
1709839905.890625,0.359375,ForecastPage,17
1709840148.4375,0.375,ForecastPage,20
1709840148.796875,0.359375,ForecastPage,20
1709840149.15625,0.359375,ForecastPage,20
1709840231.625,0.5625,ForecastPage,21
1709840232.046875,0.421875,ForecastPage,21
1709840238.859375,0.375,ForecastPage,21
1709840301.625,0.40625,MarketGridChoice,22
1709840304.109375,0.4375,MarketGridChoice,22
1709840304.71875,0.609375,MarketGridChoice,22
1709840360.046875,0.359375,RiskPage2,22
1709840614.359375,0.421875,RiskPage2,25
1709840623.015625,0.515625,RiskPage3,25
1709840623.46875,0.453125,RiskPage3,25
1709840656.21875,0.5625,MarketGridChoice,26
1709840675.03125,0.4375,ForecastPage,26
1709840684.9375,0.53125,RoundResultsPage,26
1709840685.3125,0.375,RoundResultsPage,26
1709840727.3125,0.328125,MarketGridChoice,27
1709840727.6875,0.375,MarketGridChoice,27
1709840885.53125,0.359375,PreMarketWait,29
