time,value,page,rnd
1712259157.234375,0.765625,ConsentWaitPage,-2
1712259158.03125,0.796875,ConsentWaitPage,-2
1712259158.84375,0.8125,ConsentWaitPage,-2
1712259159.625,0.78125,ConsentWaitPage,-2
1712259160.390625,0.765625,ConsentWaitPage,-2
1712259161.1875,0.796875,ConsentWaitPage,-2
1712259162.046875,0.859375,ConsentWaitPage,-2
1712259162.859375,0.8125,ConsentWaitPage,-2
1712259163.71875,0.859375,ConsentWaitPage,-2
1712259164.515625,0.796875,ConsentWaitPage,-2
1712259165.25,0.734375,ConsentWaitPage,-2
1712259165.953125,0.703125,ConsentWaitPage,-2
1712259166.671875,0.71875,ConsentWaitPage,-2
1712259167.40625,0.734375,ConsentWaitPage,-2
1712259168.203125,0.796875,ConsentWaitPage,-2
1712259169.015625,0.8125,ConsentWaitPage,-2
1712259173.953125,0.859375,ConsentWaitPage,-2
1712259174.765625,0.8125,ConsentWaitPage,-2
1712259175.484375,0.71875,ConsentWaitPage,-2
1712259176.1875,0.703125,ConsentWaitPage,-2
1712259176.984375,0.796875,ConsentWaitPage,-2
1712259177.90625,0.921875,ConsentWaitPage,-2
1712259178.921875,1.015625,ConsentWaitPage,-2
1712259179.953125,1.03125,ConsentWaitPage,-2
1712259180.890625,0.9375,ConsentWaitPage,-2
1712259181.796875,0.90625,ConsentWaitPage,-2
1712259182.75,0.953125,ConsentWaitPage,-2
1712259183.875,1.125,ConsentWaitPage,-2
1712259184.890625,1.015625,ConsentWaitPage,-2
1712259217.03125,0.921875,PreMarketWait,1
1712259260.515625,0.75,PreMarketWait,1
1712259261.296875,0.78125,PreMarketWait,1
1712259262.03125,0.734375,PreMarketWait,1
1712259262.765625,0.734375,PreMarketWait,1
1712259263.46875,0.703125,PreMarketWait,1
1712259264.15625,0.6875,PreMarketWait,1
1712259264.875,0.71875,PreMarketWait,1
1712259265.6875,0.8125,PreMarketWait,1
1712259266.53125,0.84375,PreMarketWait,1
1712259271.328125,0.890625,PreMarketWait,1
1712259272.25,0.921875,PreMarketWait,1
1712259273.125,0.875,PreMarketWait,1
1712259273.984375,0.859375,PreMarketWait,1
1712259274.796875,0.8125,PreMarketWait,1
1712259275.578125,0.78125,PreMarketWait,1
1712259276.40625,0.828125,PreMarketWait,1
1712259277.296875,0.890625,PreMarketWait,1
1712259278.21875,0.921875,PreMarketWait,1
1712259279.09375,0.875,PreMarketWait,1
1712259279.890625,0.796875,PreMarketWait,1
1712259280.671875,0.78125,PreMarketWait,1
1712259281.46875,0.796875,PreMarketWait,1
1712259282.234375,0.765625,PreMarketWait,1
1712259282.953125,0.71875,PreMarketWait,1
1712259286.703125,0.703125,PreMarketWait,1
1712259296.171875,0.875,PreMarketWait,1
1712259297.09375,0.921875,PreMarketWait,1
1712259298.09375,1.0,PreMarketWait,1
1712259298.9375,0.84375,PreMarketWait,1
1712259308.015625,0.734375,PreMarketWait,1
1712259308.71875,0.703125,PreMarketWait,1
1712259309.421875,0.703125,PreMarketWait,1
1712259310.140625,0.71875,PreMarketWait,1
1712259310.859375,0.71875,PreMarketWait,1
1712259311.65625,0.796875,PreMarketWait,1
1712259312.484375,0.828125,PreMarketWait,1
1712259313.3125,0.828125,PreMarketWait,1
1712259314.140625,0.828125,PreMarketWait,1
1712259314.921875,0.78125,PreMarketWait,1
1712259315.6875,0.765625,PreMarketWait,1
1712259316.421875,0.734375,PreMarketWait,1
1712259317.09375,0.671875,PreMarketWait,1
1712259317.8125,0.71875,PreMarketWait,1
1712259318.53125,0.71875,PreMarketWait,1
1712259328.375,0.9375,PreMarketWait,1
1712259329.296875,0.921875,PreMarketWait,1
1712259330.1875,0.890625,PreMarketWait,1
1712259331.078125,0.890625,PreMarketWait,1
1712259336.546875,0.890625,PreMarketWait,1
1712259349.28125,0.890625,PreMarketWait,1
1712259350.203125,0.921875,PreMarketWait,1
1712259351.203125,1.0,PreMarketWait,1
1712259352.140625,0.9375,PreMarketWait,1
1712259353.046875,0.90625,PreMarketWait,1
1712259353.90625,0.859375,PreMarketWait,1
1712259354.734375,0.828125,PreMarketWait,1
1712259355.546875,0.8125,PreMarketWait,1
1712259356.328125,0.78125,PreMarketWait,1
1712259357.171875,0.84375,PreMarketWait,1
