time,value,page,rnd
1718904760.953125,1.0625,ConsentWaitPage,-2
1718904761.953125,1.0,ConsentWaitPage,-2
1718904773.96875,0.921875,ConsentWaitPage,-2
1718904774.875,0.90625,ConsentWaitPage,-2
1718904775.828125,0.953125,ConsentWaitPage,-2
1718904776.671875,0.84375,ConsentWaitPage,-2
1718904802.28125,0.734375,ConsentWaitPage,-2
1718904803.3125,1.03125,ConsentWaitPage,-2
1718904804.171875,0.859375,ConsentWaitPage,-2
1718904805.046875,0.875,ConsentWaitPage,-2
1718904805.9375,0.890625,ConsentWaitPage,-2
1718904806.796875,0.859375,ConsentWaitPage,-2
1718904807.671875,0.875,ConsentWaitPage,-2
1718904808.578125,0.90625,ConsentWaitPage,-2
1718904809.484375,0.90625,ConsentWaitPage,-2
1718904810.359375,0.875,ConsentWaitPage,-2
1718904811.25,0.890625,ConsentWaitPage,-2
1718904812.171875,0.921875,ConsentWaitPage,-2
1718904818.453125,0.953125,ConsentWaitPage,-2
1718904819.34375,0.890625,ConsentWaitPage,-2
1718904820.234375,0.890625,ConsentWaitPage,-2
1718904821.171875,0.9375,ConsentWaitPage,-2
1718904822.171875,1.0,ConsentWaitPage,-2
1718904823.140625,0.96875,ConsentWaitPage,-2
1718904824.109375,0.96875,ConsentWaitPage,-2
1718904825.203125,1.09375,ConsentWaitPage,-2
1718904826.140625,0.9375,ConsentWaitPage,-2
1718904827.078125,0.9375,ConsentWaitPage,-2
1718904828.015625,0.9375,ConsentWaitPage,-2
1718904829.0,0.984375,ConsentWaitPage,-2
1718904846.015625,1.0625,ConsentWaitPage,-2
1718904846.953125,0.9375,ConsentWaitPage,-2
1718904855.796875,1.046875,ConsentWaitPage,-2
1718904856.828125,1.03125,ConsentWaitPage,-2
1718904857.859375,1.03125,ConsentWaitPage,-2
1718904858.84375,0.984375,ConsentWaitPage,-2
1718904868.65625,1.03125,ConsentWaitPage,-2
1718904904.96875,0.96875,ConsentWaitPage,-2
1718904919.78125,0.859375,ConsentWaitPage,-2
1718904920.71875,0.9375,ConsentWaitPage,-2
1718904921.6875,0.96875,ConsentWaitPage,-2
1718904922.640625,0.953125,ConsentWaitPage,-2
1718904923.609375,0.96875,ConsentWaitPage,-2
1718904924.578125,0.96875,ConsentWaitPage,-2
1718904925.59375,1.015625,ConsentWaitPage,-2
