time,value,page,rnd
1718904761.65625,0.359375,ConsentWaitPage,-2
1718904761.984375,0.328125,ConsentWaitPage,-2
1718904849.46875,0.6875,ConsentWaitPage,-2
1718904850.171875,0.703125,ConsentWaitPage,-2
1718904899.34375,0.59375,ConsentWaitPage,-2
1718904899.953125,0.609375,ConsentWaitPage,-2
1718904900.53125,0.578125,ConsentWaitPage,-2
1718904901.125,0.59375,ConsentWaitPage,-2
1718904901.71875,0.59375,ConsentWaitPage,-2
1718904902.3125,0.59375,ConsentWaitPage,-2
1718904902.921875,0.609375,ConsentWaitPage,-2
1718904903.5625,0.640625,ConsentWaitPage,-2
1718904904.1875,0.625,ConsentWaitPage,-2
1718904904.8125,0.625,ConsentWaitPage,-2
1718904905.453125,0.640625,ConsentWaitPage,-2
1718904906.0625,0.609375,ConsentWaitPage,-2
1718904906.65625,0.59375,ConsentWaitPage,-2
1718904907.25,0.59375,ConsentWaitPage,-2
1718904907.84375,0.59375,ConsentWaitPage,-2
1718904908.4375,0.59375,ConsentWaitPage,-2
1718904945.171875,0.65625,ConsentWaitPage,-2
1718904945.921875,0.75,ConsentWaitPage,-2
1718904946.78125,0.859375,ConsentWaitPage,-2
1718904947.671875,0.890625,ConsentWaitPage,-2
1718904948.53125,0.859375,ConsentWaitPage,-2
1718904949.375,0.84375,ConsentWaitPage,-2
1718904950.125,0.75,ConsentWaitPage,-2
1718904957.796875,0.734375,ConsentWaitPage,-2
1718904958.53125,0.734375,ConsentWaitPage,-2
1718904959.390625,0.859375,ConsentWaitPage,-2
1718904964.78125,0.6875,ConsentWaitPage,-2
1718904965.4375,0.65625,ConsentWaitPage,-2
1718904966.078125,0.640625,ConsentWaitPage,-2
1718904966.71875,0.640625,ConsentWaitPage,-2
1718904967.375,0.65625,ConsentWaitPage,-2
1718904968.0,0.625,ConsentWaitPage,-2
1718904968.640625,0.640625,ConsentWaitPage,-2
1718904969.265625,0.625,ConsentWaitPage,-2
1718904969.890625,0.625,ConsentWaitPage,-2
1718904978.15625,0.6875,PreMarketWait,1
1718905008.703125,0.625,PreMarketWait,1
1718905079.53125,0.546875,PreMarketWait,1
1718905080.09375,0.5625,PreMarketWait,1
1718905080.671875,0.578125,PreMarketWait,1
1718905081.25,0.578125,PreMarketWait,1
1718905081.828125,0.578125,PreMarketWait,1
1718905082.4375,0.609375,PreMarketWait,1
1718905086.53125,0.765625,PreMarketWait,1
1718905102.515625,0.609375,PreMarketWait,1
1718905103.109375,0.59375,PreMarketWait,1
1718905103.71875,0.609375,PreMarketWait,1
1718905104.359375,0.640625,PreMarketWait,1
1718905104.9375,0.578125,PreMarketWait,1
1718905105.515625,0.578125,PreMarketWait,1
1718905106.109375,0.59375,PreMarketWait,1
1718905106.703125,0.59375,PreMarketWait,1
1718905107.296875,0.59375,PreMarketWait,1
1718905107.921875,0.625,PreMarketWait,1
1718905108.515625,0.59375,PreMarketWait,1
1718905109.15625,0.640625,PreMarketWait,1
1718905109.796875,0.640625,PreMarketWait,1
1718905110.421875,0.625,PreMarketWait,1
1718905111.03125,0.609375,PreMarketWait,1
1718905111.640625,0.609375,PreMarketWait,1
1718905149.4375,0.375,PreMarketWait,1
1718905149.75,0.3125,PreMarketWait,1
1718905154.234375,0.703125,PreMarketWait,1
1718905154.8125,0.578125,PreMarketWait,1
1718905160.09375,0.859375,PreMarketWait,1
1718905182.625,0.75,PreMarketWait,1
