time,value,page,rnd
1718904865.84375,0.4375,ConsentWaitPage,-2
1718904954.796875,0.4375,ConsentWaitPage,-2
1718904974.21875,0.40625,ConsentPage,-2
1718904974.625,0.40625,ConsentPage,-2
1718904975.09375,0.46875,ConsentPage,-2
1718905056.4375,0.375,PreMarketWait,1
1718905144.640625,0.34375,PreMarketWait,1
1718905229.640625,0.359375,PreMarketWait,1
1718905280.296875,0.578125,PreMarketWait,1
1718905280.71875,0.421875,PreMarketWait,1
1718905384.796875,0.375,PreMarketWait,1
1718905529.953125,0.375,RiskPage2,1
1718905548.296875,0.34375,MarketGridChoice,2
1718905575.953125,0.390625,ForecastPage,2
1718905578.765625,0.421875,ForecastPage,2
1718905583.890625,0.3125,ForecastPage,2
1718905629.34375,0.390625,RoundResultsPage,2
1718905642.953125,0.34375,RoundResultsPage,2
1718905666.828125,0.46875,RiskPage1,2
1718905764.515625,0.375,RiskPage2,3
1718905790.6875,0.34375,MarketGridChoice,4
1718905935.625,0.4375,RoundResultsPage,5
1718905936.0625,0.4375,RoundResultsPage,5
1718906022.421875,0.421875,RoundResultsPage,6
1718906054.25,0.375,MarketGridChoice,7
1718906054.703125,0.453125,MarketGridChoice,7
1718906055.078125,0.375,MarketGridChoice,7
1718906055.5625,0.484375,MarketGridChoice,7
1718906275.921875,0.3125,ForecastPage,9
1718906277.71875,0.359375,ForecastPage,9
1718906501.0,0.4375,RiskPage1,11
1718906636.21875,0.390625,MarketGridChoice,13
1718906822.34375,0.46875,MarketGridChoice,15
1718906985.9375,0.34375,RiskPage2,16
1718906996.890625,0.375,RiskPage4,16
1718906997.296875,0.40625,PreMarketWait,17
1718907033.453125,0.421875,ForecastPage,17
1718907033.84375,0.390625,ForecastPage,17
1718907045.0625,0.390625,ForecastPage,17
1718907069.734375,0.3125,RiskPage1,17
1718907070.0625,0.328125,RiskPage1,17
1718907070.390625,0.328125,RiskPage1,17
1718907070.703125,0.3125,RiskPage1,17
1718907073.890625,0.34375,RiskPage1,17
1718907074.21875,0.328125,RiskPage1,17
1718907118.828125,0.328125,MarketGridChoice,18
1718907134.1875,0.3125,ForecastPage,18
1718907142.671875,0.40625,ForecastPage,18
1718907319.59375,0.3125,MarketGridChoice,20
1718907356.96875,0.4375,ForecastPage,20
1718907357.328125,0.359375,ForecastPage,20
1718907370.359375,0.359375,MarketWaitPage,20
1718907458.765625,0.3125,ForecastPage,21
1718907496.859375,0.328125,RiskPage4,21
1718907498.515625,0.3125,RiskPage4,21
1718907498.875,0.359375,RiskPage4,21
1718907499.203125,0.328125,PreMarketWait,22
1718907548.171875,0.515625,ForecastPage,22
