time,value,page,rnd
1710439424.421875,0.78125,ConsentWaitPage,-2
1710439432.46875,0.796875,ConsentWaitPage,-2
1710439433.296875,0.828125,ConsentWaitPage,-2
1710439434.125,0.828125,ConsentWaitPage,-2
1710439434.90625,0.78125,ConsentWaitPage,-2
1710439435.734375,0.828125,ConsentWaitPage,-2
1710439450.609375,0.59375,ConsentWaitPage,-2
1710439458.3125,0.796875,ConsentWaitPage,-2
1710439459.1875,0.875,ConsentWaitPage,-2
1710439460.09375,0.90625,ConsentWaitPage,-2
1710439461.03125,0.9375,ConsentWaitPage,-2
1710439461.90625,0.875,ConsentWaitPage,-2
1710439462.78125,0.875,ConsentWaitPage,-2
1710439463.65625,0.875,ConsentWaitPage,-2
1710439464.53125,0.875,ConsentWaitPage,-2
1710439465.390625,0.859375,ConsentWaitPage,-2
1710439466.234375,0.84375,ConsentWaitPage,-2
1710439467.0625,0.828125,ConsentWaitPage,-2
1710439467.921875,0.859375,ConsentWaitPage,-2
1710439468.8125,0.890625,ConsentWaitPage,-2
1710439469.65625,0.84375,ConsentWaitPage,-2
1710439470.546875,0.890625,ConsentWaitPage,-2
1710439471.53125,0.984375,ConsentWaitPage,-2
1710439472.546875,1.015625,ConsentWaitPage,-2
1710439476.9375,0.84375,ConsentWaitPage,-2
1710439477.71875,0.78125,ConsentWaitPage,-2
1710439478.5625,0.84375,ConsentWaitPage,-2
1710439479.46875,0.90625,ConsentWaitPage,-2
1710439480.265625,0.796875,ConsentWaitPage,-2
1710439481.046875,0.78125,ConsentWaitPage,-2
1710439481.90625,0.859375,ConsentWaitPage,-2
1710439482.8125,0.90625,ConsentWaitPage,-2
1710439483.59375,0.78125,ConsentWaitPage,-2
1710439493.09375,0.671875,ConsentWaitPage,-2
1710439512.21875,0.65625,ConsentWaitPage,-2
1710439581.171875,0.640625,ConsentWaitPage,-2
1710439587.3125,0.890625,ConsentWaitPage,-2
1710439588.09375,0.78125,ConsentPage,-2
1710439588.859375,0.765625,ConsentPage,-2
1710439589.671875,0.8125,ConsentPage,-2
1710439590.5,0.828125,ConsentPage,-2
1710439608.46875,0.8125,PreMarketWait,1
1710439609.375,0.90625,PreMarketWait,1
1710439626.328125,0.71875,PreMarketWait,1
1710439627.0625,0.734375,PreMarketWait,1
1710439638.515625,0.90625,PreMarketWait,1
1710439639.5625,1.046875,PreMarketWait,1
1710439689.703125,0.796875,PreMarketWait,1
1710439690.546875,0.84375,PreMarketWait,1
1710439691.40625,0.859375,PreMarketWait,1
1710439692.296875,0.890625,PreMarketWait,1
1710439693.15625,0.859375,PreMarketWait,1
1710439708.5625,0.90625,PreMarketWait,1
1710439709.46875,0.90625,PreMarketWait,1
1710439710.375,0.90625,PreMarketWait,1
1710439711.109375,0.734375,PreMarketWait,1
1710439711.984375,0.875,PreMarketWait,1
