time,value,page,rnd
1720807199.734375,0.75,ConsentWaitPage,-2
1720807200.453125,0.71875,ConsentWaitPage,-2
1720807201.21875,0.765625,ConsentWaitPage,-2
1720807201.953125,0.734375,ConsentWaitPage,-2
1720807202.71875,0.765625,ConsentWaitPage,-2
1720807245.625,0.890625,PreMarketWait,1
1720807276.875,0.84375,PreMarketWait,1
1720807277.6875,0.8125,PreMarketWait,1
1720807278.609375,0.921875,PreMarketWait,1
1720807279.5,0.890625,PreMarketWait,1
1720807280.375,0.875,PreMarketWait,1
1720807299.328125,0.5625,PreMarketWait,1
1720807299.765625,0.4375,PreMarketWait,1
1720807339.046875,0.8125,PreMarketWait,1
1720807339.84375,0.796875,PreMarketWait,1
1720807340.671875,0.828125,PreMarketWait,1
1720807341.390625,0.71875,PreMarketWait,1
1720807342.234375,0.84375,PreMarketWait,1
1720807343.078125,0.84375,PreMarketWait,1
1720807343.90625,0.828125,PreMarketWait,1
1720807344.765625,0.859375,PreMarketWait,1
1720807345.6875,0.921875,PreMarketWait,1
1720807346.515625,0.828125,PreMarketWait,1
1720807347.375,0.859375,PreMarketWait,1
1720807348.25,0.875,PreMarketWait,1
1720807349.203125,0.953125,PreMarketWait,1
1720807349.984375,0.78125,PreMarketWait,1
1720807350.84375,0.859375,PreMarketWait,1
1720807351.75,0.90625,PreMarketWait,1
1720807352.5625,0.8125,PreMarketWait,1
1720807353.265625,0.703125,PreMarketWait,1
1720807354.0625,0.796875,PreMarketWait,1
1720807354.765625,0.703125,PreMarketWait,1
1720807355.609375,0.84375,PreMarketWait,1
1720807356.359375,0.75,PreMarketWait,1
1720807357.015625,0.65625,PreMarketWait,1
1720807370.640625,0.78125,PreMarketWait,1
1720807371.359375,0.71875,PreMarketWait,1
1720807372.109375,0.75,PreMarketWait,1
1720807372.90625,0.796875,PreMarketWait,1
1720807373.828125,0.921875,PreMarketWait,1
1720807374.703125,0.875,PreMarketWait,1
1720807375.59375,0.890625,PreMarketWait,1
1720807376.484375,0.890625,PreMarketWait,1
1720807377.296875,0.8125,PreMarketWait,1
1720807378.109375,0.8125,PreMarketWait,1
1720807378.96875,0.859375,PreMarketWait,1
1720807379.703125,0.734375,PreMarketWait,1
1720807380.515625,0.8125,PreMarketWait,1
1720807381.453125,0.9375,PreMarketWait,1
1720807382.3125,0.859375,PreMarketWait,1
1720807383.21875,0.90625,PreMarketWait,1
1720807384.15625,0.9375,PreMarketWait,1
1720807385.109375,0.953125,PreMarketWait,1
1720807386.046875,0.9375,PreMarketWait,1
1720807386.984375,0.9375,PreMarketWait,1
1720807387.890625,0.90625,PreMarketWait,1
1720807388.765625,0.875,PreMarketWait,1
1720807389.65625,0.890625,PreMarketWait,1
1720807390.484375,0.828125,PreMarketWait,1
1720807391.34375,0.859375,PreMarketWait,1
1720807392.1875,0.84375,PreMarketWait,1
1720807393.0625,0.875,PreMarketWait,1
1720807393.921875,0.859375,PreMarketWait,1
1720807394.859375,0.9375,PreMarketWait,1
1720807395.78125,0.921875,PreMarketWait,1
1720807396.671875,0.890625,PreMarketWait,1
1720807397.625,0.953125,PreMarketWait,1
1720807398.53125,0.90625,PreMarketWait,1
1720807399.359375,0.828125,PreMarketWait,1
1720807400.203125,0.84375,PreMarketWait,1
1720807401.078125,0.875,PreMarketWait,1
1720807401.875,0.796875,PreMarketWait,1
1720807402.71875,0.84375,PreMarketWait,1
1720807403.59375,0.875,PreMarketWait,1
1720807404.5,0.90625,PreMarketWait,1
1720807405.28125,0.78125,PreMarketWait,1
1720807406.015625,0.734375,PreMarketWait,1
1720807406.875,0.859375,PreMarketWait,1
1720807407.671875,0.796875,PreMarketWait,1
1720807408.46875,0.796875,PreMarketWait,1
1720807409.265625,0.796875,PreMarketWait,1
1720807410.078125,0.8125,PreMarketWait,1
1720807410.78125,0.703125,PreMarketWait,1
1720807411.5625,0.78125,PreMarketWait,1
1720807412.296875,0.734375,PreMarketWait,1
1720807413.03125,0.734375,PreMarketWait,1
1720807413.828125,0.796875,PreMarketWait,1
1720807414.75,0.921875,PreMarketWait,1
1720807415.5625,0.8125,PreMarketWait,1
1720807416.375,0.8125,PreMarketWait,1
1720807417.25,0.875,PreMarketWait,1
1720807418.09375,0.84375,PreMarketWait,1
1720807418.90625,0.8125,PreMarketWait,1
1720807419.734375,0.828125,PreMarketWait,1
1720807420.5625,0.828125,PreMarketWait,1
1720807421.359375,0.796875,PreMarketWait,1
1720807422.15625,0.796875,PreMarketWait,1
1720807423.0,0.84375,PreMarketWait,1
