time,value,page,rnd
1720807196.03125,0.828125,ConsentWaitPage,-2
1720807203.84375,0.8125,ConsentWaitPage,-2
1720807208.3125,0.90625,PreMarketWait,1
1720807208.96875,0.65625,PreMarketWait,1
1720807209.703125,0.734375,PreMarketWait,1
1720807222.703125,0.703125,PreMarketWait,1
1720807223.390625,0.6875,PreMarketWait,1
1720807224.046875,0.65625,PreMarketWait,1
1720807224.671875,0.625,PreMarketWait,1
1720807225.3125,0.640625,PreMarketWait,1
1720807225.9375,0.625,PreMarketWait,1
1720807226.625,0.6875,PreMarketWait,1
1720807227.328125,0.703125,PreMarketWait,1
1720807228.09375,0.765625,PreMarketWait,1
1720807228.890625,0.796875,PreMarketWait,1
1720807229.65625,0.765625,PreMarketWait,1
1720807230.359375,0.703125,PreMarketWait,1
1720807312.734375,0.59375,PreMarketWait,1
1720807326.625,0.734375,PreMarketWait,1
1720807338.21875,0.65625,PreMarketWait,1
1720807338.875,0.65625,PreMarketWait,1
1720807339.53125,0.65625,PreMarketWait,1
1720807340.21875,0.6875,PreMarketWait,1
1720807340.90625,0.6875,PreMarketWait,1
1720807341.671875,0.765625,PreMarketWait,1
1720807342.421875,0.75,PreMarketWait,1
1720807343.140625,0.71875,PreMarketWait,1
1720807343.828125,0.6875,PreMarketWait,1
1720807344.53125,0.703125,PreMarketWait,1
1720807345.25,0.71875,PreMarketWait,1
1720807346.0,0.75,PreMarketWait,1
1720807346.78125,0.78125,PreMarketWait,1
1720807347.5625,0.78125,PreMarketWait,1
1720807348.3125,0.75,PreMarketWait,1
1720807349.109375,0.796875,PreMarketWait,1
1720807349.84375,0.734375,PreMarketWait,1
1720807350.484375,0.640625,PreMarketWait,1
1720807351.125,0.640625,PreMarketWait,1
1720807351.84375,0.71875,PreMarketWait,1
1720807352.609375,0.765625,PreMarketWait,1
1720807353.28125,0.671875,PreMarketWait,1
1720807354.015625,0.734375,PreMarketWait,1
1720807354.734375,0.71875,PreMarketWait,1
1720807362.09375,0.59375,PreMarketWait,1
1720807362.90625,0.8125,PreMarketWait,1
1720807374.34375,0.703125,PreMarketWait,1
1720807375.078125,0.734375,PreMarketWait,1
1720807380.609375,0.71875,PreMarketWait,1
1720807381.328125,0.71875,PreMarketWait,1
1720807382.09375,0.765625,PreMarketWait,1
1720807382.84375,0.75,PreMarketWait,1
1720807383.578125,0.734375,PreMarketWait,1
1720807384.3125,0.734375,PreMarketWait,1
1720807443.109375,0.78125,PreMarketWait,1
1720807461.09375,0.65625,PreMarketWait,1
1720807461.859375,0.765625,PreMarketWait,1
1720807467.890625,0.765625,PreMarketWait,1
1720807468.5625,0.671875,PreMarketWait,1
1720807472.5625,0.75,PreMarketWait,1
1720807473.328125,0.765625,PreMarketWait,1
1720807482.578125,0.71875,PreMarketWait,1
1720807493.921875,0.71875,PreMarketWait,1
1720807494.71875,0.796875,PreMarketWait,1
1720807495.4375,0.71875,PreMarketWait,1
1720807496.203125,0.765625,PreMarketWait,1
1720807496.9375,0.734375,PreMarketWait,1
1720807516.515625,0.703125,PreMarketWait,1
1720807522.046875,0.71875,PreMarketWait,1
1720807522.78125,0.734375,PreMarketWait,1
1720807523.546875,0.765625,PreMarketWait,1
1720807524.328125,0.78125,PreMarketWait,1
1720807531.390625,0.71875,PreMarketWait,1
1720807532.140625,0.75,PreMarketWait,1
1720807549.78125,0.734375,PreMarketWait,1
1720807550.375,0.59375,PreMarketWait,1
1720807554.171875,0.6875,PreMarketWait,1
