time,value,page,rnd
1710439454.4375,0.65625,ConsentWaitPage,-2
1710439455.125,0.6875,ConsentWaitPage,-2
1710439455.84375,0.71875,ConsentWaitPage,-2
1710439456.546875,0.703125,ConsentWaitPage,-2
1710439457.28125,0.734375,ConsentWaitPage,-2
1710439501.9375,0.625,ConsentWaitPage,-2
1710439502.59375,0.65625,ConsentWaitPage,-2
1710439503.25,0.65625,ConsentWaitPage,-2
1710439503.921875,0.671875,ConsentWaitPage,-2
1710439504.578125,0.65625,ConsentWaitPage,-2
1710439505.25,0.671875,ConsentWaitPage,-2
1710439505.9375,0.6875,ConsentWaitPage,-2
1710439518.671875,0.65625,ConsentWaitPage,-2
1710439519.34375,0.671875,ConsentWaitPage,-2
1710439520.046875,0.703125,ConsentWaitPage,-2
1710439520.78125,0.734375,ConsentWaitPage,-2
1710439521.46875,0.6875,ConsentWaitPage,-2
1710439535.328125,0.640625,ConsentWaitPage,-2
1710439535.9375,0.609375,ConsentWaitPage,-2
1710439536.546875,0.609375,ConsentWaitPage,-2
1710439537.15625,0.609375,ConsentWaitPage,-2
1710439537.78125,0.625,ConsentWaitPage,-2
1710439538.40625,0.625,ConsentWaitPage,-2
1710439539.046875,0.640625,ConsentWaitPage,-2
1710439545.09375,0.671875,ConsentWaitPage,-2
1710439551.140625,0.65625,ConsentWaitPage,-2
1710439551.796875,0.65625,ConsentWaitPage,-2
1710439552.4375,0.640625,ConsentWaitPage,-2
1710439553.046875,0.609375,ConsentWaitPage,-2
1710439553.6875,0.640625,ConsentWaitPage,-2
1710439554.296875,0.609375,ConsentWaitPage,-2
1710439554.921875,0.625,ConsentWaitPage,-2
1710439555.53125,0.609375,ConsentWaitPage,-2
1710439556.125,0.59375,ConsentWaitPage,-2
1710439556.734375,0.609375,ConsentWaitPage,-2
1710439557.390625,0.65625,ConsentWaitPage,-2
1710439558.0625,0.671875,ConsentWaitPage,-2
1710439564.546875,0.625,ConsentWaitPage,-2
1710439565.15625,0.609375,ConsentWaitPage,-2
1710439565.796875,0.640625,ConsentWaitPage,-2
1710439566.453125,0.65625,ConsentWaitPage,-2
1710439567.140625,0.6875,ConsentWaitPage,-2
1710439567.84375,0.703125,ConsentWaitPage,-2
1710439568.5625,0.71875,ConsentWaitPage,-2
1710439569.25,0.6875,ConsentWaitPage,-2
1710439569.890625,0.640625,ConsentWaitPage,-2
1710439584.234375,0.625,ConsentWaitPage,-2
1710439584.84375,0.609375,ConsentWaitPage,-2
1710439585.453125,0.609375,ConsentWaitPage,-2
1710439586.078125,0.625,ConsentWaitPage,-2
1710439586.703125,0.625,ConsentWaitPage,-2
1710439587.296875,0.59375,ConsentWaitPage,-2
1710439587.875,0.578125,ConsentWaitPage,-2
1710439588.484375,0.609375,ConsentPage,-2
1710439589.109375,0.625,ConsentPage,-2
1710439589.75,0.640625,ConsentPage,-2
1710439590.40625,0.65625,ConsentPage,-2
1710439591.046875,0.640625,ConsentPage,-2
1710439591.6875,0.640625,ConsentPage,-2
1710439592.296875,0.609375,ConsentPage,-2
1710439603.53125,0.671875,PreMarketWait,1
1710439604.21875,0.6875,PreMarketWait,1
1710439604.875,0.65625,PreMarketWait,1
1710439605.53125,0.65625,PreMarketWait,1
1710439606.203125,0.671875,PreMarketWait,1
1710439606.84375,0.640625,PreMarketWait,1
1710439607.484375,0.640625,PreMarketWait,1
1710439608.09375,0.609375,PreMarketWait,1
1710439608.734375,0.640625,PreMarketWait,1
1710439609.390625,0.65625,PreMarketWait,1
1710439610.078125,0.6875,PreMarketWait,1
1710439610.734375,0.65625,PreMarketWait,1
1710439611.421875,0.6875,PreMarketWait,1
1710439612.0625,0.640625,PreMarketWait,1
1710439612.71875,0.65625,PreMarketWait,1
1710439613.359375,0.640625,PreMarketWait,1
1710439650.5,0.71875,PreMarketWait,1
1710439651.203125,0.703125,PreMarketWait,1
1710439651.890625,0.6875,PreMarketWait,1
1710439652.5625,0.671875,PreMarketWait,1
1710439653.25,0.6875,PreMarketWait,1
1710439653.921875,0.671875,PreMarketWait,1
1710439654.609375,0.6875,PreMarketWait,1
1710439655.28125,0.671875,PreMarketWait,1
1710439655.96875,0.6875,PreMarketWait,1
