time,value,page,rnd
1720471020.28125,0.6875,PreMarketWait,1
1720471021.015625,0.734375,PreMarketWait,1
1720471021.75,0.734375,PreMarketWait,1
1720471022.53125,0.78125,PreMarketWait,1
1720471023.296875,0.765625,PreMarketWait,1
1720471024.03125,0.734375,PreMarketWait,1
1720471024.8125,0.78125,PreMarketWait,1
1720471025.59375,0.78125,PreMarketWait,1
1720471026.359375,0.765625,PreMarketWait,1
1720471027.125,0.765625,PreMarketWait,1
1720471027.90625,0.78125,PreMarketWait,1
1720471028.65625,0.75,PreMarketWait,1
1720471029.296875,0.640625,PreMarketWait,1
1720471030.03125,0.734375,PreMarketWait,1
1720471030.703125,0.671875,PreMarketWait,1
1720471031.5,0.796875,PreMarketWait,1
1720471032.28125,0.78125,PreMarketWait,1
1720471033.078125,0.796875,PreMarketWait,1
1720471033.890625,0.8125,PreMarketWait,1
1720471034.71875,0.828125,PreMarketWait,1
1720471035.515625,0.796875,PreMarketWait,1
1720471036.203125,0.6875,PreMarketWait,1
1720471037.015625,0.8125,PreMarketWait,1
1720471037.796875,0.78125,PreMarketWait,1
1720471038.484375,0.6875,PreMarketWait,1
1720471039.3125,0.828125,PreMarketWait,1
1720471046.984375,0.6875,PreMarketWait,1
1720471047.796875,0.8125,PreMarketWait,1
1720471048.578125,0.78125,PreMarketWait,1
1720471049.359375,0.78125,PreMarketWait,1
1720471050.140625,0.78125,PreMarketWait,1
1720471050.828125,0.6875,PreMarketWait,1
1720471051.640625,0.8125,PreMarketWait,1
1720471052.40625,0.765625,PreMarketWait,1
1720471053.171875,0.765625,PreMarketWait,1
1720471053.84375,0.671875,PreMarketWait,1
1720471054.65625,0.8125,PreMarketWait,1
1720471055.40625,0.75,PreMarketWait,1
1720471056.1875,0.78125,PreMarketWait,1
1720471056.875,0.6875,PreMarketWait,1
1720471057.703125,0.828125,PreMarketWait,1
1720471058.484375,0.78125,PreMarketWait,1
1720471059.1875,0.703125,PreMarketWait,1
1720471059.96875,0.78125,PreMarketWait,1
1720471060.734375,0.765625,PreMarketWait,1
1720471061.5,0.765625,PreMarketWait,1
1720471062.1875,0.6875,PreMarketWait,1
1720471062.96875,0.78125,PreMarketWait,1
1720471063.71875,0.75,PreMarketWait,1
1720471064.65625,0.9375,PreMarketWait,1
1720471065.3125,0.65625,PreMarketWait,1
1720471066.015625,0.703125,PreMarketWait,1
1720471072.546875,0.71875,PreMarketWait,1
1720471073.25,0.703125,PreMarketWait,1
1720471073.953125,0.703125,PreMarketWait,1
1720471074.640625,0.6875,PreMarketWait,1
1720471075.3125,0.671875,PreMarketWait,1
1720471076.03125,0.71875,PreMarketWait,1
1720471076.765625,0.734375,PreMarketWait,1
1720471077.5,0.734375,PreMarketWait,1
1720471078.25,0.75,PreMarketWait,1
1720471078.984375,0.734375,PreMarketWait,1
1720471079.71875,0.734375,PreMarketWait,1
1720471080.453125,0.734375,PreMarketWait,1
1720471088.453125,0.65625,PreMarketWait,1
1720471089.109375,0.65625,PreMarketWait,1
1720471089.84375,0.734375,PreMarketWait,1
1720471090.625,0.78125,PreMarketWait,1
1720471091.46875,0.84375,PreMarketWait,1
1720471092.3125,0.84375,PreMarketWait,1
1720471093.0625,0.75,PreMarketWait,1
1720471093.71875,0.65625,PreMarketWait,1
1720471094.453125,0.734375,PreMarketWait,1
1720471095.125,0.671875,PreMarketWait,1
1720471095.75,0.625,PreMarketWait,1
1720471096.390625,0.640625,PreMarketWait,1
1720471097.078125,0.6875,PreMarketWait,1
1720471097.71875,0.640625,PreMarketWait,1
1720471098.375,0.65625,PreMarketWait,1
1720471099.046875,0.671875,PreMarketWait,1
1720471099.828125,0.78125,PreMarketWait,1
1720471100.734375,0.90625,PreMarketWait,1
1720471101.578125,0.84375,PreMarketWait,1
1720471102.421875,0.84375,PreMarketWait,1
1720471103.1875,0.765625,PreMarketWait,1
1720471104.0,0.8125,PreMarketWait,1
1720471104.796875,0.796875,PreMarketWait,1
1720471105.546875,0.75,PreMarketWait,1
1720471106.328125,0.78125,PreMarketWait,1
1720471107.09375,0.765625,PreMarketWait,1
1720471107.875,0.78125,PreMarketWait,1
1720471108.609375,0.734375,PreMarketWait,1
1720471109.390625,0.78125,PreMarketWait,1
1720471110.1875,0.796875,PreMarketWait,1
1720471110.953125,0.765625,PreMarketWait,1
1720471111.734375,0.78125,PreMarketWait,1
1720471112.5,0.765625,PreMarketWait,1
1720471113.1875,0.6875,PreMarketWait,1
1720471113.9375,0.75,PreMarketWait,1
1720471114.640625,0.703125,PreMarketWait,1
1720471115.359375,0.71875,PreMarketWait,1
1720471116.125,0.765625,PreMarketWait,1
1720471116.90625,0.78125,PreMarketWait,1
1720471117.578125,0.671875,PreMarketWait,1
1720471118.359375,0.78125,PreMarketWait,1
1720471119.109375,0.75,PreMarketWait,1
1720471119.859375,0.75,PreMarketWait,1
1720471120.53125,0.671875,PreMarketWait,1
1720471121.328125,0.796875,PreMarketWait,1
1720471122.078125,0.75,PreMarketWait,1
1720471122.765625,0.6875,PreMarketWait,1
1720471123.515625,0.75,PreMarketWait,1
1720471124.25,0.734375,PreMarketWait,1
1720471125.03125,0.78125,PreMarketWait,1
1720471125.796875,0.765625,PreMarketWait,1
1720471126.609375,0.8125,PreMarketWait,1
1720471127.4375,0.828125,PreMarketWait,1
1720471128.234375,0.796875,PreMarketWait,1
1720471129.0,0.765625,PreMarketWait,1
1720471129.8125,0.8125,PreMarketWait,1
1720471130.6875,0.875,PreMarketWait,1
1720471131.515625,0.828125,PreMarketWait,1
1720471132.3125,0.796875,PreMarketWait,1
1720471133.140625,0.828125,PreMarketWait,1
1720471133.984375,0.84375,PreMarketWait,1
1720471134.6875,0.703125,PreMarketWait,1
1720471135.5625,0.875,PreMarketWait,1
1720471136.375,0.8125,PreMarketWait,1
1720471137.15625,0.78125,PreMarketWait,1
1720471137.96875,0.8125,PreMarketWait,1
1720471138.78125,0.8125,PreMarketWait,1
1720471139.53125,0.75,PreMarketWait,1
1720471140.34375,0.8125,PreMarketWait,1
1720471141.171875,0.828125,PreMarketWait,1
1720471141.9375,0.765625,PreMarketWait,1
1720471142.75,0.8125,PreMarketWait,1
1720471143.5625,0.8125,PreMarketWait,1
1720471144.34375,0.78125,PreMarketWait,1
1720471145.109375,0.765625,PreMarketWait,1
1720471145.875,0.765625,PreMarketWait,1
1720471146.65625,0.78125,PreMarketWait,1
1720471147.390625,0.734375,PreMarketWait,1
1720471148.203125,0.8125,PreMarketWait,1
1720471149.015625,0.8125,PreMarketWait,1
1720471149.78125,0.765625,PreMarketWait,1
1720471150.578125,0.796875,PreMarketWait,1
1720471151.421875,0.84375,PreMarketWait,1
1720471152.1875,0.765625,PreMarketWait,1
1720471152.96875,0.78125,PreMarketWait,1
1720471153.765625,0.796875,PreMarketWait,1
1720471154.515625,0.75,PreMarketWait,1
1720471155.296875,0.78125,PreMarketWait,1
1720471156.109375,0.8125,PreMarketWait,1
1720471156.890625,0.78125,PreMarketWait,1
1720471157.65625,0.765625,PreMarketWait,1
1720471158.4375,0.78125,PreMarketWait,1
1720471159.234375,0.796875,PreMarketWait,1
1720471159.984375,0.75,PreMarketWait,1
1720471160.78125,0.796875,PreMarketWait,1
1720471161.578125,0.796875,PreMarketWait,1
1720471162.3125,0.734375,PreMarketWait,1
1720471163.09375,0.78125,PreMarketWait,1
1720471163.9375,0.84375,PreMarketWait,1
1720471164.78125,0.84375,PreMarketWait,1
1720471165.59375,0.8125,PreMarketWait,1
1720471166.453125,0.859375,PreMarketWait,1
1720471167.3125,0.859375,PreMarketWait,1
1720471168.109375,0.796875,PreMarketWait,1
1720471168.8125,0.703125,PreMarketWait,1
1720471169.609375,0.796875,PreMarketWait,1
1720471170.375,0.765625,PreMarketWait,1
1720471171.078125,0.703125,PreMarketWait,1
1720471171.890625,0.8125,PreMarketWait,1
1720471172.703125,0.8125,PreMarketWait,1
1720471173.5,0.796875,PreMarketWait,1
1720471174.25,0.75,PreMarketWait,1
1720471175.03125,0.78125,PreMarketWait,1
1720471175.828125,0.796875,PreMarketWait,1
1720471176.640625,0.8125,PreMarketWait,1
1720471177.375,0.734375,PreMarketWait,1
1720471178.15625,0.78125,PreMarketWait,1
1720471178.953125,0.796875,PreMarketWait,1
1720471179.671875,0.71875,PreMarketWait,1
1720471180.375,0.703125,PreMarketWait,1
1720471181.15625,0.78125,PreMarketWait,1
1720471181.921875,0.765625,PreMarketWait,1
1720471182.75,0.828125,PreMarketWait,1
1720471183.625,0.875,PreMarketWait,1
1720471184.453125,0.828125,PreMarketWait,1
1720471185.453125,1.0,PreMarketWait,1
1720471186.3125,0.859375,PreMarketWait,1
1720471187.140625,0.828125,PreMarketWait,1
1720471187.96875,0.828125,PreMarketWait,1
1720471188.8125,0.84375,PreMarketWait,1
1720471189.640625,0.828125,PreMarketWait,1
1720471190.4375,0.796875,PreMarketWait,1
1720471191.234375,0.796875,PreMarketWait,1
1720471192.03125,0.796875,PreMarketWait,1
1720471192.8125,0.78125,PreMarketWait,1
1720471193.625,0.8125,PreMarketWait,1
1720471194.46875,0.84375,PreMarketWait,1
1720471195.28125,0.8125,PreMarketWait,1
1720471196.078125,0.796875,PreMarketWait,1
1720471196.890625,0.8125,PreMarketWait,1
1720471197.703125,0.8125,PreMarketWait,1
