time,value,page,rnd
1720470924.203125,0.875,ConsentWaitPage,-2
1720470925.140625,0.9375,ConsentWaitPage,-2
1720470926.03125,0.890625,ConsentWaitPage,-2
1720470926.9375,0.90625,ConsentWaitPage,-2
1720470927.90625,0.96875,ConsentWaitPage,-2
1720470928.765625,0.859375,ConsentWaitPage,-2
1720470929.671875,0.90625,ConsentWaitPage,-2
1720470930.609375,0.9375,ConsentWaitPage,-2
1720470931.40625,0.796875,ConsentWaitPage,-2
1720470932.296875,0.890625,ConsentWaitPage,-2
1720470933.21875,0.921875,ConsentWaitPage,-2
1720470934.0625,0.84375,ConsentWaitPage,-2
1720470934.96875,0.90625,ConsentWaitPage,-2
1720470935.90625,0.9375,ConsentWaitPage,-2
1720470982.21875,0.6875,ConsentWaitPage,-2
1720470982.90625,0.6875,ConsentWaitPage,-2
1720470983.53125,0.625,ConsentWaitPage,-2
1720470984.265625,0.734375,ConsentWaitPage,-2
1720470984.921875,0.65625,ConsentWaitPage,-2
1720470985.5,0.578125,ConsentWaitPage,-2
1720470986.1875,0.6875,ConsentWaitPage,-2
1720470986.859375,0.671875,ConsentWaitPage,-2
1720470987.5,0.640625,ConsentWaitPage,-2
1720470993.59375,0.796875,ConsentWaitPage,-2
1720471046.53125,0.8125,PreMarketWait,1
1720471047.390625,0.859375,PreMarketWait,1
1720471048.328125,0.9375,PreMarketWait,1
1720471049.234375,0.90625,PreMarketWait,1
1720471074.671875,0.96875,PreMarketWait,1
1720471075.671875,1.0,PreMarketWait,1
1720471076.59375,0.921875,PreMarketWait,1
1720471091.09375,0.828125,PreMarketWait,1
1720471091.9375,0.84375,PreMarketWait,1
1720471111.390625,0.6875,PreMarketWait,1
1720471131.0,0.796875,PreMarketWait,1
1720471131.890625,0.890625,PreMarketWait,1
1720471139.140625,1.015625,PreMarketWait,1
1720471140.109375,0.96875,PreMarketWait,1
1720471141.078125,0.96875,PreMarketWait,1
1720471142.078125,1.0,PreMarketWait,1
1720471143.0,0.921875,PreMarketWait,1
1720471149.765625,1.046875,PreMarketWait,1
1720471150.671875,0.90625,PreMarketWait,1
1720471151.640625,0.96875,PreMarketWait,1
1720471152.609375,0.96875,PreMarketWait,1
1720471153.546875,0.9375,PreMarketWait,1
1720471154.515625,0.96875,PreMarketWait,1
1720471155.46875,0.953125,PreMarketWait,1
1720471156.46875,1.0,PreMarketWait,1
1720471157.421875,0.953125,PreMarketWait,1
1720471164.328125,0.9375,PreMarketWait,1
1720471165.3125,0.984375,PreMarketWait,1
1720471166.203125,0.890625,PreMarketWait,1
1720471167.09375,0.890625,PreMarketWait,1
1720471168.0,0.90625,PreMarketWait,1
1720471168.78125,0.78125,PreMarketWait,1
1720471169.703125,0.921875,PreMarketWait,1
1720471170.53125,0.828125,PreMarketWait,1
1720471171.375,0.84375,PreMarketWait,1
1720471172.21875,0.84375,PreMarketWait,1
1720471173.0,0.78125,PreMarketWait,1
1720471173.765625,0.765625,PreMarketWait,1
1720471174.515625,0.75,PreMarketWait,1
1720471175.375,0.859375,PreMarketWait,1
1720471220.0625,0.5,PreMarketWait,1
1720471220.578125,0.515625,PreMarketWait,1
1720471221.125,0.546875,PreMarketWait,1
1720471221.640625,0.515625,PreMarketWait,1
1720471222.171875,0.53125,PreMarketWait,1
1720471222.703125,0.53125,PreMarketWait,1
1720471223.21875,0.515625,PreMarketWait,1
1720471223.796875,0.578125,PreMarketWait,1
1720471224.3125,0.515625,PreMarketWait,1
1720471234.21875,0.953125,PreMarketWait,1
