time,value,page,rnd
1723226628.359375,0.640625,PreMarketWait,1
1723226682.34375,0.78125,PreMarketWait,1
1723226683.109375,0.765625,PreMarketWait,1
1723226683.828125,0.71875,PreMarketWait,1
1723226684.46875,0.640625,PreMarketWait,1
1723226685.1875,0.71875,PreMarketWait,1
1723226685.9375,0.75,PreMarketWait,1
1723226686.65625,0.71875,PreMarketWait,1
1723226687.375,0.71875,PreMarketWait,1
1723226688.078125,0.703125,PreMarketWait,1
1723226688.8125,0.734375,PreMarketWait,1
1723226689.40625,0.59375,PreMarketWait,1
1723226698.125,0.6875,PreMarketWait,1
1723226698.8125,0.6875,PreMarketWait,1
1723226703.734375,0.703125,PreMarketWait,1
1723226704.53125,0.796875,PreMarketWait,1
1723226705.234375,0.703125,PreMarketWait,1
1723226705.96875,0.734375,PreMarketWait,1
1723226706.703125,0.734375,PreMarketWait,1
1723226707.390625,0.6875,PreMarketWait,1
1723226708.09375,0.703125,PreMarketWait,1
1723226708.78125,0.6875,PreMarketWait,1
1723226709.5625,0.78125,PreMarketWait,1
1723226710.28125,0.71875,PreMarketWait,1
1723226711.046875,0.765625,PreMarketWait,1
1723226711.71875,0.671875,PreMarketWait,1
1723226712.46875,0.75,PreMarketWait,1
1723226713.1875,0.71875,PreMarketWait,1
1723226713.890625,0.703125,PreMarketWait,1
1723226718.171875,0.75,PreMarketWait,1
1723226718.875,0.703125,PreMarketWait,1
1723226719.578125,0.703125,PreMarketWait,1
1723226720.203125,0.625,PreMarketWait,1
1723226720.890625,0.6875,PreMarketWait,1
1723226721.609375,0.71875,PreMarketWait,1
1723226722.328125,0.71875,PreMarketWait,1
1723226722.96875,0.640625,PreMarketWait,1
1723226723.6875,0.71875,PreMarketWait,1
1723226724.40625,0.71875,PreMarketWait,1
1723226725.125,0.71875,PreMarketWait,1
1723226725.8125,0.6875,PreMarketWait,1
1723226726.5,0.6875,PreMarketWait,1
1723226727.171875,0.671875,PreMarketWait,1
1723226727.875,0.703125,PreMarketWait,1
1723226728.609375,0.734375,PreMarketWait,1
1723226729.3125,0.703125,PreMarketWait,1
1723226730.0,0.6875,PreMarketWait,1
1723226730.75,0.75,PreMarketWait,1
1723226731.453125,0.703125,PreMarketWait,1
1723226732.140625,0.6875,PreMarketWait,1
1723226732.84375,0.703125,PreMarketWait,1
1723226733.5625,0.71875,PreMarketWait,1
1723226734.265625,0.703125,PreMarketWait,1
1723226734.984375,0.71875,PreMarketWait,1
1723226735.703125,0.71875,PreMarketWait,1
1723226736.4375,0.734375,PreMarketWait,1
1723226737.15625,0.71875,PreMarketWait,1
1723226737.734375,0.578125,PreMarketWait,1
1723226738.515625,0.78125,PreMarketWait,1
1723226739.25,0.734375,PreMarketWait,1
1723226739.859375,0.609375,PreMarketWait,1
1723226740.609375,0.75,PreMarketWait,1
1723226741.265625,0.65625,PreMarketWait,1
1723226741.984375,0.71875,PreMarketWait,1
1723226742.734375,0.75,PreMarketWait,1
1723226743.421875,0.6875,PreMarketWait,1
1723226744.109375,0.6875,PreMarketWait,1
1723226744.8125,0.703125,PreMarketWait,1
1723226745.515625,0.703125,PreMarketWait,1
1723226746.140625,0.625,PreMarketWait,1
1723226746.8125,0.671875,PreMarketWait,1
1723226747.46875,0.65625,PreMarketWait,1
1723226748.109375,0.640625,PreMarketWait,1
1723226748.875,0.765625,PreMarketWait,1
1723226749.609375,0.734375,PreMarketWait,1
1723226750.296875,0.6875,PreMarketWait,1
1723226886.125,0.671875,PreMarketWait,1
1723227325.71875,0.453125,MarketWaitPage,3
1723227360.453125,0.375,RiskPage4,3
1723227406.265625,0.484375,ForecastPage,4
1723227406.640625,0.375,ForecastPage,4
1723227406.96875,0.328125,ForecastPage,4
1723227445.90625,0.734375,RiskPage1,4
1723227511.765625,0.453125,ForecastPage,5
1723227525.9375,0.578125,ForecastPage,5
1723227526.34375,0.40625,ForecastPage,5
1723227613.390625,0.515625,ForecastPage,6
1723227613.96875,0.578125,ForecastPage,6
1723227745.859375,0.40625,MarketWaitPage,7
1723227746.234375,0.375,MarketWaitPage,7
1723227746.640625,0.40625,MarketWaitPage,7
1723227750.53125,0.421875,RoundResultsPage,7
1723227814.9375,0.515625,ForecastPage,8
1723227815.375,0.4375,ForecastPage,8
1723228027.390625,0.640625,ForecastPage,10
1723228028.0625,0.671875,ForecastPage,10
1723228028.5625,0.5,ForecastPage,10
1723228154.375,0.5625,MarketWaitPage,11
1723228154.890625,0.515625,MarketWaitPage,11
1723228155.359375,0.46875,MarketWaitPage,11
1723228194.421875,0.546875,PreMarketWait,12
1723228239.296875,0.515625,ForecastPage,12
1723228239.734375,0.4375,ForecastPage,12
1723228294.71875,0.390625,PreMarketWait,13
1723228383.6875,0.515625,RiskPage2,13
1723228384.0625,0.375,RiskPage3,13
1723228423.8125,0.484375,MarketGridChoice,14
1723228641.34375,0.5,ForecastPage,16
1723228716.734375,0.609375,MarketGridChoice,17
1723228717.21875,0.484375,MarketGridChoice,17
1723228717.6875,0.46875,MarketGridChoice,17
1723228954.703125,0.375,ForecastPage,19
1723228962.859375,0.515625,ForecastPage,19
1723228967.890625,0.390625,ForecastPage,19
1723228968.375,0.484375,ForecastPage,19
1723228998.3125,0.59375,RiskPage2,19
1723229956.59375,0.453125,RiskPage3,28
1723229957.25,0.65625,RiskPage3,28
1723229997.75,0.40625,ForecastPage,29
1723229998.125,0.375,ForecastPage,29
1723230001.21875,0.609375,ForecastPage,29
1723230027.359375,0.375,MarketWaitPage,29
