time,value,page,rnd
1720634854.1875,0.703125,PreMarketWait,1
1720634854.84375,0.65625,PreMarketWait,1
1720634855.625,0.78125,PreMarketWait,1
1720634856.34375,0.71875,PreMarketWait,1
1720634857.046875,0.703125,PreMarketWait,1
1720634857.734375,0.6875,PreMarketWait,1
1720634858.28125,0.546875,PreMarketWait,1
1720634861.953125,0.828125,PreMarketWait,1
1720634884.359375,0.8125,PreMarketWait,1
1720634894.296875,0.6875,PreMarketWait,1
1720634895.109375,0.8125,PreMarketWait,1
1720634895.703125,0.59375,PreMarketWait,1
1720634896.4375,0.734375,PreMarketWait,1
1720634897.046875,0.609375,PreMarketWait,1
1720634921.828125,0.671875,PreMarketWait,1
1720634922.421875,0.59375,PreMarketWait,1
1720634961.90625,0.65625,PreMarketWait,1
1720634962.453125,0.546875,PreMarketWait,1
1720634962.984375,0.53125,PreMarketWait,1
1720634963.4375,0.453125,PreMarketWait,1
1720634966.796875,0.625,PreMarketWait,1
1720634967.34375,0.546875,PreMarketWait,1
1720635050.609375,0.609375,PreMarketWait,1
1720635062.0,0.546875,PreMarketWait,1
1720635075.4375,0.578125,PreMarketWait,1
1720635076.25,0.8125,PreMarketWait,1
1720635077.125,0.875,PreMarketWait,1
1720635077.84375,0.71875,PreMarketWait,1
1720635078.609375,0.765625,PreMarketWait,1
1720635079.234375,0.625,PreMarketWait,1
1720635105.453125,0.640625,PreMarketWait,1
1720635106.203125,0.75,PreMarketWait,1
1720635106.9375,0.734375,PreMarketWait,1
1720635110.46875,0.734375,PreMarketWait,1
1720635118.21875,0.71875,PreMarketWait,1
1720635118.953125,0.734375,PreMarketWait,1
1720635119.59375,0.640625,PreMarketWait,1
1720635120.3125,0.71875,PreMarketWait,1
1720635121.046875,0.734375,PreMarketWait,1
1720635121.796875,0.75,PreMarketWait,1
1720635122.453125,0.65625,PreMarketWait,1
1720635123.203125,0.75,PreMarketWait,1
1720635123.921875,0.71875,PreMarketWait,1
1720635124.640625,0.71875,PreMarketWait,1
1720635144.21875,0.703125,PreMarketWait,1
1720635144.9375,0.71875,PreMarketWait,1
1720635145.59375,0.65625,PreMarketWait,1
1720635146.296875,0.703125,PreMarketWait,1
1720635147.0625,0.765625,PreMarketWait,1
1720635147.765625,0.703125,PreMarketWait,1
1720635148.484375,0.71875,PreMarketWait,1
1720635149.203125,0.71875,PreMarketWait,1
1720635149.90625,0.703125,PreMarketWait,1
1720635150.609375,0.703125,PreMarketWait,1
1720635151.28125,0.671875,PreMarketWait,1
1720635152.0,0.71875,PreMarketWait,1
1720635152.703125,0.703125,PreMarketWait,1
1720635153.421875,0.71875,PreMarketWait,1
1720635154.125,0.703125,PreMarketWait,1
1720635154.828125,0.703125,PreMarketWait,1
1720635155.546875,0.71875,PreMarketWait,1
1720635156.21875,0.671875,PreMarketWait,1
1720635156.921875,0.703125,PreMarketWait,1
1720635157.578125,0.65625,PreMarketWait,1
1720635158.359375,0.78125,PreMarketWait,1
1720635159.0,0.640625,PreMarketWait,1
1720635159.78125,0.78125,PreMarketWait,1
1720635160.5,0.71875,PreMarketWait,1
