time,value,page,rnd
1721844322.53125,0.359375,ConsentWaitPage,-2
1721844369.0,0.34375,ConsentWaitPage,-2
1721844402.71875,0.4375,PreMarketWait,1
1721844413.65625,0.40625,PreMarketWait,1
1721844414.0,0.34375,PreMarketWait,1
1721844473.734375,0.359375,PreMarketWait,1
1721844474.171875,0.4375,PreMarketWait,1
1721844533.546875,0.421875,PreMarketWait,1
1721844540.578125,0.359375,PreMarketWait,1
1721844559.984375,0.421875,PreMarketWait,1
1721844651.140625,0.703125,PreMarketWait,1
1721844807.40625,0.3125,PracticeMarkerPage,1
1721844807.765625,0.359375,PracticeMarkerPage,1
1721844808.125,0.359375,PracticeMarkerPage,1
1721844808.453125,0.328125,PracticeMarkerPage,1
1721844846.625,0.375,ForecastPage,1
1721844918.328125,0.375,PreMarketWait,2
1721844973.390625,0.46875,ForecastPage,2
1721844982.0625,0.515625,MarketWaitPage,2
1721844994.125,0.34375,RoundResultsPage,2
1721844994.59375,0.46875,RoundResultsPage,2
1721845007.1875,0.3125,RiskPage2,2
1721845248.359375,0.34375,MarketGridChoice,5
1721845290.21875,0.53125,ForecastPage,5
1721845360.96875,0.4375,MarketGridChoice,6
1721845474.515625,0.484375,ForecastPage,7
1721845480.265625,0.359375,ForecastPage,7
1721845503.3125,0.4375,RiskPage1,7
1721845503.625,0.3125,RiskPage1,7
1721845549.6875,0.359375,MarketGridChoice,8
1721845574.671875,0.453125,ForecastPage,8
1721845575.046875,0.375,ForecastPage,8
1721845631.703125,0.375,PreMarketWait,9
1721845680.3125,0.3125,ForecastPage,9
1721845680.6875,0.375,ForecastPage,9
1721845681.140625,0.453125,ForecastPage,9
1721845781.453125,0.375,ForecastPage,10
1721845781.765625,0.3125,ForecastPage,10
1721845801.15625,0.34375,MarketWaitPage,10
1721846232.359375,0.328125,MarketGridChoice,14
1721846232.71875,0.359375,MarketGridChoice,14
1721846235.9375,0.421875,MarketGridChoice,14
1721846274.03125,0.3125,ForecastPage,14
1721846346.15625,0.390625,MarketGridChoice,15
1721846381.703125,0.40625,ForecastPage,15
1721846385.875,0.359375,ForecastPage,15
1721846386.203125,0.328125,ForecastPage,15
1721846386.5625,0.359375,ForecastPage,15
1721846419.625,0.3125,RiskPage2,15
1721846505.03125,0.46875,ForecastPage,16
1721846562.75,0.328125,PreMarketWait,17
1721846563.1875,0.4375,PreMarketWait,17
1721846691.671875,0.546875,RiskPage4,17
1721846815.28125,0.34375,RiskPage2,18
1721846981.921875,0.40625,MarketGridChoice,20
1721846982.328125,0.40625,MarketGridChoice,20
1721847098.171875,0.34375,ForecastPage,21
1721847098.515625,0.34375,ForecastPage,21
1721847172.296875,0.5,PreMarketWait,22
1721847172.671875,0.375,PreMarketWait,22
1721847173.09375,0.421875,PreMarketWait,22
1721847550.140625,0.40625,MarketGridChoice,25
1721847560.609375,0.4375,MarketGridChoice,25
1721847560.9375,0.328125,MarketGridChoice,25
1721847561.296875,0.359375,MarketGridChoice,25
1721847563.09375,0.390625,MarketGridChoice,25
1721847597.140625,0.5,MarketWaitPage,25
1721847673.5,0.4375,MarketGridChoice,26
1721847743.15625,0.34375,RiskPage2,26
1721847827.421875,0.484375,ForecastPage,27
1721847849.453125,0.375,RoundResultsPage,27
1721847914.78125,0.421875,MarketGridChoice,28
1721848109.609375,0.375,RoundResultsPage,29
1721848147.4375,0.390625,PreMarketWait,30
1721848155.828125,0.40625,PreMarketWait,30
1721848194.78125,0.34375,ForecastPage,30
1721848231.484375,0.4375,RoundResultsPage,30
1721848231.828125,0.34375,RoundResultsPage,30
1721848248.734375,0.390625,RiskPage3,30
