time,value,page,rnd
1721844340.59375,0.734375,ConsentWaitPage,-2
1721844341.265625,0.671875,ConsentWaitPage,-2
1721844341.890625,0.625,ConsentWaitPage,-2
1721844342.5,0.609375,ConsentWaitPage,-2
1721844343.203125,0.703125,ConsentWaitPage,-2
1721844343.859375,0.65625,ConsentWaitPage,-2
1721844344.53125,0.671875,ConsentWaitPage,-2
1721844345.171875,0.640625,ConsentWaitPage,-2
1721844345.796875,0.625,ConsentWaitPage,-2
1721844346.375,0.578125,ConsentWaitPage,-2
1721844354.546875,0.65625,ConsentWaitPage,-2
1721844355.171875,0.625,ConsentWaitPage,-2
1721844367.4375,0.640625,ConsentWaitPage,-2
1721844368.09375,0.65625,ConsentWaitPage,-2
1721844381.890625,0.609375,ConsentWaitPage,-2
1721844382.53125,0.640625,ConsentWaitPage,-2
1721844383.21875,0.6875,ConsentPage,-2
1721844383.921875,0.703125,ConsentPage,-2
1721844399.078125,0.625,PreMarketWait,1
1721844399.59375,0.515625,PreMarketWait,1
1721844400.21875,0.625,PreMarketWait,1
1721844412.15625,0.671875,PreMarketWait,1
1721844412.84375,0.6875,PreMarketWait,1
1721844413.5625,0.71875,PreMarketWait,1
1721844414.171875,0.609375,PreMarketWait,1
1721844418.375,0.640625,PreMarketWait,1
1721844422.9375,0.6875,PreMarketWait,1
1721844423.59375,0.65625,PreMarketWait,1
1721844429.703125,0.703125,PreMarketWait,1
1721844430.390625,0.6875,PreMarketWait,1
1721844431.078125,0.6875,PreMarketWait,1
1721844431.796875,0.71875,PreMarketWait,1
1721844432.484375,0.6875,PreMarketWait,1
1721844433.09375,0.609375,PreMarketWait,1
1721844433.734375,0.640625,PreMarketWait,1
1721844434.359375,0.625,PreMarketWait,1
1721844435.046875,0.6875,PreMarketWait,1
1721844435.734375,0.6875,PreMarketWait,1
1721844436.453125,0.71875,PreMarketWait,1
1721844437.125,0.671875,PreMarketWait,1
1721844437.8125,0.6875,PreMarketWait,1
1721844438.46875,0.65625,PreMarketWait,1
1721844439.140625,0.671875,PreMarketWait,1
1721844439.8125,0.671875,PreMarketWait,1
1721844440.4375,0.625,PreMarketWait,1
1721844441.09375,0.65625,PreMarketWait,1
1721844447.8125,0.578125,PreMarketWait,1
1721844459.171875,0.703125,PreMarketWait,1
1721844459.8125,0.640625,PreMarketWait,1
1721844460.453125,0.640625,PreMarketWait,1
1721844461.125,0.671875,PreMarketWait,1
1721844461.78125,0.65625,PreMarketWait,1
1721844462.4375,0.65625,PreMarketWait,1
1721844463.078125,0.640625,PreMarketWait,1
1721844463.734375,0.65625,PreMarketWait,1
1721844464.390625,0.65625,PreMarketWait,1
1721844465.0625,0.671875,PreMarketWait,1
1721844465.734375,0.671875,PreMarketWait,1
1721844466.375,0.640625,PreMarketWait,1
1721844467.046875,0.671875,PreMarketWait,1
1721844467.6875,0.640625,PreMarketWait,1
1721844468.359375,0.671875,PreMarketWait,1
1721844468.96875,0.609375,PreMarketWait,1
1721844469.6875,0.71875,PreMarketWait,1
1721844470.328125,0.640625,PreMarketWait,1
1721844470.96875,0.640625,PreMarketWait,1
1721844471.671875,0.703125,PreMarketWait,1
1721844472.34375,0.671875,PreMarketWait,1
1721844473.078125,0.734375,PreMarketWait,1
1721844473.8125,0.734375,PreMarketWait,1
1721844474.53125,0.71875,PreMarketWait,1
1721844491.078125,0.71875,PreMarketWait,1
1721844491.78125,0.703125,PreMarketWait,1
1721844492.453125,0.671875,PreMarketWait,1
1721844493.171875,0.71875,PreMarketWait,1
1721844493.890625,0.71875,PreMarketWait,1
1721844494.640625,0.75,PreMarketWait,1
1721844495.34375,0.703125,PreMarketWait,1
1721844496.03125,0.6875,PreMarketWait,1
1721844496.734375,0.703125,PreMarketWait,1
1721844497.484375,0.75,PreMarketWait,1
1721844498.265625,0.78125,PreMarketWait,1
1721844498.953125,0.6875,PreMarketWait,1
1721844503.859375,0.71875,PreMarketWait,1
1721844504.5625,0.703125,PreMarketWait,1
1721844505.296875,0.734375,PreMarketWait,1
1721844505.984375,0.6875,PreMarketWait,1
1721844506.71875,0.734375,PreMarketWait,1
1721844507.515625,0.796875,PreMarketWait,1
1721844554.9375,0.734375,PreMarketWait,1
1721844555.6875,0.75,PreMarketWait,1
1721844556.359375,0.671875,PreMarketWait,1
1721844556.96875,0.609375,PreMarketWait,1
1721844557.59375,0.625,PreMarketWait,1
1721844558.25,0.65625,PreMarketWait,1
1721844558.890625,0.640625,PreMarketWait,1
1721844559.546875,0.65625,PreMarketWait,1
1721844560.25,0.703125,PreMarketWait,1
1721844645.359375,1.0,PreMarketWait,1
1721844646.390625,1.03125,PreMarketWait,1
1721844654.6875,0.5625,PreMarketWait,1
1721844669.328125,0.5625,PreMarketWait,1
1721844673.90625,0.609375,PreMarketWait,1
1721844674.578125,0.671875,PreMarketWait,1
1721844675.21875,0.640625,PreMarketWait,1
1721844675.875,0.65625,PreMarketWait,1
1721844676.546875,0.671875,PreMarketWait,1
1721844677.234375,0.6875,PreMarketWait,1
1721844677.96875,0.734375,PreMarketWait,1
1721844678.65625,0.6875,PreMarketWait,1
1721844679.3125,0.65625,PreMarketWait,1
1721844680.0,0.6875,PreMarketWait,1
1721844680.671875,0.671875,PreMarketWait,1
1721844681.359375,0.6875,PreMarketWait,1
1721844682.0,0.640625,PreMarketWait,1
1721844688.84375,0.703125,PreMarketWait,1
1721844689.515625,0.671875,PreMarketWait,1
1721844690.1875,0.671875,PreMarketWait,1
1721844690.90625,0.71875,PreMarketWait,1
1721844691.59375,0.6875,PreMarketWait,1
1721844692.296875,0.703125,PreMarketWait,1
1721844692.953125,0.65625,PreMarketWait,1
1721844693.625,0.671875,PreMarketWait,1
1721844694.34375,0.71875,PreMarketWait,1
1721844695.03125,0.6875,PreMarketWait,1
1721844695.734375,0.703125,PreMarketWait,1
1721844696.421875,0.6875,PreMarketWait,1
1721844697.125,0.703125,PreMarketWait,1
1721844697.859375,0.734375,PreMarketWait,1
1721844698.734375,0.875,PreMarketWait,1
1721844699.421875,0.6875,PreMarketWait,1
1721844700.125,0.703125,PreMarketWait,1
1721844700.828125,0.703125,PreMarketWait,1
1721844701.5,0.671875,PreMarketWait,1
1721844702.140625,0.640625,PreMarketWait,1
1721844734.421875,0.609375,PreMarketWait,1
1721844735.0,0.578125,PreMarketWait,1
1721844741.3125,0.640625,PreMarketWait,1
1721844754.46875,0.625,PreMarketWait,1
1721844755.0625,0.59375,PreMarketWait,1
1721844755.6875,0.625,PreMarketWait,1
1721844756.34375,0.65625,PreMarketWait,1
1721844756.984375,0.640625,PreMarketWait,1
1721844757.625,0.640625,PreMarketWait,1
1721844758.296875,0.671875,PreMarketWait,1
1721844758.984375,0.6875,PreMarketWait,1
1721844759.65625,0.671875,PreMarketWait,1
1721844760.3125,0.65625,PreMarketWait,1
1721844760.96875,0.65625,PreMarketWait,1
1721844761.640625,0.671875,PreMarketWait,1
1721844762.3125,0.671875,PreMarketWait,1
1721844762.921875,0.609375,PreMarketWait,1
1721844763.5625,0.640625,PreMarketWait,1
1721844764.25,0.6875,PreMarketWait,1
1721844792.34375,0.875,PracticeMarkerPage,1
1721844793.0,0.65625,PracticeMarkerPage,1
1721844798.21875,0.6875,PracticeMarkerPage,1
1721844798.9375,0.71875,PracticeMarkerPage,1
1721844799.84375,0.90625,PracticeMarkerPage,1
1721844800.6875,0.84375,PracticeMarkerPage,1
1721844801.5,0.8125,PracticeMarkerPage,1
1721844823.59375,0.640625,MarketGridChoice,1
1721844824.203125,0.609375,MarketGridChoice,1
1721844830.734375,0.671875,ForecastPage,1
1721844831.328125,0.59375,ForecastPage,1
1721844831.96875,0.640625,ForecastPage,1
1721844832.53125,0.5625,ForecastPage,1
1721844833.125,0.59375,ForecastPage,1
1721844833.765625,0.640625,ForecastPage,1
1721844834.484375,0.71875,ForecastPage,1
1721844835.1875,0.703125,ForecastPage,1
1721844835.84375,0.65625,ForecastPage,1
1721844858.484375,0.640625,ForecastPage,1
1721844859.171875,0.6875,ForecastPage,1
1721844870.21875,0.6875,MarketWaitPage,1
1721844906.65625,0.65625,PreMarketWait,2
1721844947.109375,0.671875,MarketGridChoice,2
1721844947.78125,0.671875,MarketGridChoice,2
1721844948.40625,0.625,MarketGridChoice,2
1721844949.03125,0.625,ForecastPage,2
1721844949.65625,0.625,ForecastPage,2
1721844963.71875,0.6875,ForecastPage,2
1721844964.4375,0.71875,ForecastPage,2
1721844965.140625,0.703125,ForecastPage,2
1721844965.84375,0.703125,ForecastPage,2
1721844966.546875,0.703125,ForecastPage,2
1721844967.25,0.703125,ForecastPage,2
1721844967.953125,0.703125,ForecastPage,2
1721844968.65625,0.703125,ForecastPage,2
1721844969.359375,0.703125,ForecastPage,2
1721844970.046875,0.6875,ForecastPage,2
1721844970.75,0.703125,ForecastPage,2
1721844971.453125,0.703125,ForecastPage,2
1721844972.125,0.671875,ForecastPage,2
1721844972.78125,0.65625,ForecastPage,2
1721844973.5,0.71875,ForecastPage,2
1721844974.171875,0.671875,ForecastPage,2
1721844974.859375,0.6875,ForecastPage,2
1721844975.53125,0.671875,ForecastPage,2
1721844976.1875,0.65625,ForecastPage,2
1721844976.890625,0.703125,ForecastPage,2
1721844995.546875,0.65625,RoundResultsPage,2
1721844996.15625,0.609375,RoundResultsPage,2
1721844996.796875,0.640625,RoundResultsPage,2
1721844997.5,0.703125,RoundResultsPage,2
1721844998.15625,0.65625,RoundResultsPage,2
1721844998.859375,0.703125,RoundResultsPage,2
1721844999.53125,0.671875,RiskPage1,2
1721845000.1875,0.65625,RiskPage1,2
1721845000.828125,0.640625,RiskPage1,2
1721845048.59375,0.609375,MarketGridChoice,3
1721845049.203125,0.609375,MarketGridChoice,3
1721845049.796875,0.59375,MarketGridChoice,3
1721845050.421875,0.625,MarketGridChoice,3
1721845051.046875,0.625,MarketGridChoice,3
1721845065.109375,0.59375,ForecastPage,3
1721845065.703125,0.59375,ForecastPage,3
1721845066.328125,0.625,ForecastPage,3
1721845066.953125,0.625,ForecastPage,3
1721845070.6875,0.625,ForecastPage,3
1721845071.328125,0.640625,ForecastPage,3
1721845071.953125,0.625,ForecastPage,3
1721845072.609375,0.65625,ForecastPage,3
1721845073.25,0.640625,ForecastPage,3
1721845073.921875,0.671875,ForecastPage,3
1721845074.609375,0.6875,ForecastPage,3
1721845075.296875,0.6875,ForecastPage,3
1721845075.96875,0.671875,ForecastPage,3
1721845076.65625,0.6875,ForecastPage,3
1721845077.328125,0.671875,ForecastPage,3
1721845078.0,0.671875,ForecastPage,3
1721845078.6875,0.6875,ForecastPage,3
1721845079.359375,0.671875,ForecastPage,3
1721845080.0625,0.703125,ForecastPage,3
1721845158.703125,0.59375,MarketGridChoice,4
1721845159.34375,0.640625,MarketGridChoice,4
1721845159.984375,0.640625,MarketGridChoice,4
1721845160.65625,0.671875,MarketGridChoice,4
1721845161.296875,0.640625,MarketGridChoice,4
1721845161.953125,0.65625,MarketGridChoice,4
1721845162.609375,0.65625,ForecastPage,4
1721845163.234375,0.625,ForecastPage,4
1721845163.9375,0.703125,ForecastPage,4
1721845176.640625,0.71875,ForecastPage,4
1721845177.359375,0.71875,ForecastPage,4
1721845178.09375,0.734375,ForecastPage,4
1721845183.8125,0.75,ForecastPage,4
1721845184.515625,0.703125,ForecastPage,4
1721845257.578125,0.640625,MarketGridChoice,5
1721845258.203125,0.625,MarketGridChoice,5
1721845258.890625,0.6875,MarketGridChoice,5
1721845259.515625,0.625,MarketGridChoice,5
1721845273.0625,0.734375,ForecastPage,5
1721845273.765625,0.703125,ForecastPage,5
1721845274.453125,0.6875,ForecastPage,5
1721845275.203125,0.75,ForecastPage,5
1721845275.890625,0.6875,ForecastPage,5
1721845276.609375,0.71875,ForecastPage,5
1721845277.265625,0.65625,ForecastPage,5
1721845284.078125,0.671875,ForecastPage,5
1721845284.78125,0.703125,ForecastPage,5
1721845305.203125,0.6875,RoundResultsPage,5
1721845305.859375,0.65625,RoundResultsPage,5
1721845306.578125,0.71875,RoundResultsPage,5
1721845307.21875,0.640625,RoundResultsPage,5
1721845307.9375,0.71875,RoundResultsPage,5
1721845308.625,0.6875,RoundResultsPage,5
1721845309.375,0.75,RoundResultsPage,5
1721845310.0625,0.6875,RiskPage1,5
1721845375.046875,0.640625,ForecastPage,6
1721845375.65625,0.609375,ForecastPage,6
1721845376.40625,0.75,ForecastPage,6
1721845381.0,0.78125,ForecastPage,6
1721845381.703125,0.703125,ForecastPage,6
1721845382.3125,0.609375,ForecastPage,6
1721845446.65625,0.625,MarketGridChoice,7
1721845447.28125,0.625,MarketGridChoice,7
1721845447.9375,0.65625,MarketGridChoice,7
1721845448.5625,0.625,MarketGridChoice,7
1721845449.359375,0.796875,MarketGridChoice,7
1721845450.21875,0.859375,MarketGridChoice,7
1721845467.703125,0.703125,ForecastPage,7
1721845468.390625,0.6875,ForecastPage,7
1721845469.046875,0.65625,ForecastPage,7
1721845469.65625,0.609375,ForecastPage,7
1721845470.28125,0.625,ForecastPage,7
1721845470.90625,0.625,ForecastPage,7
1721845471.578125,0.671875,ForecastPage,7
1721845472.25,0.671875,ForecastPage,7
1721845472.90625,0.65625,ForecastPage,7
1721845473.578125,0.671875,ForecastPage,7
1721845474.234375,0.65625,ForecastPage,7
1721845474.9375,0.703125,ForecastPage,7
1721845475.640625,0.703125,ForecastPage,7
1721845476.34375,0.703125,ForecastPage,7
1721845477.015625,0.671875,ForecastPage,7
1721845477.671875,0.65625,ForecastPage,7
1721845478.375,0.703125,ForecastPage,7
1721845479.03125,0.65625,ForecastPage,7
1721845479.796875,0.765625,ForecastPage,7
1721845480.453125,0.65625,ForecastPage,7
1721845481.171875,0.71875,ForecastPage,7
1721845481.875,0.703125,ForecastPage,7
1721845482.5625,0.6875,ForecastPage,7
1721845483.234375,0.671875,ForecastPage,7
1721845483.90625,0.671875,ForecastPage,7
1721845500.671875,0.625,RoundResultsPage,7
1721845501.328125,0.65625,RoundResultsPage,7
1721845501.921875,0.59375,RoundResultsPage,7
1721845502.484375,0.5625,RoundResultsPage,7
1721845503.0625,0.578125,RiskPage1,7
1721845515.6875,0.578125,RiskPage3,7
1721845516.28125,0.59375,RiskPage3,7
1721845516.96875,0.6875,RiskPage3,7
1721845521.4375,0.703125,RiskPage4,7
1721845522.078125,0.640625,RiskPage4,7
1721845522.734375,0.65625,RiskPage4,7
1721845523.390625,0.65625,RiskPage4,7
1721845565.5625,0.65625,ForecastPage,8
1721845566.203125,0.640625,ForecastPage,8
1721845566.875,0.671875,ForecastPage,8
1721845567.46875,0.59375,ForecastPage,8
1721845568.203125,0.734375,ForecastPage,8
1721845568.859375,0.65625,ForecastPage,8
1721845569.5,0.640625,ForecastPage,8
1721845570.1875,0.6875,ForecastPage,8
1721845624.796875,0.640625,PreMarketWait,9
1721845625.453125,0.65625,PreMarketWait,9
1721845626.0625,0.609375,PreMarketWait,9
1721845626.703125,0.640625,PreMarketWait,9
1721845627.296875,0.59375,PreMarketWait,9
