time,value,page,rnd
1720557212.140625,1.015625,PreMarketWait,1
1720557220.171875,1.109375,PreMarketWait,1
1720557221.25,1.078125,PreMarketWait,1
1720557262.640625,1.25,PreMarketWait,1
1720557263.703125,1.0625,PreMarketWait,1
1720557264.71875,1.015625,PreMarketWait,1
1720557285.5,0.953125,PreMarketWait,1
1720557286.375,0.875,PreMarketWait,1
1720557287.28125,0.90625,PreMarketWait,1
1720557288.125,0.84375,PreMarketWait,1
1720557289.0625,0.9375,PreMarketWait,1
1720557290.03125,0.96875,PreMarketWait,1
1720557291.015625,0.984375,PreMarketWait,1
1720557291.984375,0.96875,PreMarketWait,1
1720557292.953125,0.96875,PreMarketWait,1
1720557293.953125,1.0,PreMarketWait,1
1720557295.015625,1.0625,PreMarketWait,1
1720557301.015625,1.0625,PreMarketWait,1
1720557302.03125,1.015625,PreMarketWait,1
1720557303.109375,1.078125,PreMarketWait,1
1720557304.109375,1.0,PreMarketWait,1
1720557305.140625,1.03125,PreMarketWait,1
1720557306.15625,1.015625,PreMarketWait,1
1720557307.171875,1.015625,PreMarketWait,1
1720557308.1875,1.015625,PreMarketWait,1
1720557309.25,1.0625,PreMarketWait,1
1720557310.28125,1.03125,PreMarketWait,1
1720557311.3125,1.03125,PreMarketWait,1
1720557312.421875,1.109375,PreMarketWait,1
1720557313.46875,1.046875,PreMarketWait,1
1720557314.421875,0.953125,PreMarketWait,1
1720557315.4375,1.015625,PreMarketWait,1
1720557316.421875,0.984375,PreMarketWait,1
1720557317.34375,0.921875,PreMarketWait,1
1720557318.328125,0.984375,PreMarketWait,1
1720557319.25,0.921875,PreMarketWait,1
1720557320.171875,0.921875,PreMarketWait,1
1720557321.1875,1.015625,PreMarketWait,1
1720557322.1875,1.0,PreMarketWait,1
1720557323.109375,0.921875,PreMarketWait,1
1720557346.453125,1.125,PreMarketWait,1
1720557347.46875,1.015625,PreMarketWait,1
1720557348.484375,1.015625,PreMarketWait,1
1720557356.671875,1.0,PreMarketWait,1
1720557357.59375,0.921875,PreMarketWait,1
1720557358.671875,1.078125,PreMarketWait,1
1720557359.671875,1.0,PreMarketWait,1
1720557379.109375,1.03125,PreMarketWait,1
1720557380.1875,1.078125,PreMarketWait,1
1720557381.21875,1.03125,PreMarketWait,1
1720557422.6875,1.046875,PreMarketWait,1
1720557423.6875,1.0,PreMarketWait,1
1720557424.734375,1.046875,PreMarketWait,1
1720557425.78125,1.046875,PreMarketWait,1
1720557426.765625,0.984375,PreMarketWait,1
1720557427.75,0.984375,PreMarketWait,1
1720557428.734375,0.984375,PreMarketWait,1
1720557429.765625,1.03125,PreMarketWait,1
1720557430.734375,0.96875,PreMarketWait,1
1720557442.453125,1.203125,PreMarketWait,1
1720557443.484375,1.03125,PreMarketWait,1
1720557444.5,1.015625,PreMarketWait,1
1720557468.15625,0.953125,PreMarketWait,1
1720557469.078125,0.921875,PreMarketWait,1
1720557470.09375,1.015625,PreMarketWait,1
1720557471.125,1.03125,PreMarketWait,1
1720557472.09375,0.96875,PreMarketWait,1
1720557473.09375,1.0,PreMarketWait,1
1720557474.21875,1.125,PreMarketWait,1
1720557479.203125,1.0625,PreMarketWait,1
1720557480.234375,1.03125,PreMarketWait,1
1720557497.109375,0.9375,PreMarketWait,1
1720557498.09375,0.984375,PreMarketWait,1
1720557499.109375,1.015625,PreMarketWait,1
1720557510.171875,0.984375,PreMarketWait,1
1720557511.28125,1.109375,PreMarketWait,1
1720557512.265625,0.984375,PreMarketWait,1
1720557513.265625,1.0,PreMarketWait,1
1720557514.296875,1.03125,PreMarketWait,1
1720557515.28125,0.984375,PreMarketWait,1
1720557516.265625,0.984375,PreMarketWait,1
1720557517.28125,1.015625,PreMarketWait,1
1720557518.296875,1.015625,PreMarketWait,1
1720557519.296875,1.0,PreMarketWait,1
1720557520.3125,1.015625,PreMarketWait,1
1720557634.5625,1.1875,MarketGridChoice,1
1720557653.75,0.96875,ForecastPage,1
1720557664.015625,1.109375,ForecastPage,1
1720557665.078125,1.0625,ForecastPage,1
1720557689.0625,1.125,RoundResultsPage,1
1720557690.03125,0.96875,RoundResultsPage,1
1720557690.9375,0.90625,RoundResultsPage,1
1720557691.859375,0.921875,RoundResultsPage,1
1720557702.09375,0.90625,RiskPage1,1
1720557703.140625,1.046875,RiskPage1,1
1720557704.21875,1.078125,RiskPage2,1
1720557705.140625,0.921875,RiskPage2,1
1720557706.109375,0.96875,RiskPage2,1
1720557707.0,0.890625,RiskPage2,1
1720557707.875,0.875,RiskPage2,1
1720557708.796875,0.921875,RiskPage2,1
1720557709.703125,0.90625,RiskPage2,1
1720557710.671875,0.96875,RiskPage3,1
1720557711.6875,1.015625,RiskPage3,1
1720557712.703125,1.015625,RiskPage3,1
1720557713.609375,0.90625,RiskPage3,1
1720557714.59375,0.984375,RiskPage3,1
1720557715.609375,1.015625,RiskPage4,1
1720557716.515625,0.90625,RiskPage4,1
1720557717.53125,1.015625,RiskPage4,1
1720557718.546875,1.015625,RiskPage4,1
1720557719.546875,1.0,RiskPage4,1
1720557720.578125,1.03125,PreMarketWait,2
1720557721.625,1.046875,PreMarketWait,2
1720557722.640625,1.015625,PreMarketWait,2
1720557723.640625,1.0,PreMarketWait,2
1720557724.71875,1.078125,PreMarketWait,2
1720557725.703125,0.984375,PreMarketWait,2
1720557726.75,1.046875,PreMarketWait,2
1720557727.765625,1.015625,PreMarketWait,2
1720557728.734375,0.96875,PreMarketWait,2
1720557729.71875,0.984375,PreMarketWait,2
1720557730.734375,1.015625,PreMarketWait,2
1720557757.828125,1.09375,MarketGridChoice,2
1720557768.203125,1.140625,MarketGridChoice,2
1720557769.171875,0.96875,MarketGridChoice,2
1720557770.15625,0.984375,MarketGridChoice,2
1720557771.265625,1.109375,MarketGridChoice,2
1720557772.1875,0.921875,MarketGridChoice,2
1720557773.296875,1.109375,MarketGridChoice,2
1720557774.3125,1.015625,MarketGridChoice,2
1720557775.265625,0.953125,MarketGridChoice,2
1720557776.34375,1.078125,ForecastPage,2
1720557777.453125,1.109375,ForecastPage,2
1720557784.28125,0.921875,ForecastPage,2
1720557793.3125,0.9375,ForecastPage,2
1720557794.328125,1.015625,ForecastPage,2
1720557838.078125,0.828125,RiskPage3,2
1720557839.015625,0.9375,RiskPage3,2
1720557839.9375,0.921875,RiskPage3,2
1720557840.953125,1.015625,RiskPage3,2
1720557842.03125,1.078125,RiskPage4,2
1720557848.140625,1.015625,PreMarketWait,3
1720557849.15625,1.015625,PreMarketWait,3
1720557850.171875,1.015625,PreMarketWait,3
1720557851.21875,1.046875,PreMarketWait,3
1720557852.21875,1.0,MarketGridChoice,3
1720557853.234375,1.015625,MarketGridChoice,3
1720557882.453125,0.953125,ForecastPage,3
1720557883.46875,1.015625,ForecastPage,3
1720557884.453125,0.984375,ForecastPage,3
1720557885.484375,1.03125,ForecastPage,3
1720557886.46875,0.984375,ForecastPage,3
1720557887.453125,0.984375,ForecastPage,3
1720557888.515625,1.0625,ForecastPage,3
1720557889.5,0.984375,ForecastPage,3
1720557890.421875,0.921875,ForecastPage,3
1720557891.515625,1.09375,ForecastPage,3
1720557892.46875,0.953125,ForecastPage,3
1720557893.4375,0.96875,ForecastPage,3
1720557894.375,0.9375,ForecastPage,3
1720557895.421875,1.046875,ForecastPage,3
1720557896.34375,0.921875,ForecastPage,3
1720557897.34375,1.0,ForecastPage,3
1720557898.328125,0.984375,ForecastPage,3
1720557899.40625,1.078125,ForecastPage,3
1720557900.40625,1.0,ForecastPage,3
1720558012.96875,1.109375,MarketWaitPage,4
1720558013.78125,0.8125,MarketWaitPage,4
1720558047.796875,0.875,RiskPage3,4
1720558068.859375,1.078125,MarketGridChoice,5
1720558069.859375,1.0,MarketGridChoice,5
1720558070.90625,1.046875,MarketGridChoice,5
1720558071.71875,0.8125,MarketGridChoice,5
1720558082.28125,1.09375,MarketGridChoice,5
1720558083.359375,1.078125,MarketGridChoice,5
1720558097.828125,1.015625,ForecastPage,5
1720558098.671875,0.84375,ForecastPage,5
1720558104.09375,1.15625,ForecastPage,5
1720558105.140625,1.046875,ForecastPage,5
1720558106.171875,1.03125,ForecastPage,5
1720558107.140625,0.96875,ForecastPage,5
1720558108.203125,1.0625,ForecastPage,5
1720558109.265625,1.0625,ForecastPage,5
1720558110.234375,0.96875,ForecastPage,5
1720558117.0,1.03125,ForecastPage,5
1720558117.953125,0.953125,ForecastPage,5
1720558118.703125,0.75,ForecastPage,5
1720558123.78125,0.90625,RoundResultsPage,5
1720558124.84375,1.0625,RoundResultsPage,5
1720558143.921875,1.015625,RiskPage2,5
1720558168.421875,1.03125,MarketGridChoice,6
1720558169.46875,1.046875,MarketGridChoice,6
1720558170.78125,1.3125,MarketGridChoice,6
1720558182.3125,1.03125,MarketGridChoice,6
1720558183.390625,1.078125,MarketGridChoice,6
1720558184.390625,1.0,MarketGridChoice,6
1720558185.421875,1.03125,MarketGridChoice,6
1720558186.421875,1.0,MarketGridChoice,6
1720558187.40625,0.984375,ForecastPage,6
1720558188.4375,1.03125,ForecastPage,6
1720558189.5,1.0625,ForecastPage,6
1720558190.5,1.0,ForecastPage,6
1720558191.5625,1.0625,ForecastPage,6
1720558200.953125,1.0625,ForecastPage,6
1720558201.96875,1.015625,ForecastPage,6
1720558202.984375,1.015625,ForecastPage,6
1720558203.984375,1.0,ForecastPage,6
1720558205.046875,1.0625,ForecastPage,6
1720558206.09375,1.046875,ForecastPage,6
1720558207.078125,0.984375,ForecastPage,6
1720558208.109375,1.03125,ForecastPage,6
1720558209.078125,0.96875,ForecastPage,6
1720558210.03125,0.953125,ForecastPage,6
1720558210.921875,0.890625,ForecastPage,6
1720558211.859375,0.9375,ForecastPage,6
1720558212.78125,0.921875,ForecastPage,6
1720558213.8125,1.03125,ForecastPage,6
1720558214.859375,1.046875,ForecastPage,6
1720558215.828125,0.96875,ForecastPage,6
1720558216.875,1.046875,ForecastPage,6
1720558217.859375,0.984375,MarketWaitPage,6
1720558218.890625,1.03125,MarketWaitPage,6
1720558219.921875,1.03125,MarketWaitPage,6
1720558220.921875,1.0,RoundResultsPage,6
1720558221.90625,0.984375,RoundResultsPage,6
1720558222.90625,1.0,RoundResultsPage,6
1720558224.125,1.21875,RoundResultsPage,6
1720558225.09375,0.96875,RoundResultsPage,6
1720558226.15625,1.0625,RoundResultsPage,6
1720558227.203125,1.046875,RoundResultsPage,6
1720558228.203125,1.0,RoundResultsPage,6
1720558229.25,1.046875,RoundResultsPage,6
1720558230.328125,1.078125,RoundResultsPage,6
1720558231.34375,1.015625,RiskPage1,6
1720558232.390625,1.046875,RiskPage1,6
1720558260.296875,1.15625,PreMarketWait,7
1720558261.4375,1.140625,MarketGridChoice,7
1720558262.578125,1.140625,MarketGridChoice,7
1720558263.671875,1.09375,MarketGridChoice,7
1720558264.78125,1.109375,MarketGridChoice,7
1720558276.796875,1.0625,MarketGridChoice,7
1720558277.875,1.078125,MarketGridChoice,7
1720558278.90625,1.03125,MarketGridChoice,7
1720558279.84375,0.9375,MarketGridChoice,7
1720558285.96875,1.03125,ForecastPage,7
1720558286.9375,0.96875,ForecastPage,7
1720558288.03125,1.09375,ForecastPage,7
1720558289.140625,1.109375,ForecastPage,7
1720558290.1875,1.046875,ForecastPage,7
1720558291.265625,1.078125,ForecastPage,7
1720558292.296875,1.03125,ForecastPage,7
1720558293.359375,1.0625,ForecastPage,7
1720558294.328125,0.96875,ForecastPage,7
1720558295.375,1.046875,ForecastPage,7
1720558296.390625,1.015625,ForecastPage,7
1720558297.40625,1.015625,ForecastPage,7
1720558298.5,1.09375,ForecastPage,7
1720558299.53125,1.03125,ForecastPage,7
1720558300.609375,1.078125,ForecastPage,7
1720558301.703125,1.09375,ForecastPage,7
1720558302.65625,0.953125,ForecastPage,7
1720558313.328125,0.828125,MarketWaitPage,7
1720558314.375,1.046875,MarketWaitPage,7
1720558315.625,1.25,MarketWaitPage,7
1720558321.875,1.0625,RoundResultsPage,7
1720558322.71875,0.84375,RoundResultsPage,7
1720558342.96875,1.078125,RiskPage3,7
1720558344.0625,1.09375,RiskPage3,7
1720558345.046875,0.984375,RiskPage3,7
1720558346.125,1.078125,RiskPage4,7
1720558347.1875,1.0625,RiskPage4,7
1720558348.1875,1.0,RiskPage4,7
1720558349.296875,1.109375,RiskPage4,7
1720558350.3125,1.015625,RiskPage4,7
1720558351.390625,1.078125,PreMarketWait,8
1720558352.5,1.109375,PreMarketWait,8
1720558353.546875,1.046875,PreMarketWait,8
1720558354.671875,1.125,PreMarketWait,8
1720558355.703125,1.03125,PreMarketWait,8
1720558356.71875,1.015625,PreMarketWait,8
1720558357.765625,1.046875,PreMarketWait,8
1720558358.765625,1.0,PreMarketWait,8
1720558359.78125,1.015625,PreMarketWait,8
1720558360.8125,1.03125,PreMarketWait,8
1720558361.8125,1.0,PreMarketWait,8
1720558362.875,1.0625,PreMarketWait,8
1720558363.96875,1.09375,PreMarketWait,8
1720558364.984375,1.015625,PreMarketWait,8
1720558366.03125,1.046875,PreMarketWait,8
1720558367.125,1.09375,PreMarketWait,8
1720558368.109375,0.984375,PreMarketWait,8
1720558374.34375,1.0,PreMarketWait,8
1720558375.421875,1.078125,PreMarketWait,8
1720558376.421875,1.0,MarketGridChoice,8
1720558377.4375,1.015625,MarketGridChoice,8
1720558378.515625,1.078125,MarketGridChoice,8
1720558379.515625,1.0,MarketGridChoice,8
1720558380.609375,1.09375,MarketGridChoice,8
1720558381.6875,1.078125,MarketGridChoice,8
1720558382.671875,0.984375,MarketGridChoice,8
1720558383.75,1.078125,MarketGridChoice,8
1720558390.4375,0.921875,MarketGridChoice,8
1720558391.3125,0.875,MarketGridChoice,8
1720558392.171875,0.859375,MarketGridChoice,8
1720558393.140625,0.96875,MarketGridChoice,8
1720558394.171875,1.03125,MarketGridChoice,8
1720558395.078125,0.90625,MarketGridChoice,8
1720558396.125,1.046875,MarketGridChoice,8
1720558397.09375,0.96875,ForecastPage,8
1720558398.140625,1.046875,ForecastPage,8
1720558399.15625,1.015625,ForecastPage,8
