time,value,page,rnd
1721239436.53125,0.71875,PreMarketWait,1
1721239437.234375,0.703125,PreMarketWait,1
1721239437.984375,0.75,PreMarketWait,1
1721239515.5625,0.625,PreMarketWait,1
1721239541.3125,0.890625,PreMarketWait,1
1721239542.34375,1.03125,PreMarketWait,1
1721239543.09375,0.75,PreMarketWait,1
1721239543.75,0.65625,PreMarketWait,1
1721239641.34375,0.453125,PreMarketWait,1
1721239641.78125,0.4375,PreMarketWait,1
1721239655.34375,0.921875,PreMarketWait,1
1721239673.34375,0.59375,PreMarketWait,1
1721239679.0,0.515625,PreMarketWait,1
1721239679.546875,0.546875,PreMarketWait,1
1721239773.09375,0.359375,PreMarketWait,1
1721239827.9375,0.6875,PracticeMarkerPage,1
1721239828.6875,0.75,PracticeMarkerPage,1
1721239845.0,0.8125,MarketGridChoice,1
1721239845.703125,0.703125,MarketGridChoice,1
1721239867.796875,0.640625,ForecastPage,1
1721239883.578125,0.640625,ForecastPage,1
1721239884.21875,0.640625,ForecastPage,1
1721239901.21875,0.625,MarketWaitPage,1
1721239927.484375,0.6875,RiskPage3,1
1721239942.375,0.734375,PreMarketWait,2
1721239971.921875,0.46875,ForecastPage,2
1721239972.328125,0.40625,ForecastPage,2
1721239972.703125,0.375,ForecastPage,2
1721239987.3125,0.71875,ForecastPage,2
1721239993.640625,0.59375,ForecastPage,2
1721240031.375,0.890625,RiskPage3,2
1721240032.15625,0.78125,RiskPage3,2
1721240064.546875,0.765625,MarketGridChoice,3
1721240065.34375,0.796875,MarketGridChoice,3
1721240101.671875,0.796875,ForecastPage,3
1721240102.359375,0.6875,ForecastPage,3
1721240119.859375,0.796875,RoundResultsPage,3
1721240130.546875,0.6875,RiskPage3,3
1721240134.234375,0.5,RiskPage3,3
1721240134.8125,0.578125,RiskPage3,3
1721240180.4375,0.921875,ForecastPage,4
1721240181.09375,0.65625,ForecastPage,4
1721240181.703125,0.609375,ForecastPage,4
1721240229.0,0.78125,RiskPage1,4
1721240234.109375,0.5625,RiskPage2,4
1721240234.515625,0.40625,RiskPage2,4
1721240243.890625,0.375,RiskPage4,4
1721240259.609375,0.46875,PreMarketWait,5
1721240270.734375,0.375,MarketGridChoice,5
1721240321.28125,0.4375,RoundResultsPage,5
1721240323.609375,0.5,RoundResultsPage,5
1721240324.15625,0.546875,RoundResultsPage,5
1721240361.09375,0.734375,PreMarketWait,6
1721240361.609375,0.515625,PreMarketWait,6
1721240362.09375,0.484375,PreMarketWait,6
1721240376.484375,0.53125,MarketGridChoice,6
1721240377.03125,0.546875,MarketGridChoice,6
1721240377.625,0.59375,MarketGridChoice,6
1721240378.171875,0.546875,MarketGridChoice,6
1721240422.546875,0.78125,MarketWaitPage,6
1721240423.390625,0.84375,RoundResultsPage,6
1721240424.09375,0.703125,RoundResultsPage,6
1721240444.421875,0.65625,RiskPage3,6
1721240445.09375,0.671875,RiskPage3,6
1721240445.765625,0.671875,RiskPage3,6
1721240446.46875,0.703125,RiskPage3,6
1721240447.0,0.53125,RiskPage3,6
1721240447.703125,0.703125,RiskPage3,6
1721240507.21875,0.890625,ForecastPage,7
1721240508.03125,0.8125,ForecastPage,7
1721240508.875,0.84375,ForecastPage,7
1721240509.65625,0.78125,ForecastPage,7
