time,value,page,rnd
1721239393.84375,0.796875,PreMarketWait,1
1721239394.609375,0.765625,PreMarketWait,1
1721239395.4375,0.828125,PreMarketWait,1
1721239396.125,0.6875,PreMarketWait,1
1721239412.09375,1.078125,PreMarketWait,1
1721239413.0625,0.96875,PreMarketWait,1
1721239414.046875,0.984375,PreMarketWait,1
1721239415.15625,1.109375,PreMarketWait,1
1721239416.28125,1.125,PreMarketWait,1
1721239417.328125,1.046875,PreMarketWait,1
1721239418.28125,0.953125,PreMarketWait,1
1721239419.1875,0.90625,PreMarketWait,1
1721239420.21875,1.03125,PreMarketWait,1
1721239421.296875,1.078125,PreMarketWait,1
1721239429.640625,1.15625,PreMarketWait,1
1721239430.65625,1.015625,PreMarketWait,1
1721239431.828125,1.171875,PreMarketWait,1
1721239433.078125,1.25,PreMarketWait,1
1721239434.21875,1.140625,PreMarketWait,1
1721239435.28125,1.0625,PreMarketWait,1
1721239436.375,1.09375,PreMarketWait,1
1721239437.4375,1.0625,PreMarketWait,1
1721239438.421875,0.984375,PreMarketWait,1
1721239513.953125,0.890625,PreMarketWait,1
1721239514.828125,0.875,PreMarketWait,1
1721239515.65625,0.828125,PreMarketWait,1
1721239516.515625,0.859375,PreMarketWait,1
1721239517.453125,0.9375,PreMarketWait,1
1721239518.234375,0.78125,PreMarketWait,1
1721239519.125,0.890625,PreMarketWait,1
1721239520.015625,0.890625,PreMarketWait,1
1721239567.296875,1.046875,PreMarketWait,1
1721239568.265625,0.96875,PreMarketWait,1
1721239569.28125,1.015625,PreMarketWait,1
1721239570.34375,1.0625,PreMarketWait,1
1721239571.34375,1.0,PreMarketWait,1
1721239572.34375,1.0,PreMarketWait,1
1721239586.703125,0.96875,PreMarketWait,1
1721239587.765625,1.0625,PreMarketWait,1
1721239588.6875,0.921875,PreMarketWait,1
1721239589.59375,0.90625,PreMarketWait,1
1721239590.484375,0.890625,PreMarketWait,1
1721239591.328125,0.84375,PreMarketWait,1
1721239592.1875,0.859375,PreMarketWait,1
1721239620.296875,0.96875,PreMarketWait,1
1721239621.21875,0.921875,PreMarketWait,1
1721239627.0,1.0,PreMarketWait,1
1721239627.984375,0.984375,PreMarketWait,1
1721239628.96875,0.984375,PreMarketWait,1
1721239636.78125,1.03125,PreMarketWait,1
1721239637.84375,1.0625,PreMarketWait,1
1721239638.875,1.03125,PreMarketWait,1
1721239639.6875,0.8125,PreMarketWait,1
1721239644.96875,1.03125,PreMarketWait,1
1721239645.953125,0.984375,PreMarketWait,1
1721239650.796875,0.984375,PreMarketWait,1
1721239651.765625,0.96875,PreMarketWait,1
1721239652.84375,1.078125,PreMarketWait,1
1721239653.90625,1.0625,PreMarketWait,1
1721239654.953125,1.046875,PreMarketWait,1
1721239655.921875,0.96875,PreMarketWait,1
1721239656.96875,1.046875,PreMarketWait,1
1721239658.0625,1.09375,PreMarketWait,1
1721239663.0625,0.96875,PreMarketWait,1
1721239663.984375,0.921875,PreMarketWait,1
