time,value,page,rnd
1722449261.328125,0.46875,ConsentWaitPage,-2
1722449261.703125,0.375,ConsentWaitPage,-2
1722449474.546875,0.453125,PreMarketWait,1
1722449475.109375,0.5625,PreMarketWait,1
1722449475.578125,0.46875,PreMarketWait,1
1722449527.875,0.390625,PreMarketWait,1
1722449528.1875,0.3125,PreMarketWait,1
1722449582.140625,0.46875,PreMarketWait,1
1722449582.46875,0.328125,PreMarketWait,1
1722449623.734375,0.3125,PreMarketWait,1
1722449649.25,0.390625,PreMarketWait,1
1722449758.28125,0.375,PracticeMarkerPage,1
1722449818.21875,0.34375,ForecastPage,1
1722450052.171875,0.359375,PreMarketWait,4
1722450163.234375,0.40625,MarketGridChoice,5
1722450187.078125,0.34375,ForecastPage,5
1722450204.34375,0.375,RoundResultsPage,5
1722450218.484375,0.359375,RiskPage1,5
1722450218.796875,0.3125,RiskPage1,5
1722450361.578125,0.328125,ForecastPage,7
1722450384.359375,0.34375,ForecastPage,7
1722450440.890625,0.359375,MarketGridChoice,8
1722450569.5,0.484375,MarketWaitPage,9
1722450699.0625,0.484375,PreMarketWait,11
1722450717.734375,0.328125,PreMarketWait,11
1722450778.90625,0.5,MarketWaitPage,11
1722450853.921875,0.46875,MarketGridChoice,12
1722450860.703125,0.4375,MarketGridChoice,12
1722450892.203125,0.390625,ForecastPage,12
1722450918.125,0.390625,RiskPage2,12
1722450931.78125,0.53125,RiskPage4,12
1722450996.8125,0.390625,RoundResultsPage,13
1722450997.171875,0.359375,RoundResultsPage,13
1722451006.765625,0.390625,RiskPage1,13
1722451007.265625,0.5,RiskPage1,13
1722451032.6875,0.453125,MarketGridChoice,14
1722451111.859375,0.375,RiskPage4,14
1722451112.203125,0.34375,RiskPage4,14
1722451112.546875,0.34375,RiskPage4,14
1722451184.171875,0.4375,RoundResultsPage,15
1722451317.46875,0.375,MarketGridChoice,17
1722451317.78125,0.3125,MarketGridChoice,17
1722451318.109375,0.328125,MarketGridChoice,17
1722451354.140625,0.421875,ForecastPage,17
1722451394.5625,0.546875,PreMarketWait,18
1722451394.96875,0.40625,PreMarketWait,18
1722451404.203125,0.359375,MarketGridChoice,18
1722451453.875,0.46875,MarketWaitPage,18
1722451523.609375,0.34375,ForecastPage,19
1722451524.03125,0.421875,ForecastPage,19
1722451524.390625,0.359375,ForecastPage,19
1722451592.5625,0.3125,MarketGridChoice,20
1722451595.890625,0.375,MarketGridChoice,20
1722451596.203125,0.3125,MarketGridChoice,20
1722451611.890625,0.375,ForecastPage,20
1722451612.203125,0.3125,ForecastPage,20
1722451647.421875,0.53125,RoundResultsPage,20
1722451661.1875,0.40625,RiskPage2,20
1722451868.59375,0.328125,MarketGridChoice,23
1722451869.015625,0.421875,MarketGridChoice,23
1722451916.484375,0.4375,ForecastPage,23
1722451919.109375,0.453125,RoundResultsPage,23
1722451919.703125,0.59375,RoundResultsPage,23
1722451920.125,0.421875,RoundResultsPage,23
1722452001.375,0.34375,ForecastPage,24
1722452001.78125,0.40625,ForecastPage,24
1722452026.5625,0.53125,RiskPage1,24
1722452041.796875,0.359375,RiskPage4,24
1722452074.515625,0.34375,ForecastPage,25
1722452074.984375,0.46875,ForecastPage,25
1722452088.1875,0.3125,ForecastPage,25
1722452088.546875,0.359375,ForecastPage,25
1722452105.5625,0.359375,RoundResultsPage,25
1722452280.828125,0.484375,ForecastPage,27
1722452312.34375,0.4375,RiskPage3,27
1722452312.8125,0.46875,RiskPage3,27
1722452371.421875,0.453125,ForecastPage,28
1722452473.109375,0.390625,MarketWaitPage,29
1722452496.234375,0.40625,RiskPage3,29
1722452558.265625,0.40625,ForecastPage,30
1722452558.625,0.359375,ForecastPage,30
1722452559.046875,0.421875,ForecastPage,30
1722452562.046875,0.40625,ForecastPage,30
1722452562.359375,0.3125,ForecastPage,30
1722452610.484375,0.328125,FinalResultsPage,30
1722452610.875,0.390625,FinalResultsPage,30
