time,value,page,rnd
1722449304.578125,0.71875,ConsentWaitPage,-2
1722449305.28125,0.703125,ConsentWaitPage,-2
1722449306.0,0.71875,ConsentWaitPage,-2
1722449306.6875,0.6875,ConsentWaitPage,-2
1722449307.359375,0.671875,ConsentWaitPage,-2
1722449308.015625,0.65625,ConsentWaitPage,-2
1722449308.671875,0.65625,ConsentWaitPage,-2
1722449309.421875,0.75,ConsentWaitPage,-2
1722449310.171875,0.75,ConsentWaitPage,-2
1722449310.921875,0.75,ConsentWaitPage,-2
1722449311.640625,0.71875,ConsentWaitPage,-2
1722449312.40625,0.765625,ConsentWaitPage,-2
1722449313.171875,0.765625,ConsentWaitPage,-2
1722449313.984375,0.8125,ConsentWaitPage,-2
1722449314.765625,0.78125,ConsentWaitPage,-2
1722449315.515625,0.75,ConsentWaitPage,-2
1722449316.21875,0.703125,ConsentWaitPage,-2
1722449316.9375,0.71875,ConsentWaitPage,-2
1722449317.671875,0.734375,ConsentWaitPage,-2
1722449318.40625,0.734375,ConsentWaitPage,-2
1722449331.0,0.59375,ConsentWaitPage,-2
1722449331.75,0.75,ConsentWaitPage,-2
1722449332.5,0.75,ConsentWaitPage,-2
1722449333.0625,0.5625,ConsentWaitPage,-2
1722449361.578125,0.75,PreMarketWait,1
1722449362.453125,0.875,PreMarketWait,1
1722449363.203125,0.75,PreMarketWait,1
1722449370.546875,0.90625,PreMarketWait,1
1722449371.484375,0.9375,PreMarketWait,1
1722449372.328125,0.84375,PreMarketWait,1
1722449373.125,0.796875,PreMarketWait,1
1722449374.0625,0.9375,PreMarketWait,1
1722449374.875,0.8125,PreMarketWait,1
1722449375.734375,0.859375,PreMarketWait,1
1722449376.484375,0.75,PreMarketWait,1
1722449377.21875,0.734375,PreMarketWait,1
1722449378.15625,0.9375,PreMarketWait,1
1722449378.921875,0.765625,PreMarketWait,1
1722449379.71875,0.796875,PreMarketWait,1
1722449393.671875,0.84375,PreMarketWait,1
1722449394.515625,0.84375,PreMarketWait,1
1722449399.46875,0.8125,PreMarketWait,1
1722449400.28125,0.8125,PreMarketWait,1
1722449401.09375,0.8125,PreMarketWait,1
1722449425.796875,0.734375,PreMarketWait,1
1722449435.859375,0.765625,PreMarketWait,1
1722449436.6875,0.828125,PreMarketWait,1
1722449437.46875,0.78125,PreMarketWait,1
1722449438.296875,0.828125,PreMarketWait,1
1722449439.078125,0.78125,PreMarketWait,1
1722449450.25,0.78125,PreMarketWait,1
1722449458.890625,0.75,PreMarketWait,1
1722449459.84375,0.953125,PreMarketWait,1
1722449460.6875,0.84375,PreMarketWait,1
1722449461.578125,0.890625,PreMarketWait,1
1722449462.25,0.671875,PreMarketWait,1
1722449462.96875,0.71875,PreMarketWait,1
1722449587.578125,0.765625,PreMarketWait,1
1722449608.15625,1.046875,PreMarketWait,1
1722449706.21875,0.859375,PreMarketWait,1
1722449707.046875,0.828125,PreMarketWait,1
1722449707.875,0.828125,PreMarketWait,1
1722449708.734375,0.859375,PreMarketWait,1
1722449739.90625,0.625,PreMarketWait,1
1722449752.609375,0.703125,PracticeMarkerPage,1
1722449753.34375,0.734375,PracticeMarkerPage,1
1722449754.09375,0.75,PracticeMarkerPage,1
1722449754.875,0.78125,PracticeMarkerPage,1
1722449755.65625,0.78125,PracticeMarkerPage,1
1722449756.4375,0.78125,PracticeMarkerPage,1
1722449757.28125,0.84375,PracticeMarkerPage,1
1722449758.03125,0.75,PracticeMarkerPage,1
1722449759.03125,1.0,PracticeMarkerPage,1
1722449759.984375,0.953125,PracticeMarkerPage,1
1722449769.75,0.671875,PracticeMarkerPage,1
1722449770.421875,0.671875,PracticeMarkerPage,1
1722449771.109375,0.6875,PracticeMarkerPage,1
1722449771.828125,0.71875,PracticeMarkerPage,1
1722449807.125,0.75,ForecastPage,1
1722449807.890625,0.765625,ForecastPage,1
1722449808.65625,0.765625,ForecastPage,1
1722449809.40625,0.75,ForecastPage,1
1722449810.109375,0.703125,ForecastPage,1
1722449810.796875,0.6875,ForecastPage,1
1722449811.40625,0.609375,ForecastPage,1
1722449825.5,0.703125,MarketWaitPage,1
1722449826.34375,0.84375,MarketWaitPage,1
1722449889.53125,0.765625,ForecastPage,2
1722449890.359375,0.828125,ForecastPage,2
1722449891.140625,0.78125,ForecastPage,2
1722449891.765625,0.625,ForecastPage,2
1722449892.671875,0.90625,ForecastPage,2
1722449893.390625,0.71875,ForecastPage,2
1722449894.109375,0.71875,ForecastPage,2
1722450009.21875,0.859375,ForecastPage,3
1722450009.984375,0.765625,ForecastPage,3
1722450010.71875,0.734375,ForecastPage,3
1722450011.484375,0.765625,MarketWaitPage,3
1722450029.453125,0.921875,RiskPage1,3
1722450030.21875,0.765625,RiskPage1,3
1722450065.203125,0.859375,MarketGridChoice,4
1722450087.90625,0.78125,ForecastPage,4
1722450088.640625,0.734375,ForecastPage,4
1722450089.546875,0.90625,ForecastPage,4
1722450145.640625,0.65625,PreMarketWait,5
1722450146.5,0.859375,PreMarketWait,5
1722450158.84375,0.828125,MarketGridChoice,5
1722450174.1875,0.75,ForecastPage,5
1722450175.015625,0.828125,ForecastPage,5
1722450175.84375,0.828125,ForecastPage,5
1722450199.6875,0.765625,ForecastPage,5
1722450200.453125,0.765625,ForecastPage,5
1722450222.078125,0.8125,RiskPage2,5
1722450230.703125,0.75,RiskPage3,5
1722450240.046875,0.65625,PreMarketWait,6
1722450240.75,0.703125,PreMarketWait,6
1722450255.234375,0.71875,MarketGridChoice,6
1722450256.25,1.015625,MarketGridChoice,6
1722450257.109375,0.859375,MarketGridChoice,6
1722450257.953125,0.84375,MarketGridChoice,6
1722450258.859375,0.90625,MarketGridChoice,6
1722450259.6875,0.828125,MarketGridChoice,6
1722450260.640625,0.953125,MarketGridChoice,6
1722450261.546875,0.90625,MarketGridChoice,6
1722450262.46875,0.921875,MarketGridChoice,6
1722450263.375,0.90625,ForecastPage,6
1722450284.890625,0.8125,ForecastPage,6
1722450285.640625,0.75,ForecastPage,6
1722450286.359375,0.71875,ForecastPage,6
1722450287.1875,0.828125,ForecastPage,6
1722450291.90625,0.8125,ForecastPage,6
1722450292.6875,0.78125,ForecastPage,6
1722450293.453125,0.765625,MarketWaitPage,6
1722450294.28125,0.828125,MarketWaitPage,6
1722450294.90625,0.625,MarketWaitPage,6
1722450295.640625,0.734375,MarketWaitPage,6
1722450296.296875,0.65625,RoundResultsPage,6
1722450297.078125,0.78125,RoundResultsPage,6
1722450326.4375,0.890625,RiskPage4,6
1722450381.125,0.640625,ForecastPage,7
1722450381.90625,0.78125,ForecastPage,7
1722450382.625,0.71875,ForecastPage,7
1722450383.40625,0.78125,ForecastPage,7
1722450429.34375,0.84375,MarketGridChoice,8
1722450445.328125,0.734375,MarketGridChoice,8
1722450446.09375,0.765625,ForecastPage,8
1722450446.84375,0.75,ForecastPage,8
1722450456.921875,0.859375,ForecastPage,8
1722450457.796875,0.875,ForecastPage,8
1722450458.640625,0.84375,ForecastPage,8
1722450459.5,0.859375,ForecastPage,8
1722450460.375,0.875,ForecastPage,8
1722450461.234375,0.859375,ForecastPage,8
1722450462.09375,0.859375,ForecastPage,8
1722450462.953125,0.859375,ForecastPage,8
1722450463.8125,0.859375,ForecastPage,8
1722450464.625,0.8125,ForecastPage,8
1722450465.46875,0.84375,ForecastPage,8
1722450466.359375,0.890625,ForecastPage,8
1722450467.1875,0.828125,ForecastPage,8
1722450468.0,0.8125,ForecastPage,8
1722450468.78125,0.78125,ForecastPage,8
1722450469.5625,0.78125,ForecastPage,8
1722450470.3125,0.75,ForecastPage,8
1722450471.140625,0.828125,ForecastPage,8
1722450472.03125,0.890625,ForecastPage,8
1722450472.890625,0.859375,ForecastPage,8
1722450473.75,0.859375,ForecastPage,8
1722450474.640625,0.890625,ForecastPage,8
1722450481.1875,0.875,RoundResultsPage,8
1722450482.109375,0.921875,RoundResultsPage,8
1722450482.96875,0.859375,RoundResultsPage,8
1722450483.8125,0.84375,RoundResultsPage,8
1722450484.671875,0.859375,RoundResultsPage,8
1722450485.59375,0.921875,RoundResultsPage,8
1722450486.4375,0.84375,RoundResultsPage,8
1722450487.21875,0.78125,RoundResultsPage,8
1722450488.03125,0.8125,RoundResultsPage,8
1722450488.859375,0.828125,RoundResultsPage,8
1722450489.765625,0.90625,RoundResultsPage,8
1722450490.625,0.859375,RiskPage1,8
1722450491.484375,0.859375,RiskPage1,8
1722450492.375,0.890625,RiskPage1,8
1722450493.3125,0.9375,RiskPage1,8
1722450494.203125,0.890625,RiskPage1,8
1722450495.078125,0.875,RiskPage2,8
1722450507.625,0.640625,RiskPage4,8
1722450508.296875,0.671875,RiskPage4,8
1722450516.9375,0.828125,PreMarketWait,9
1722450517.796875,0.859375,MarketGridChoice,9
1722450518.609375,0.8125,MarketGridChoice,9
1722450519.375,0.765625,MarketGridChoice,9
1722450520.125,0.75,MarketGridChoice,9
1722450520.859375,0.734375,MarketGridChoice,9
1722450521.640625,0.78125,MarketGridChoice,9
1722450522.421875,0.78125,MarketGridChoice,9
1722450523.25,0.828125,MarketGridChoice,9
1722450524.125,0.875,MarketGridChoice,9
1722450525.015625,0.890625,MarketGridChoice,9
1722450525.84375,0.828125,MarketGridChoice,9
1722450526.59375,0.75,MarketGridChoice,9
1722450527.53125,0.9375,MarketGridChoice,9
1722450542.046875,0.875,ForecastPage,9
1722450542.921875,0.875,ForecastPage,9
1722450543.796875,0.875,ForecastPage,9
1722450544.6875,0.890625,ForecastPage,9
1722450545.53125,0.84375,ForecastPage,9
1722450553.484375,0.8125,ForecastPage,9
1722450554.359375,0.875,ForecastPage,9
1722450555.1875,0.828125,ForecastPage,9
1722450556.0625,0.875,ForecastPage,9
1722450556.921875,0.859375,ForecastPage,9
1722450557.78125,0.859375,ForecastPage,9
1722450558.640625,0.859375,ForecastPage,9
1722450559.5,0.859375,ForecastPage,9
1722450560.34375,0.84375,ForecastPage,9
1722450561.15625,0.8125,ForecastPage,9
1722450561.96875,0.8125,ForecastPage,9
1722450562.734375,0.765625,ForecastPage,9
1722450563.53125,0.796875,ForecastPage,9
1722450564.390625,0.859375,ForecastPage,9
1722450565.234375,0.84375,ForecastPage,9
1722450566.109375,0.875,ForecastPage,9
1722450566.9375,0.828125,ForecastPage,9
1722450567.859375,0.921875,ForecastPage,9
1722450568.75,0.890625,MarketWaitPage,9
1722450569.578125,0.828125,MarketWaitPage,9
1722450570.390625,0.8125,RoundResultsPage,9
1722450571.21875,0.828125,RoundResultsPage,9
1722450595.90625,0.65625,RiskPage3,9
1722450596.78125,0.875,RiskPage3,9
1722450597.578125,0.796875,RiskPage4,9
1722450598.359375,0.78125,RiskPage4,9
1722450599.15625,0.796875,RiskPage4,9
1722450599.921875,0.765625,RiskPage4,9
1722450627.765625,0.828125,MarketGridChoice,10
1722450628.625,0.859375,MarketGridChoice,10
1722450629.4375,0.8125,ForecastPage,10
1722450630.296875,0.859375,ForecastPage,10
1722450631.140625,0.84375,ForecastPage,10
1722450638.484375,0.71875,ForecastPage,10
1722450639.4375,0.953125,ForecastPage,10
1722450661.28125,0.90625,MarketWaitPage,10
1722450662.125,0.84375,RoundResultsPage,10
1722450663.0,0.875,RoundResultsPage,10
1722450663.875,0.875,RoundResultsPage,10
1722450664.703125,0.828125,RoundResultsPage,10
1722450670.859375,0.78125,RoundResultsPage,10
1722450671.609375,0.75,RoundResultsPage,10
1722450672.59375,0.984375,RoundResultsPage,10
1722450673.5,0.90625,RiskPage1,10
1722450674.390625,0.890625,RiskPage1,10
1722450675.09375,0.703125,RiskPage1,10
1722450681.125,0.84375,RiskPage2,10
1722450681.953125,0.828125,RiskPage2,10
1722450682.765625,0.8125,RiskPage2,10
1722450683.5,0.734375,RiskPage3,10
1722450684.28125,0.78125,RiskPage3,10
1722450685.015625,0.734375,RiskPage3,10
1722450685.75,0.734375,RiskPage3,10
1722450716.171875,0.890625,PreMarketWait,11
1722450717.046875,0.875,PreMarketWait,11
1722450750.25,0.90625,ForecastPage,11
1722450751.125,0.875,ForecastPage,11
1722450752.0,0.875,ForecastPage,11
1722450752.796875,0.796875,ForecastPage,11
1722450753.578125,0.78125,ForecastPage,11
1722450754.53125,0.953125,ForecastPage,11
1722450755.28125,0.75,ForecastPage,11
1722450756.078125,0.796875,ForecastPage,11
1722450756.859375,0.78125,ForecastPage,11
1722450757.734375,0.875,ForecastPage,11
1722450758.59375,0.859375,ForecastPage,11
1722450759.390625,0.796875,ForecastPage,11
1722450760.234375,0.84375,ForecastPage,11
1722450761.078125,0.84375,ForecastPage,11
1722450761.890625,0.8125,ForecastPage,11
1722450762.6875,0.796875,ForecastPage,11
