time,value,page,rnd
1721066621.890625,0.703125,PreMarketWait,1
1721066622.84375,0.953125,PreMarketWait,1
1721066623.59375,0.75,PreMarketWait,1
1721066631.5,0.859375,PreMarketWait,1
1721066632.359375,0.859375,PreMarketWait,1
1721066633.203125,0.84375,PreMarketWait,1
1721066634.046875,0.84375,PreMarketWait,1
1721066634.875,0.828125,PreMarketWait,1
1721066635.671875,0.796875,PreMarketWait,1
1721066636.65625,0.984375,PreMarketWait,1
1721066637.515625,0.859375,PreMarketWait,1
1721066638.390625,0.875,PreMarketWait,1
1721066639.28125,0.890625,PreMarketWait,1
1721066640.1875,0.90625,PreMarketWait,1
1721066641.0625,0.875,PreMarketWait,1
1721066641.90625,0.84375,PreMarketWait,1
1721066642.828125,0.921875,PreMarketWait,1
1721066643.734375,0.90625,PreMarketWait,1
1721066644.65625,0.921875,PreMarketWait,1
1721066645.578125,0.921875,PreMarketWait,1
1721066653.203125,0.796875,PreMarketWait,1
1721066654.0,0.796875,PreMarketWait,1
1721066654.734375,0.734375,PreMarketWait,1
1721066655.546875,0.8125,PreMarketWait,1
1721066656.390625,0.84375,PreMarketWait,1
1721066657.234375,0.84375,PreMarketWait,1
1721066658.109375,0.875,PreMarketWait,1
1721066658.9375,0.828125,PreMarketWait,1
1721066659.765625,0.828125,PreMarketWait,1
1721066660.609375,0.84375,PreMarketWait,1
1721066661.46875,0.859375,PreMarketWait,1
1721066662.265625,0.796875,PreMarketWait,1
1721066667.9375,0.796875,PreMarketWait,1
1721066668.75,0.8125,PreMarketWait,1
1721066669.53125,0.78125,PreMarketWait,1
1721066670.34375,0.8125,PreMarketWait,1
1721066671.171875,0.828125,PreMarketWait,1
1721066672.03125,0.859375,PreMarketWait,1
1721066672.890625,0.859375,PreMarketWait,1
1721066673.75,0.859375,PreMarketWait,1
1721066674.609375,0.859375,PreMarketWait,1
1721066675.4375,0.828125,PreMarketWait,1
1721066676.296875,0.859375,PreMarketWait,1
1721066677.171875,0.875,PreMarketWait,1
1721066678.046875,0.875,PreMarketWait,1
1721066678.921875,0.875,PreMarketWait,1
1721066679.765625,0.84375,PreMarketWait,1
1721066680.640625,0.875,PreMarketWait,1
1721066681.53125,0.890625,PreMarketWait,1
1721066682.4375,0.90625,PreMarketWait,1
1721066683.328125,0.890625,PreMarketWait,1
1721066684.1875,0.859375,PreMarketWait,1
1721066685.09375,0.90625,PreMarketWait,1
1721066686.0,0.90625,PreMarketWait,1
1721066686.921875,0.921875,PreMarketWait,1
1721066687.828125,0.90625,PreMarketWait,1
1721066688.703125,0.875,PreMarketWait,1
1721066689.578125,0.875,PreMarketWait,1
1721066690.46875,0.890625,PreMarketWait,1
1721066691.359375,0.890625,PreMarketWait,1
1721066692.21875,0.859375,PreMarketWait,1
1721066693.078125,0.859375,PreMarketWait,1
1721066693.90625,0.828125,PreMarketWait,1
1721066694.75,0.84375,PreMarketWait,1
1721066695.65625,0.90625,PreMarketWait,1
1721066696.71875,1.0625,PreMarketWait,1
1721066697.609375,0.890625,PreMarketWait,1
1721066698.53125,0.921875,PreMarketWait,1
1721066699.453125,0.921875,PreMarketWait,1
1721066700.390625,0.9375,PreMarketWait,1
1721066701.3125,0.921875,PreMarketWait,1
1721066702.21875,0.90625,PreMarketWait,1
1721066703.09375,0.875,PreMarketWait,1
1721066703.984375,0.890625,PreMarketWait,1
1721066704.890625,0.90625,PreMarketWait,1
1721066705.75,0.859375,PreMarketWait,1
1721066706.609375,0.859375,PreMarketWait,1
1721066707.453125,0.84375,PreMarketWait,1
1721066708.3125,0.859375,PreMarketWait,1
1721066709.1875,0.875,PreMarketWait,1
1721066710.046875,0.859375,PreMarketWait,1
1721066710.890625,0.84375,PreMarketWait,1
1721066711.71875,0.828125,PreMarketWait,1
1721066734.46875,0.8125,PreMarketWait,1
1721066735.3125,0.84375,PreMarketWait,1
1721066736.140625,0.828125,PreMarketWait,1
1721066736.9375,0.796875,PreMarketWait,1
1721066737.765625,0.828125,PreMarketWait,1
1721066738.609375,0.84375,PreMarketWait,1
1721066739.421875,0.8125,PreMarketWait,1
1721066740.125,0.703125,PreMarketWait,1
1721066741.09375,0.96875,PreMarketWait,1
1721066741.9375,0.84375,PreMarketWait,1
1721066742.765625,0.828125,PreMarketWait,1
1721066743.578125,0.8125,PreMarketWait,1
1721066744.4375,0.859375,PreMarketWait,1
1721066745.296875,0.859375,PreMarketWait,1
1721066746.140625,0.84375,PreMarketWait,1
1721066753.1875,0.890625,PreMarketWait,1
1721066754.046875,0.859375,PreMarketWait,1
1721066754.921875,0.875,PreMarketWait,1
1721066755.796875,0.875,PreMarketWait,1
1721066756.828125,1.03125,PreMarketWait,1
1721066757.6875,0.859375,PreMarketWait,1
1721066758.546875,0.859375,PreMarketWait,1
1721066759.421875,0.875,PreMarketWait,1
1721066760.328125,0.90625,PreMarketWait,1
1721066761.234375,0.90625,PreMarketWait,1
1721066762.125,0.890625,PreMarketWait,1
1721066762.9375,0.8125,PreMarketWait,1
1721066763.828125,0.890625,PreMarketWait,1
