time,value,page,rnd
1719942926.96875,0.765625,ConsentWaitPage,-2
1719942934.609375,0.71875,ConsentWaitPage,-2
1719942935.25,0.640625,ConsentWaitPage,-2
1719942936.046875,0.796875,ConsentWaitPage,-2
1719942936.65625,0.609375,ConsentWaitPage,-2
1719943001.921875,1.0625,ConsentWaitPage,-2
1719943002.75,0.828125,ConsentWaitPage,-2
1719943165.375,0.5,ConsentWaitPage,-2
1719943200.03125,0.421875,ConsentWaitPage,-2
1719943200.484375,0.453125,ConsentWaitPage,-2
1719943201.03125,0.546875,ConsentWaitPage,-2
1719943201.515625,0.484375,ConsentWaitPage,-2
1719943204.515625,0.546875,ConsentWaitPage,-2
1719943210.890625,0.484375,ConsentWaitPage,-2
1719943211.375,0.484375,ConsentWaitPage,-2
1719943212.0,0.625,ConsentWaitPage,-2
1719943408.828125,0.46875,PreMarketWait,1
1719943423.453125,0.5,PreMarketWait,1
1719943424.0625,0.609375,PreMarketWait,1
1719943424.578125,0.515625,PreMarketWait,1
1719943431.59375,0.515625,PreMarketWait,1
1719943483.59375,0.40625,PreMarketWait,1
1719943484.0625,0.46875,PreMarketWait,1
1719943484.53125,0.46875,PreMarketWait,1
1719943517.40625,0.5,PreMarketWait,1
1719943517.8125,0.40625,PreMarketWait,1
1719943539.421875,0.5,PreMarketWait,1
1719943572.5625,0.390625,PreMarketWait,1
1719943597.921875,0.453125,PreMarketWait,1
1719943598.328125,0.40625,PreMarketWait,1
1719943598.765625,0.4375,PreMarketWait,1
1719943599.265625,0.5,PreMarketWait,1
1719943599.734375,0.46875,PreMarketWait,1
1719943600.203125,0.46875,PreMarketWait,1
1719943600.71875,0.515625,PreMarketWait,1
1719943601.234375,0.515625,PreMarketWait,1
1719943601.625,0.390625,PreMarketWait,1
1719943601.984375,0.359375,PreMarketWait,1
1719943620.15625,0.6875,PreMarketWait,1
1719943620.875,0.71875,PreMarketWait,1
1719943621.609375,0.734375,PreMarketWait,1
1719943622.390625,0.78125,PreMarketWait,1
1719943658.71875,0.59375,PreMarketWait,1
1719943674.59375,0.390625,PreMarketWait,1
1719943950.28125,0.359375,PreMarketWait,3
1719943988.59375,0.484375,ForecastPage,3
1719943989.0625,0.46875,ForecastPage,3
1719943989.671875,0.609375,ForecastPage,3
1719943990.09375,0.421875,ForecastPage,3
1719943990.671875,0.578125,ForecastPage,3
1719944156.1875,0.4375,MarketGridChoice,5
1719944204.140625,0.390625,MarketWaitPage,5
1719944204.59375,0.453125,MarketWaitPage,5
1719944204.9375,0.34375,MarketWaitPage,5
1719944230.15625,0.4375,RiskPage3,5
1719944230.578125,0.421875,RiskPage3,5
1719944240.65625,0.625,PreMarketWait,6
1719944287.265625,0.4375,ForecastPage,6
1719944320.515625,0.46875,RiskPage2,6
1719944429.703125,0.484375,RiskPage4,7
1719944433.75,0.46875,PreMarketWait,8
1719944434.171875,0.421875,PreMarketWait,8
1719944462.9375,0.34375,ForecastPage,8
1719944463.28125,0.34375,ForecastPage,8
1719944527.65625,0.625,PreMarketWait,9
1719944572.046875,0.515625,ForecastPage,9
1719944572.5625,0.515625,ForecastPage,9
1719944573.046875,0.484375,ForecastPage,9
1719944587.796875,0.640625,ForecastPage,9
1719944606.75,0.53125,RiskPage1,9
1719944622.234375,0.5,RiskPage4,9
1719944622.765625,0.53125,RiskPage4,9
1719944674.75,0.53125,ForecastPage,10
1719944675.296875,0.546875,ForecastPage,10
1719944826.21875,0.640625,RiskPage2,11
