time,value,page,rnd
1719942909.328125,0.390625,ConsentWaitPage,-2
1719942966.75,0.375,ConsentWaitPage,-2
1719942967.125,0.375,ConsentWaitPage,-2
1719942967.4375,0.3125,ConsentWaitPage,-2
1719942967.828125,0.390625,ConsentWaitPage,-2
1719943112.953125,0.40625,ConsentWaitPage,-2
1719943130.46875,0.359375,ConsentWaitPage,-2
1719943130.921875,0.453125,ConsentWaitPage,-2
1719943249.703125,0.546875,ConsentWaitPage,-2
1719943250.28125,0.578125,ConsentWaitPage,-2
1719943263.125,0.328125,ConsentWaitPage,-2
1719943338.921875,0.3125,PreMarketWait,1
1719943339.234375,0.3125,PreMarketWait,1
1719943356.90625,0.40625,PreMarketWait,1
1719943556.984375,0.40625,PreMarketWait,1
1719943564.640625,0.46875,PreMarketWait,1
1719943566.96875,0.34375,PreMarketWait,1
1719943595.375,0.40625,PreMarketWait,1
1719943627.546875,0.34375,PreMarketWait,1
1719943664.84375,0.359375,PreMarketWait,1
1719943754.03125,0.421875,PracticeMarkerPage,1
1719943884.890625,0.328125,ForecastPage,2
1719943962.546875,0.46875,MarketGridChoice,3
1719943962.96875,0.421875,MarketGridChoice,3
1719943963.453125,0.484375,MarketGridChoice,3
1719943963.84375,0.390625,MarketGridChoice,3
1719943966.515625,0.453125,MarketGridChoice,3
1719944027.984375,0.328125,RiskPage1,3
1719944068.1875,0.4375,MarketGridChoice,4
1719944084.71875,0.390625,ForecastPage,4
1719944171.046875,0.4375,ForecastPage,5
1719944202.34375,0.390625,MarketWaitPage,5
1719944250.8125,0.34375,MarketGridChoice,6
1719944252.578125,0.40625,MarketGridChoice,6
1719944267.296875,0.359375,ForecastPage,6
1719944271.03125,0.34375,ForecastPage,6
1719944271.359375,0.328125,ForecastPage,6
1719944271.71875,0.359375,ForecastPage,6
1719944272.15625,0.4375,ForecastPage,6
1719944272.609375,0.453125,ForecastPage,6
1719944300.71875,0.4375,MarketWaitPage,6
1719944356.671875,0.484375,MarketGridChoice,7
1719944410.984375,0.375,RiskPage1,7
1719944451.03125,0.328125,MarketGridChoice,8
1719944451.34375,0.3125,MarketGridChoice,8
1719944499.734375,0.359375,RoundResultsPage,8
1719944645.421875,0.375,MarketGridChoice,10
1719944658.609375,0.359375,ForecastPage,10
1719944714.953125,0.34375,RiskPage3,10
1719944761.546875,0.390625,MarketGridChoice,11
1719944794.84375,0.359375,ForecastPage,11
1719944795.265625,0.421875,ForecastPage,11
1719944795.59375,0.328125,ForecastPage,11
1719944817.125,0.359375,RoundResultsPage,11
1719944836.765625,0.4375,RiskPage4,11
1719944873.5,0.34375,MarketGridChoice,12
1719945037.046875,0.359375,RiskPage4,13
1719945037.4375,0.390625,RiskPage4,13
1719945061.59375,0.359375,MarketGridChoice,14
1719945061.953125,0.359375,MarketGridChoice,14
1719945107.140625,0.484375,MarketWaitPage,14
1719945118.015625,0.53125,RoundResultsPage,14
1719945161.34375,0.4375,MarketGridChoice,15
1719945225.171875,0.375,RiskPage2,15
1719945273.140625,0.453125,ForecastPage,16
1719945292.15625,0.375,ForecastPage,16
1719945296.578125,0.40625,ForecastPage,16
1719945312.046875,0.328125,RoundResultsPage,16
1719945329.59375,0.359375,RiskPage4,16
1719945329.96875,0.375,RiskPage4,16
1719945331.609375,0.34375,RiskPage4,16
1719945495.84375,0.390625,ForecastPage,18
1719945525.578125,0.375,RiskPage1,18
1719945610.140625,0.375,MarketWaitPage,19
1719945616.328125,0.375,MarketWaitPage,19
1719945616.75,0.421875,MarketWaitPage,19
1719945656.296875,0.390625,PreMarketWait,20
1719945656.625,0.328125,PreMarketWait,20
1719945885.359375,0.328125,MarketGridChoice,22
1719945885.6875,0.328125,MarketGridChoice,22
1719945886.046875,0.359375,ForecastPage,22
1719945959.046875,0.453125,PreMarketWait,23
1719945960.828125,0.3125,PreMarketWait,23
1719945961.234375,0.40625,PreMarketWait,23
1719945961.65625,0.421875,PreMarketWait,23
1719945965.578125,0.359375,PreMarketWait,23
1719945983.515625,0.4375,MarketGridChoice,23
1719946022.921875,0.34375,MarketWaitPage,23
1719946060.65625,0.390625,PreMarketWait,24
1719946061.140625,0.484375,PreMarketWait,24
1719946130.34375,0.453125,RoundResultsPage,24
1719946130.703125,0.359375,RoundResultsPage,24
