time,value,page,rnd
1719943452.0,0.421875,PreMarketWait,1
1719943452.5,0.5,PreMarketWait,1
1719943501.484375,0.359375,PreMarketWait,1
1719943501.984375,0.5,PreMarketWait,1
1719943502.390625,0.40625,PreMarketWait,1
1719943533.140625,0.375,PreMarketWait,1
1719943565.765625,0.40625,PreMarketWait,1
1719943581.5,0.4375,PreMarketWait,1
1719943650.09375,0.4375,PreMarketWait,1
1719943693.0,0.328125,PreMarketWait,1
1719943709.390625,0.453125,PreMarketWait,1
1719943709.84375,0.453125,PreMarketWait,1
1719943710.3125,0.46875,PreMarketWait,1
1719943717.765625,0.359375,PreMarketWait,1
1719943718.15625,0.390625,PreMarketWait,1
1719943718.5,0.34375,PreMarketWait,1
1719943718.859375,0.359375,PreMarketWait,1
1719943841.859375,0.40625,RiskPage3,1
1719943903.453125,0.453125,ForecastPage,2
1719943932.46875,0.4375,RiskPage2,2
1719943962.890625,0.6875,MarketGridChoice,3
1719943963.484375,0.59375,MarketGridChoice,3
1719943964.0,0.515625,MarketGridChoice,3
1719944087.953125,0.328125,ForecastPage,4
1719944088.359375,0.40625,ForecastPage,4
1719944088.859375,0.5,ForecastPage,4
1719944118.484375,0.515625,RoundResultsPage,4
1719944121.703125,0.390625,RiskPage1,4
1719944131.703125,0.703125,RiskPage3,4
1719944162.03125,0.8125,MarketGridChoice,5
1719944199.421875,0.546875,ForecastPage,5
1719944199.90625,0.484375,ForecastPage,5
1719944206.125,0.5625,RoundResultsPage,5
1719944221.390625,0.484375,RiskPage2,5
1719944221.90625,0.515625,RiskPage2,5
1719944225.359375,0.625,RiskPage2,5
1719944225.96875,0.609375,RiskPage2,5
1719944415.390625,0.796875,RiskPage1,7
1719944416.046875,0.65625,RiskPage2,7
1719944416.65625,0.609375,RiskPage2,7
1719944428.3125,0.53125,RiskPage4,7
1719944436.453125,1.09375,PreMarketWait,8
1719944437.78125,1.328125,PreMarketWait,8
1719944441.6875,0.71875,MarketGridChoice,8
1719944477.78125,0.59375,ForecastPage,8
1719944616.953125,0.40625,RiskPage3,9
1719944782.953125,0.34375,ForecastPage,11
1719944814.96875,0.53125,RoundResultsPage,11
1719944815.421875,0.453125,RoundResultsPage,11
1719944815.953125,0.53125,RoundResultsPage,11
1719944850.4375,0.53125,PreMarketWait,12
1719944850.953125,0.515625,PreMarketWait,12
1719944851.40625,0.453125,PreMarketWait,12
1719945187.796875,0.453125,ForecastPage,15
1719945188.140625,0.34375,ForecastPage,15
1719945258.265625,0.359375,MarketGridChoice,16
1719945516.515625,0.65625,RoundResultsPage,18
1719945523.609375,0.546875,RiskPage1,18
1719945577.65625,0.359375,MarketGridChoice,19
1719945606.78125,0.5,ForecastPage,19
1719945607.1875,0.40625,ForecastPage,19
1719945607.59375,0.40625,ForecastPage,19
1719945609.359375,0.453125,ForecastPage,19
1719945613.421875,0.40625,MarketWaitPage,19
1719945642.90625,0.703125,RiskPage2,19
1719945681.40625,0.40625,MarketGridChoice,20
1719945744.484375,0.984375,RiskPage3,20
1719945768.875,0.671875,MarketGridChoice,21
1719945775.0625,0.9375,MarketGridChoice,21
1719945860.796875,0.546875,PreMarketWait,22
1719945861.359375,0.5625,PreMarketWait,22
1719945871.578125,0.484375,MarketGridChoice,22
1719945969.4375,0.90625,MarketGridChoice,23
1719946066.34375,0.71875,PreMarketWait,24
1719946175.359375,0.421875,MarketGridChoice,25
1719946175.78125,0.421875,MarketGridChoice,25
1719946176.15625,0.375,MarketGridChoice,25
1719946307.640625,0.484375,ForecastPage,26
1719946308.140625,0.5,ForecastPage,26
1719946308.640625,0.5,ForecastPage,26
1719946403.453125,0.453125,MarketGridChoice,27
1719946406.28125,0.3125,MarketGridChoice,27
1719946532.234375,0.5,ForecastPage,28
1719946546.75,0.75,ForecastPage,28
1719946571.484375,0.390625,RiskPage1,28
1719946654.0,0.4375,ForecastPage,29
1719946654.359375,0.359375,ForecastPage,29
1719946654.75,0.390625,ForecastPage,29
1719946689.015625,0.875,RiskPage3,29
1719946689.984375,0.96875,RiskPage3,29
1719946690.96875,0.984375,RiskPage4,29
1719946691.828125,0.859375,RiskPage4,29
1719946692.71875,0.890625,RiskPage4,29
1719946704.96875,0.9375,MarketGridChoice,30
1719946720.859375,0.671875,MarketGridChoice,30
1719946721.453125,0.59375,MarketGridChoice,30
1719946722.125,0.671875,ForecastPage,30
