time,value,zscore,tonic,phasic,page,rnd
1720028326.0,75.93,-0.14239105392782872,-0.14141589601224705,-0.0009751579155782967,ConsentWaitPage,-2
1720028327.0,75.95,-0.14046223075722458,-0.1403113018218837,-0.00015092893533773092,ConsentWaitPage,-2
1720028328.0,75.98,-0.1375689960013177,-0.13714425796192517,-0.000424738039389905,ConsentWaitPage,-2
1720028329.0,76.03,-0.1327469380748067,-0.13134151375913677,-0.0014054243156679629,ConsentWaitPage,-2
1720028330.0,76.07,-0.12888929173359845,-0.12314624765899632,-0.00574304407460077,ConsentWaitPage,-2
1720028331.0,76.2,-0.11635194112466818,-0.11368944366484607,-0.002662497459821212,ConsentWaitPage,-2
1720028332.0,76.32,-0.10477900210104203,-0.10478231290077843,3.3107997369542525e-06,ConsentWaitPage,-2
1720028333.0,76.4,-0.09706370941862277,-0.09846964506992485,0.0014059356513024409,ConsentWaitPage,-2
1720028334.0,76.43,-0.0941704746627159,-0.0964673935038491,0.0022969188411335437,ConsentWaitPage,-2
1720028335.0,76.43,-0.0941704746627159,-0.0996583361046375,0.005487861441922145,ConsentWaitPage,-2
1720028336.0,76.4,-0.09706370941862277,-0.10781463946170962,0.010750930043087826,ConsentWaitPage,-2
1720028337.0,76.12,-0.12406723380708606,-0.11965041527142499,-0.004416818535659521,ConsentWaitPage,-2
1720028338.0,75.97,-0.13853340758662044,-0.13319844130764696,-0.005334966278971339,ConsentWaitPage,-2
1720028339.0,75.85,-0.15010634661024796,-0.14639092766713674,-0.003715418943108613,ConsentWaitPage,-2
1720028340.0,75.73,-0.1616792856338741,-0.1576497652585122,-0.004029520375359095,ConsentWaitPage,-2
1720028341.0,75.63,-0.17132340148689748,-0.16628880509850708,-0.005034596388387679,ConsentWaitPage,-2
1720028342.0,75.62,-0.17228781307219887,-0.17260099795856712,0.00031318488637069905,ConsentWaitPage,-2
1720028343.0,75.62,-0.17228781307219887,-0.17761792175193544,0.005330108679738607,ConsentWaitPage,-2
1720028344.0,75.58,-0.1761454594134085,-0.1826434582468232,0.006497998833416273,ConsentWaitPage,-2
1720028345.0,75.47,-0.18675398685173325,-0.18873473153787818,0.001980744686146127,ConsentWaitPage,-2
1720028346.0,75.37,-0.19639810270475527,-0.19630806197204845,-9.004073270582863e-05,ConsentWaitPage,-2
1720028347.0,75.27,-0.20604221855777866,-0.20498954769753575,-0.0010526708602420598,ConsentWaitPage,-2
1720028348.0,75.17,-0.21568633441080068,-0.2137373778151251,-0.001948956595674795,ConsentWaitPage,-2
1720028349.0,75.1,-0.22243721550791717,-0.22117362577379326,-0.0012635897341230387,ConsentWaitPage,-2
1720028350.0,75.05,-0.2272592734344282,-0.2260061345880408,-0.0012531388463860936,ConsentWaitPage,-2
1720028351.0,75.03,-0.2291880966050323,-0.2274077915113183,-0.0017803050937121984,ConsentWaitPage,-2
1720028352.0,75.07,-0.22533045026382406,-0.22524659690589152,-8.385335793023758e-05,ConsentWaitPage,-2
1720028353.0,75.13,-0.21954398075201031,-0.2201115628277486,0.0005675820757406608,ConsentWaitPage,-2
1720028354.0,75.2,-0.2127930996548938,-0.21313949922958195,0.0003463995746902436,ConsentWaitPage,-2
1720028355.0,75.28,-0.2050778069724759,-0.2057002172623331,0.0006224102898588345,ConsentWaitPage,-2
1720028356.0,75.35,-0.19832692587536077,-0.19903094444643646,0.0007040185710770096,ConsentWaitPage,-2
1720028357.0,75.4,-0.19350486794884839,-0.1939192113552198,0.0004143434063727282,ConsentWaitPage,-2
1720028358.0,75.45,-0.1886828100223374,-0.1905174735882928,0.0018346635659571256,ConsentWaitPage,-2
1720028359.0,75.47,-0.18675398685173325,-0.18833694870332635,0.0015829618515955154,ConsentWaitPage,-2
1720028360.0,75.48,-0.1857895752664305,-0.18642006993779062,0.0006304946713631557,ConsentWaitPage,-2
1720028361.0,75.5,-0.1838607520958264,-0.1836405161589794,-0.00022023593684373838,ConsentWaitPage,-2
1720028362.0,75.52,-0.18193192892522225,-0.17903938548521497,-0.0028925434400043117,ConsentWaitPage,-2
1720028363.0,75.58,-0.1761454594134085,-0.1720892605121083,-0.004056198901297889,ConsentWaitPage,-2
1720028364.0,75.65,-0.16939457831629198,-0.16279516846075562,-0.006599409855534626,ConsentWaitPage,-2
1720028365.0,75.85,-0.15010634661024796,-0.15159404701050325,0.0014877004002566674,ConsentWaitPage,-2
1720028366.0,76.02,-0.13371134966010945,-0.1390889532321552,0.005377603572047014,ConsentWaitPage,-2
1720028367.0,76.2,-0.11635194112466818,-0.12572305423860802,0.009371113113941227,ConsentWaitPage,-2
1720028368.0,76.27,-0.10960106002755304,-0.1115288931287679,0.0019278331012164466,ConsentWaitPage,-2
1720028369.0,76.38,-0.09899253258922827,-0.09606127736858547,-0.0029312552206411167,ConsentWaitPage,-2
1720028370.0,76.55,-0.08259753563908975,-0.07854627763323055,-0.004051258005857612,ConsentWaitPage,-2
1720028371.0,76.77,-0.06138048076244023,-0.058189500992479826,-0.0031909797699590974,ConsentWaitPage,-2
1720028372.0,77.03,-0.03630577954458108,-0.034525534635345204,-0.0017802449092349643,ConsentWaitPage,-2
1720028373.0,77.33,-0.007373431985513663,-0.007681286464927203,0.0003078544794140412,ConsentWaitPage,-2
1720028374.0,77.63,0.02155891557355375,0.021534660436848155,2.4255136705738246e-05,ConsentWaitPage,-2
1720028375.0,77.97,0.05434890947383079,0.05174015498618099,0.0026087544876496104,ConsentWaitPage,-2
1720028376.0,78.27,0.0832812570328982,0.08124701283681275,0.002034244196084852,ConsentWaitPage,-2
1720028377.0,78.53,0.10835595825075736,0.10841104300706078,-5.5084756304539886e-05,ConsentWaitPage,-2
1720028378.0,78.77,0.13150183629801102,0.13197763512315172,-0.0004757988251423876,ConsentWaitPage,-2
1720028379.0,78.95,0.14886124483345228,0.1513489543721888,-0.0024877095387386655,ConsentWaitPage,-2
1720028380.0,79.1,0.1633274186129853,0.16672222858136695,-0.003394809968384028,ConsentWaitPage,-2
1720028381.0,79.28,0.18068682714842657,0.1790714485053729,0.0016153786430513134,ConsentWaitPage,-2
1720028382.0,79.47,0.19901064726916923,0.18996437951214337,0.009046267757023604,ConsentWaitPage,-2
1720028383.0,79.53,0.20479711678098297,0.20123008388604194,0.003567032894938792,ConsentWaitPage,-2
1720028384.0,79.63,0.214441232634005,0.21452825565623126,-8.702302222882976e-05,ConsentWaitPage,-2
1720028385.0,79.73,0.22408534848702838,0.2309184357107635,-0.006833087223738278,ConsentWaitPage,-2
1720028386.0,79.9,0.2404803454371669,0.2505633430717683,-0.010082997634605222,ConsentWaitPage,-2
1720028387.0,80.18,0.26748386982563016,0.27269439274391505,-0.005210522918289017,ConsentWaitPage,-2
1720028388.0,80.48,0.2964162173846976,0.2958996827659005,0.0005165346187934072,ConsentWaitPage,-2
1720028389.0,80.78,0.325348564943765,0.31867868156900436,0.00666988337475798,ConsentWaitPage,-2
1720028390.0,81.03,0.3494588545763214,0.3400899014469632,0.009368953129356811,ConsentWaitPage,-2
1720028391.0,81.2,0.36585385152645994,0.3602552705342662,0.005598580992193405,ConsentWaitPage,-2
1720028392.0,81.38,0.3832132600618998,0.3805147044334419,0.0026985556284580266,ConsentWaitPage,-2
1720028393.0,81.58,0.40250149176794525,0.40314227462697455,-0.0006407828590294343,ConsentWaitPage,-2
1720028394.0,81.82,0.4256473698151989,0.4306968998701259,-0.005049530054928244,ConsentWaitPage,-2
1720028395.0,82.13,0.45554412895956903,0.4652214912126814,-0.009677362253115381,ConsentWaitPage,-2
1720028396.0,82.57,0.4979782387128681,0.5075686204638323,-0.009590381750969122,ConsentWaitPage,-2
1720028397.0,83.2,0.5587361685869112,0.5570916969176283,0.0016444716692763238,ConsentWaitPage,-2
1720028398.0,83.8,0.616600863705046,0.6118123103164813,0.0047885533885566834,ConsentWaitPage,-2
1720028399.0,84.38,0.6725367356525767,0.6690065159133641,0.003530219739203324,ConsentWaitPage,-2
1720028400.0,84.98,0.7304014307707128,0.7260103269035726,0.004391103867130545,ConsentWaitPage,-2
1720028401.0,85.55,0.7853728911329408,0.7809790038940163,0.004393887238915062,ConsentWaitPage,-2
1720028402.0,86.07,0.8355222935686578,0.8333631871882436,0.002159106380405389,ConsentWaitPage,-2
1720028403.0,86.57,0.8837428728337706,0.8839691191226873,-0.000226246288924909,ConsentWaitPage,-2
1720028404.0,87.08,0.9329278636841861,0.9346094714969583,-0.0016816078127801955,ConsentWaitPage,-2
1720028405.0,87.6,0.9830772661199031,0.9874791831976723,-0.004401917077776811,ConsentWaitPage,-2
1720028406.0,88.15,1.0361199033115283,1.0444682276305746,-0.008348324319053186,ConsentWaitPage,-2
1720028407.0,88.87,1.1055575374532907,1.1066284644278537,-0.0010709269745690156,ConsentWaitPage,-2
1720028408.0,89.6,1.1759595831803544,1.1739460540427142,0.0020135291376347834,ConsentWaitPage,-2
1720028409.0,90.33,1.2463616289074193,1.2454595125245833,0.0009021163828299792,ConsentWaitPage,-2
1720028410.0,91.13,1.3235145557315997,1.3196473044523858,0.003867251279204798,ConsentWaitPage,-2
1720028411.0,91.92,1.3997030709704785,1.394928746167531,0.0047743248029334644,ConsentWaitPage,-2
1720028412.0,92.67,1.4720339398681477,1.4701024729596373,0.0019314669084909935,ConsentWaitPage,-2
1720028413.0,93.42,1.5443648087658168,1.5445884286195202,-0.00022361985372799215,ConsentWaitPage,-2
1720028414.0,94.17,1.6166956776634862,1.6184216961237023,-0.0017260184602457336,ConsentWaitPage,-2
1720028415.0,94.92,1.6890265465611554,1.6920370636233708,-0.0030105170622488782,ConsentWaitPage,-2
1720028416.0,95.67,1.7613574154588245,1.7659497288769717,-0.004592313418182761,ConsentWaitPage,-2
1720028417.0,96.5,1.8414035770389117,1.8404592857045323,0.0009442913343428598,ConsentWaitPage,-2
1720028418.0,97.27,1.915663269107185,1.9154786622691742,0.00018460683797412144,ConsentWaitPage,-2
1720028419.0,98.05,1.990887372760761,1.9905318692519514,0.0003555035087741084,ConsentWaitPage,-2
1720028420.0,98.82,2.0651470648290347,2.064898507368637,0.00024855746036533456,ConsentWaitPage,-2
1720028421.0,99.58,2.1384423453120065,2.1378318374715675,0.0006105078404099976,ConsentWaitPage,-2
1720028422.0,100.33,2.2107732142096754,2.2087547989306637,0.0020184152789836725,ConsentWaitPage,-2
1720028423.0,101.05,2.280210848351438,2.277348662746692,0.002862185604714653,ConsentWaitPage,-2
1720028424.0,101.77,2.3496484824932002,2.3434886904581416,0.0061597920350204725,ConsentWaitPage,-2
1720028425.0,102.33,2.4036555312701267,2.4070409212166015,-0.0033853899465230717,ConsentWaitPage,-2
1720028426.0,102.93,2.461520226388263,2.467597418203495,-0.006077191815287132,ConsentWaitPage,-2
1720028427.0,103.53,2.519384921506398,2.5242702643366193,-0.004885342830275352,ConsentWaitPage,-2
1720028428.0,104.08,2.572427558698022,2.575663764054981,-0.003236205357003001,ConsentWaitPage,-2
1720028429.0,104.57,2.619683726377832,2.6200900691437585,-0.000406342765953757,ConsentWaitPage,-2
1720028430.0,104.97,2.6582601897899227,2.6560006060344845,0.002259583755427923,ConsentWaitPage,-2
1720028431.0,105.27,2.6871925373489898,2.6825104219758065,0.004682115373182793,ConsentWaitPage,-2
1720028432.0,105.53,2.712267238566849,2.6998365032007596,0.012430735366088307,ConsentWaitPage,-2
1720028433.0,105.5,2.709374003810942,2.7094822874882643,-0.00010828367733490391,ConsentWaitPage,-2
1720028434.0,105.5,2.709374003810942,2.714080038293631,-0.004706034482717269,ConsentWaitPage,-2
1720028435.0,105.53,2.712267238566849,2.7169212208583686,-0.004653982291560883,ConsentWaitPage,-2
1720028436.0,105.58,2.71708929649336,2.7213134730722444,-0.004224176578931511,ConsentWaitPage,-2
1720028437.0,105.65,2.7238401775904766,2.729955475236594,-0.0061152976461625996,ConsentWaitPage,-2
1720028438.0,105.88,2.7460216440524277,2.7444990694676212,0.001522574584767457,ConsentWaitPage,-2
1720028439.0,106.13,2.770131933684984,2.7653874077550302,0.004744525929921014,ConsentPage,-2
1720028440.0,106.43,2.799064281244053,2.791958894034283,0.00710538720973969,ConsentPage,-2
1720028441.0,106.7,2.8251033940472134,2.822732469555829,0.002370924491355883,ConsentPage,-2
1720028442.0,106.98,2.8521069184356764,2.8557660531072036,-0.003659134671556631,ConsentPage,-2
1720028443.0,107.32,2.884896912335952,2.8890033968792173,-0.0041064845432971005,ConsentPage,-2
1720028444.0,107.63,2.9147936714803224,2.920567644012307,-0.005773972532020425,ConsentPage,-2
1720028445.0,107.98,2.9485480769659023,2.948990168772384,-0.0004420918065221116,PreMarketWait,1
1720028446.0,108.33,2.9823024824514808,2.973365820922907,0.008936661528528329,PreMarketWait,1
1720028447.0,108.48,2.996768656231015,2.9934113852158166,0.003357271015148615,PreMarketWait,1
1720028448.0,108.62,3.0102704184252467,3.0093988594243424,0.0008715590008501644,PreMarketWait,1
1720028449.0,108.72,3.0199145342782687,3.0219578919559007,-0.0020433576776876395,PreMarketWait,1
1720028450.0,108.82,3.0295586501312908,3.0317878708389094,-0.0022292207076717472,PreMarketWait,1
1720028451.0,108.87,3.034380708057803,3.039364307332358,-0.004983599274603193,PreMarketWait,1
1720028452.0,108.93,3.0401671775696166,3.0447381360374877,-0.00457095846791594,PreMarketWait,1
1720028453.0,109.02,3.048846881837336,3.047497899063602,0.0013489827736888323,PreMarketWait,1
1720028454.0,109.07,3.0536689397638472,3.0469038378359348,0.006765101927865189,PreMarketWait,1
1720028455.0,109.0,3.0469180586667317,3.042137331266472,0.004780727400211689,PreMarketWait,1
1720028456.0,108.83,3.0305230617165932,3.03256952026769,-0.0020464585511426377,PreMarketWait,1
1720028457.0,108.67,3.0150924763517577,3.0179558563925735,-0.0028633800408577126,PreMarketWait,1
1720028458.0,108.48,2.996768656231015,2.9985017029941257,-0.0017330467631509645,PreMarketWait,1
1720028459.0,108.27,2.976516012939667,2.9747943299292374,0.0017216830103893225,PreMarketWait,1
1720028460.0,108.02,2.9524057233071104,2.9476363801424825,0.004769343164588147,PreMarketWait,1
1720028461.0,107.63,2.9147936714803224,2.917836979022501,-0.0030433075422171604,PreMarketWait,1
1720028462.0,107.3,2.882968089165348,2.886022259287572,-0.003054170122260683,PreMarketWait,1
1720028463.0,106.95,2.8492136836797695,2.8525202856889633,-0.0033066020092286253,PreMarketWait,1
1720028464.0,106.6,2.81545927819419,2.8173541815178136,-0.001894903323655403,PreMarketWait,1
1720028465.0,106.27,2.7836336958792156,2.780341146661446,0.003292549217740074,PreMarketWait,1
1720028466.0,105.9,2.747950467223033,2.7412538670243376,0.006696600198666632,PreMarketWait,1
1720028467.0,105.42,2.701658711128524,2.6999740111478956,0.001684699980599563,PreMarketWait,1
1720028468.0,104.93,2.654402543448714,2.656572095532012,-0.002169552083327889,PreMarketWait,1
1720028469.0,104.48,2.6110040221101123,2.6112849862848972,-0.0002809641748184053,PreMarketWait,1
1720028470.0,103.97,2.561819031259697,2.564413628148209,-0.002594596888547561,PreMarketWait,1
1720028471.0,103.47,2.513598451994584,2.516202741760042,-0.0026042897654957875,PreMarketWait,1
1720028472.0,102.95,2.463449049558867,2.4667719393174616,-0.0033228897586344555,PreMarketWait,1
1720028473.0,102.47,2.4171572934643586,2.416141134288227,0.001016159176090083,PreMarketWait,1
1720028474.0,101.95,2.3670078910286416,2.364345193038797,0.0026626979898030315,PreMarketWait,1
1720028475.0,101.42,2.3158940770076217,2.311585739168228,0.004308337839356993,PreMarketWait,1
1720028476.0,100.87,2.2628514398159982,2.258344398311461,0.004507041504509447,PreMarketWait,1
1720028477.0,100.25,2.203057921527258,2.2053941359559617,-0.0023362144287222596,PreMarketWait,1
1720028478.0,99.68,2.14808646116503,2.1536887880366904,-0.005602326871670546,PreMarketWait,1
1720028479.0,99.2,2.101794705070521,2.104164111427131,-0.002369406356615864,PreMarketWait,1
1720028480.0,98.77,2.0603250069025236,2.0575206983860763,0.002804308516440618,PreMarketWait,1
1720028481.0,98.33,2.017890897149224,2.014065055647601,0.0038258415016112187,PreMarketWait,1
1720028482.0,97.85,1.9715991410547158,1.9736639404566667,-0.0020647994019690626,PreMarketWait,1
1720028483.0,97.45,1.9330226776426263,1.9358337856779197,-0.0028111080353158944,PreMarketWait,1
1720028484.0,97.07,1.8963750374011397,1.8999533008533707,-0.003578263452253996,PreMarketWait,1
1720028485.0,96.73,1.8635850435008638,1.865554778165208,-0.0019697346643648395,PreMarketWait,1
1720028486.0,96.45,1.8365815191124006,1.832617605513393,0.003963913598990914,PreMarketWait,1
1720028487.0,96.15,1.8076491715533332,1.8017639698269383,0.005885201726381264,PreMarketWait,1
1720028488.0,95.87,1.78064564716487,1.7742591675154133,0.006386479649444876,PreMarketWait,1
1720028489.0,95.58,1.7526777111911038,1.7517624122634234,0.0009152989276689,PreMarketWait,1
1720028490.0,95.37,1.732425067899757,1.7358559888786143,-0.0034309209788706352,PreMarketWait,1
1720028491.0,95.3,1.7256741868026406,1.7274745551549346,-0.0018003683523106378,PreMarketWait,1
1720028492.0,95.15,1.7112080130231075,1.7264210129604587,-0.015212999937370653,PreMarketWait,1
1720028493.0,95.35,1.7304962447291516,1.7311547150456679,-0.0006584703165380778,PreMarketWait,1
1720028494.0,95.47,1.742069183752779,1.7389612415663827,0.003107942186374465,PreMarketWait,1
1720028495.0,95.53,1.7478556532645928,1.746484233198153,0.0013714200664199242,PreMarketWait,1
1720028496.0,95.62,1.7565353575323135,1.7504690125876166,0.006066344944679237,PreMarketWait,1
1720028497.0,95.65,1.7594285922882205,1.7484893173209008,0.010939274967302888,PreMarketWait,1
1720028498.0,95.47,1.742069183752779,1.7394353670542204,0.002633816698540239,PreMarketWait,1
1720028499.0,95.22,1.7179588941202228,1.7236306281182474,-0.005671733998046404,PreMarketWait,1
1720028500.0,94.98,1.694813016072969,1.7025785923758494,-0.007765576302907526,PreMarketWait,1
1720028501.0,94.75,1.672631549611017,1.6784635130419414,-0.0058319634309589325,PreMarketWait,1
1720028502.0,94.55,1.6533433179049715,1.6535907944694124,-0.0002474765644819466,PreMarketWait,1
1720028503.0,94.33,1.632126263028322,1.6299353150932132,0.0021909479350644516,PreMarketWait,1
1720028504.0,94.13,1.6128380313222765,1.60889021925086,0.003947812071374127,PreMarketWait,1
1720028505.0,93.95,1.5954786227868365,1.5912190996769031,0.004259523109898146,PreMarketWait,1
1720028506.0,93.75,1.5761903910807913,1.577151884504791,-0.000961493424025333,PreMarketWait,1
1720028507.0,93.62,1.5636530404718623,1.566546503096604,-0.002893462624758281,PreMarketWait,1
1720028508.0,93.57,1.55883098254535,1.559055818736638,-0.00022483619129938038,PreMarketWait,1
1720028509.0,93.52,1.5540089246188389,1.5542697485296453,-0.00026082391081642194,PreMarketWait,1
1720028510.0,93.48,1.5501512782776308,1.5518259469373124,-0.0016746686596930448,PreMarketWait,1
1720028511.0,93.52,1.5540089246188389,1.5514916220117885,0.002517302607035788,PreMarketWait,1
1720028512.0,93.55,1.5569021593747459,1.5532185153684335,0.00368364400629407,PreMarketWait,1
1720028513.0,93.53,1.5549733362041416,1.5571713870890003,-0.002198050884881555,PreMarketWait,1
1720028514.0,93.57,1.55883098254535,1.5637323261114318,-0.004901343566109263,PreMarketWait,1
1720028515.0,93.72,1.5732971563248843,1.5734864522949799,-0.00018929597012611564,PreMarketWait,1
1720028516.0,93.88,1.58872774168972,1.5871925276144716,0.0015352140752184357,PreMarketWait,1
1720028517.0,94.08,1.6080159733957655,1.6057320483612951,0.002283925034444876,PreMarketWait,1
1720028518.0,94.32,1.631161851443019,1.6300193070497515,0.0011425443932494659,PreMarketWait,1
1720028519.0,94.65,1.6629874337579948,1.6608544639167184,0.002132969841265775,PreMarketWait,1
1720028520.0,94.97,1.6938486044876664,1.698718242289556,-0.0048696378018953474,PreMarketWait,1
1720028521.0,95.52,1.74689124167929,1.7435356495224479,0.003355592156838355,PreMarketWait,1
1720028522.0,96.03,1.7960762325297057,1.7944646889933933,0.0016115435363083532,PreMarketWait,1
1720028523.0,96.58,1.8491188697213294,1.8497822761882234,-0.0006634064669011413,PreMarketWait,1
1720028524.0,97.13,1.9021615069129534,1.9069362249821489,-0.004774718069208456,PreMarketWait,1
1720028525.0,97.68,1.9552041441045784,1.9628054429263664,-0.007601298821807622,PreMarketWait,1
1720028526.0,98.25,2.0101756044668067,2.0141588100991283,-0.003983205632346434,PreMarketWait,1
1720028527.0,98.77,2.0603250069025236,2.058232594691523,0.0020924122109741133,PreMarketWait,1
1720028528.0,99.35,2.116260878850054,2.093278620035029,0.02298225881500008,PreMarketWait,1
1720028529.0,99.43,2.1239761715324734,2.1189073314839817,0.00506884004846998,PreMarketWait,1
1720028530.0,99.48,2.1287982294589844,2.136092950697993,-0.007294721239026435,PreMarketWait,1
1720028531.0,99.58,2.1384423453120065,2.146819942388437,-0.008377597076445573,PreMarketWait,1
1720028532.0,99.68,2.14808646116503,2.153484157778635,-0.005397696613620853,PreMarketWait,1
1720028533.0,99.75,2.154837342262145,2.1582511491639473,-0.003413806901820837,PreMarketWait,1
1720028534.0,99.83,2.162552634944563,2.1625752491286074,-2.2614184067041784e-05,PreMarketWait,1
1720028535.0,99.92,2.1712323392122834,2.167002972632485,0.0042293665797721765,PreMarketWait,1
1720028536.0,99.95,2.1741255739681904,2.1712688048770614,0.002856769091098171,PreMarketWait,1
1720028537.0,99.97,2.1760543971387944,2.1745933892686127,0.0014610078701468654,PreMarketWait,1
1720028538.0,100.02,2.1808764550653055,2.1760476647307825,0.0048287903344855065,PreMarketWait,1
1720028539.0,99.95,2.1741255739681904,2.174857795973563,-0.0007322220054101103,PreMarketWait,1
1720028540.0,99.87,2.1664102812857724,2.1705777649005715,-0.004167483614834428,PreMarketWait,1
1720028541.0,99.78,2.157730577018052,2.1631204509026936,-0.005389873884672654,PreMarketWait,1
1720028542.0,99.73,2.152908519091541,2.152686118626348,0.00022240046516829037,PreMarketWait,1
1720028543.0,99.65,2.145193226409123,2.139644181455207,0.005549044953897096,PreMarketWait,1
1720028544.0,99.45,2.1259049947030775,2.1244135802780706,0.001491414424991773,PreMarketWait,1
1720028545.0,99.27,2.108545586167636,2.1073670165156764,0.001178569651945635,PreMarketWait,1
1720028546.0,99.03,2.0853997081203826,2.0887716341444387,-0.0033719260240705727,PreMarketWait,1
1720028547.0,98.8,2.06321824165843,2.06877619496549,-0.005557953307076591,PreMarketWait,1
1720028548.0,98.62,2.0458588331229905,2.047451135072662,-0.0015923019496904489,PreMarketWait,1
1720028549.0,98.43,2.0275350130022476,2.024871818552972,0.0026631944492539546,PreMarketWait,1
