time,value,page,rnd
1720028348.0625,0.46875,ConsentWaitPage,-2
1720028358.171875,0.359375,ConsentWaitPage,-2
1720028394.5625,0.34375,ConsentWaitPage,-2
1720028394.953125,0.390625,ConsentWaitPage,-2
1720028457.0625,0.53125,PreMarketWait,1
1720028457.65625,0.59375,PreMarketWait,1
1720028477.75,0.359375,PreMarketWait,1
1720028481.390625,0.359375,PreMarketWait,1
1720028545.015625,0.40625,PreMarketWait,1
1720028553.34375,0.453125,PreMarketWait,1
1720028553.734375,0.390625,PreMarketWait,1
1720028555.375,0.3125,PreMarketWait,1
1720028564.109375,0.4375,PreMarketWait,1
1720028780.546875,0.328125,PreMarketWait,1
1720028782.578125,0.359375,PreMarketWait,1
1720028900.578125,0.3125,PreMarketWait,1
1720028900.90625,0.328125,PreMarketWait,1
1720028932.421875,0.375,PreMarketWait,1
1720029055.96875,0.546875,PreMarketWait,1
1720029056.59375,0.625,PreMarketWait,1
1720029125.265625,0.5,PreMarketWait,1
1720029266.21875,0.46875,RoundResultsPage,1
1720029306.40625,0.453125,PreMarketWait,2
1720029306.90625,0.5,PreMarketWait,2
1720029339.34375,0.34375,MarketGridChoice,2
1720029541.609375,0.3125,MarketGridChoice,4
1720029602.125,0.375,RoundResultsPage,4
1720029730.71875,0.34375,RiskPage1,5
1720029911.578125,0.3125,RoundResultsPage,7
1720030050.828125,0.359375,MarketGridChoice,9
1720030051.15625,0.328125,MarketGridChoice,9
1720030084.71875,0.34375,ForecastPage,9
1720030089.28125,0.46875,ForecastPage,9
1720030155.6875,0.40625,MarketGridChoice,10
1720030156.03125,0.34375,MarketGridChoice,10
1720030164.9375,0.328125,MarketGridChoice,10
1720030192.5625,0.390625,ForecastPage,10
1720030193.0625,0.5,ForecastPage,10
1720030193.453125,0.390625,ForecastPage,10
1720030230.28125,0.390625,RiskPage3,10
1720030301.046875,0.421875,ForecastPage,11
1720030347.1875,0.3125,PreMarketWait,12
1720030368.265625,0.375,MarketGridChoice,12
1720030368.59375,0.328125,MarketGridChoice,12
1720030383.875,0.34375,ForecastPage,12
1720030384.296875,0.421875,ForecastPage,12
1720030462.9375,0.359375,MarketGridChoice,13
1720030463.328125,0.390625,MarketGridChoice,13
1720030480.140625,0.46875,ForecastPage,13
1720030483.265625,0.40625,ForecastPage,13
1720030516.421875,0.484375,RoundResultsPage,13
1720030516.90625,0.484375,RoundResultsPage,13
1720030547.046875,0.34375,PreMarketWait,14
1720030569.5625,0.40625,MarketGridChoice,14
1720030673.015625,0.3125,MarketGridChoice,15
1720030695.890625,0.328125,ForecastPage,15
1720030811.75,0.421875,ForecastPage,16
1720030813.609375,0.46875,ForecastPage,16
1720030813.96875,0.359375,ForecastPage,16
1720030875.828125,0.328125,MarketGridChoice,17
1720030876.265625,0.4375,MarketGridChoice,17
1720030878.09375,0.390625,MarketGridChoice,17
1720031098.78125,0.515625,ForecastPage,19
1720031106.78125,0.4375,ForecastPage,19
1720031107.140625,0.359375,ForecastPage,19
1720031107.484375,0.34375,ForecastPage,19
1720031107.875,0.390625,ForecastPage,19
1720031108.25,0.375,ForecastPage,19
1720031150.40625,0.34375,RiskPage1,19
1720031150.78125,0.375,RiskPage1,19
1720031188.671875,0.328125,PreMarketWait,20
1720031244.421875,0.328125,MarketWaitPage,20
1720031254.09375,0.359375,RoundResultsPage,20
1720031369.375,0.375,RiskPage4,21
1720031369.703125,0.328125,RiskPage4,21
1720031441.515625,0.46875,RoundResultsPage,22
1720031470.515625,0.390625,RiskPage4,22
1720031517.484375,0.390625,ForecastPage,23
1720031517.921875,0.4375,ForecastPage,23
1720031527.390625,0.359375,ForecastPage,23
1720031537.609375,0.484375,MarketWaitPage,23
1720031546.8125,0.34375,RoundResultsPage,23
1720031547.140625,0.328125,RoundResultsPage,23
1720031615.9375,0.40625,ForecastPage,24
1720031620.65625,0.46875,ForecastPage,24
1720031771.234375,0.46875,RiskPage4,25
1720031771.609375,0.375,RiskPage4,25
1720031772.015625,0.40625,PreMarketWait,26
1720032011.703125,0.484375,ForecastPage,28
1720032012.171875,0.46875,ForecastPage,28
