time,value,page,rnd
1717525564.203125,0.59375,ConsentWaitPage,-2
1717525564.859375,0.65625,ConsentWaitPage,-2
1717525565.578125,0.71875,ConsentWaitPage,-2
1717525566.296875,0.71875,ConsentWaitPage,-2
1717525567.078125,0.78125,ConsentWaitPage,-2
1717525567.875,0.796875,ConsentWaitPage,-2
1717525568.5625,0.6875,ConsentWaitPage,-2
1717525569.265625,0.703125,ConsentWaitPage,-2
1717525569.9375,0.671875,ConsentWaitPage,-2
1717525570.578125,0.640625,ConsentWaitPage,-2
1717525571.140625,0.5625,ConsentWaitPage,-2
1717525574.03125,0.609375,ConsentWaitPage,-2
1717525574.6875,0.65625,ConsentWaitPage,-2
1717525575.34375,0.65625,ConsentWaitPage,-2
1717525582.921875,0.65625,ConsentWaitPage,-2
1717525583.546875,0.625,ConsentWaitPage,-2
1717525584.234375,0.6875,ConsentWaitPage,-2
1717525603.0625,0.578125,ConsentWaitPage,-2
1717525603.671875,0.609375,ConsentWaitPage,-2
1717525604.328125,0.65625,ConsentWaitPage,-2
1717525605.015625,0.6875,ConsentWaitPage,-2
1717525605.734375,0.71875,ConsentWaitPage,-2
1717525606.4375,0.703125,ConsentWaitPage,-2
1717525607.078125,0.640625,ConsentWaitPage,-2
1717525607.71875,0.640625,ConsentWaitPage,-2
1717525608.296875,0.578125,ConsentWaitPage,-2
1717525608.875,0.578125,ConsentWaitPage,-2
1717525609.46875,0.59375,ConsentWaitPage,-2
1717525616.25,0.609375,ConsentWaitPage,-2
1717525620.578125,1.0,ConsentWaitPage,-2
1717525621.4375,0.859375,ConsentWaitPage,-2
1717525627.328125,0.6875,ConsentWaitPage,-2
1717525628.03125,0.703125,ConsentWaitPage,-2
1717525628.71875,0.6875,ConsentWaitPage,-2
1717525629.359375,0.640625,ConsentWaitPage,-2
1717525630.015625,0.65625,ConsentWaitPage,-2
1717525630.6875,0.671875,ConsentWaitPage,-2
1717525631.34375,0.65625,ConsentWaitPage,-2
1717525632.0,0.65625,ConsentWaitPage,-2
1717525632.671875,0.671875,ConsentWaitPage,-2
1717525633.328125,0.65625,ConsentWaitPage,-2
1717525634.0,0.671875,ConsentWaitPage,-2
1717525634.65625,0.65625,ConsentWaitPage,-2
1717525635.296875,0.640625,ConsentWaitPage,-2
1717525635.9375,0.640625,ConsentWaitPage,-2
1717525636.59375,0.65625,ConsentPage,-2
1717525637.265625,0.671875,ConsentPage,-2
1717525637.9375,0.671875,ConsentPage,-2
1717525638.5625,0.625,ConsentPage,-2
1717525639.171875,0.609375,ConsentPage,-2
1717525639.78125,0.609375,ConsentPage,-2
1717525640.390625,0.609375,PreMarketWait,1
1717525641.015625,0.625,PreMarketWait,1
1717525641.59375,0.578125,PreMarketWait,1
1717525642.234375,0.640625,PreMarketWait,1
1717525642.875,0.640625,PreMarketWait,1
1717525643.578125,0.703125,PreMarketWait,1
1717525644.328125,0.75,PreMarketWait,1
1717525645.109375,0.78125,PreMarketWait,1
1717525645.90625,0.796875,PreMarketWait,1
1717525646.703125,0.796875,PreMarketWait,1
1717525647.4375,0.734375,PreMarketWait,1
1717525648.15625,0.71875,PreMarketWait,1
1717525648.84375,0.6875,PreMarketWait,1
1717525649.5,0.65625,PreMarketWait,1
1717525658.125,0.546875,PreMarketWait,1
1717525658.703125,0.578125,PreMarketWait,1
1717525659.265625,0.5625,PreMarketWait,1
1717525659.8125,0.546875,PreMarketWait,1
1717525660.375,0.5625,PreMarketWait,1
1717525660.9375,0.5625,PreMarketWait,1
1717525661.484375,0.546875,PreMarketWait,1
1717525662.09375,0.609375,PreMarketWait,1
1717525673.9375,0.625,PreMarketWait,1
1717525674.6875,0.75,PreMarketWait,1
1717525675.46875,0.78125,PreMarketWait,1
1717525676.21875,0.75,PreMarketWait,1
1717525676.953125,0.734375,PreMarketWait,1
1717525677.671875,0.71875,PreMarketWait,1
1717525678.390625,0.71875,PreMarketWait,1
1717525679.078125,0.6875,PreMarketWait,1
1717525683.515625,0.609375,PreMarketWait,1
1717525684.078125,0.5625,PreMarketWait,1
1717525684.65625,0.578125,PreMarketWait,1
1717525685.328125,0.671875,PreMarketWait,1
1717525685.984375,0.65625,PreMarketWait,1
1717525686.640625,0.65625,PreMarketWait,1
1717525687.390625,0.75,PreMarketWait,1
1717525688.015625,0.625,PreMarketWait,1
1717525688.65625,0.640625,PreMarketWait,1
1717525689.359375,0.703125,PreMarketWait,1
1717525690.0625,0.703125,PreMarketWait,1
1717525690.78125,0.71875,PreMarketWait,1
1717525691.453125,0.671875,PreMarketWait,1
1717525692.125,0.671875,PreMarketWait,1
1717525692.8125,0.6875,PreMarketWait,1
1717525693.46875,0.65625,PreMarketWait,1
1717525694.15625,0.6875,PreMarketWait,1
1717525694.8125,0.65625,PreMarketWait,1
1717525695.5,0.6875,PreMarketWait,1
1717525696.171875,0.671875,PreMarketWait,1
1717525696.8125,0.640625,PreMarketWait,1
1717525697.46875,0.65625,PreMarketWait,1
1717525700.828125,0.734375,PreMarketWait,1
1717525701.5625,0.734375,PreMarketWait,1
1717525702.3125,0.75,PreMarketWait,1
1717525703.09375,0.78125,PreMarketWait,1
1717525703.828125,0.734375,PreMarketWait,1
1717525704.515625,0.6875,PreMarketWait,1
1717525705.203125,0.6875,PreMarketWait,1
1717525705.859375,0.65625,PreMarketWait,1
1717525706.546875,0.6875,PreMarketWait,1
1717525707.171875,0.625,PreMarketWait,1
1717525707.78125,0.609375,PreMarketWait,1
1717525708.40625,0.625,PreMarketWait,1
1717525709.015625,0.609375,PreMarketWait,1
