time,value,page,rnd
1723053743.515625,0.78125,PreMarketWait,1
1723053744.3125,0.796875,PreMarketWait,1
1723053745.09375,0.78125,PreMarketWait,1
1723053746.015625,0.921875,PreMarketWait,1
1723053761.140625,0.78125,PreMarketWait,1
1723053777.09375,0.8125,PreMarketWait,1
1723053801.375,0.53125,PreMarketWait,1
1723053805.578125,0.8125,PreMarketWait,1
1723053806.390625,0.8125,PreMarketWait,1
1723053807.265625,0.875,PreMarketWait,1
1723053808.125,0.859375,PreMarketWait,1
1723053808.9375,0.8125,PreMarketWait,1
1723053809.8125,0.875,PreMarketWait,1
1723053815.421875,0.796875,PreMarketWait,1
1723053821.046875,0.8125,PreMarketWait,1
1723053821.8125,0.765625,PreMarketWait,1
1723053822.625,0.8125,PreMarketWait,1
1723053823.375,0.75,PreMarketWait,1
1723053840.078125,0.734375,PreMarketWait,1
1723053840.84375,0.765625,PreMarketWait,1
1723053841.625,0.78125,PreMarketWait,1
1723053842.390625,0.765625,PreMarketWait,1
1723053843.171875,0.78125,PreMarketWait,1
1723053843.921875,0.75,PreMarketWait,1
1723053844.765625,0.84375,PreMarketWait,1
1723053845.578125,0.8125,PreMarketWait,1
1723053846.40625,0.828125,PreMarketWait,1
1723053847.203125,0.796875,PreMarketWait,1
1723053848.046875,0.84375,PreMarketWait,1
1723053848.890625,0.84375,PreMarketWait,1
1723053849.734375,0.84375,PreMarketWait,1
1723053850.5625,0.828125,PreMarketWait,1
1723053851.390625,0.828125,PreMarketWait,1
1723053852.25,0.859375,PreMarketWait,1
1723053853.046875,0.796875,PreMarketWait,1
1723053853.90625,0.859375,PreMarketWait,1
1723053854.78125,0.875,PreMarketWait,1
1723053861.453125,0.796875,PreMarketWait,1
1723053862.28125,0.828125,PreMarketWait,1
1723053862.9375,0.65625,PreMarketWait,1
1723053867.125,0.828125,PreMarketWait,1
1723053867.984375,0.859375,PreMarketWait,1
1723053868.796875,0.8125,PreMarketWait,1
1723053869.609375,0.8125,PreMarketWait,1
1723053870.421875,0.8125,PreMarketWait,1
1723053871.25,0.828125,PreMarketWait,1
1723053872.0625,0.8125,PreMarketWait,1
1723053872.90625,0.84375,PreMarketWait,1
