time,value,page,rnd
1723053808.28125,1.203125,PreMarketWait,1
1723053809.265625,0.984375,PreMarketWait,1
1723053810.203125,0.9375,PreMarketWait,1
1723053811.34375,1.140625,PreMarketWait,1
1723053858.703125,0.625,PreMarketWait,1
1723053875.34375,0.890625,PreMarketWait,1
1723053876.484375,1.140625,PreMarketWait,1
1723053930.40625,0.375,PreMarketWait,1
1723053988.0625,0.390625,PreMarketWait,1
1723053992.890625,0.40625,PreMarketWait,1
1723054242.796875,1.015625,ForecastPage,2
1723054340.578125,0.90625,ForecastPage,3
1723054341.546875,0.96875,ForecastPage,3
1723054666.046875,1.09375,MarketGridChoice,6
1723054667.125,1.078125,MarketGridChoice,6
1723054668.09375,0.96875,MarketGridChoice,6
1723054669.0,0.90625,MarketGridChoice,6
1723054693.390625,0.90625,ForecastPage,6
1723054694.390625,1.0,ForecastPage,6
1723054695.359375,0.96875,ForecastPage,6
1723054715.9375,0.984375,RoundResultsPage,6
1723054748.390625,0.78125,PreMarketWait,7
1723054749.15625,0.765625,PreMarketWait,7
1723054749.953125,0.796875,PreMarketWait,7
1723054758.3125,1.078125,MarketGridChoice,7
1723054759.21875,0.90625,MarketGridChoice,7
1723054760.203125,0.984375,MarketGridChoice,7
1723054761.328125,1.125,MarketGridChoice,7
1723054762.3125,0.984375,MarketGridChoice,7
1723054763.375,1.0625,MarketGridChoice,7
1723054764.21875,0.84375,MarketGridChoice,7
1723054765.203125,0.984375,MarketGridChoice,7
1723054766.28125,1.078125,MarketGridChoice,7
1723054767.15625,0.875,MarketGridChoice,7
1723054768.140625,0.984375,MarketGridChoice,7
1723054769.0625,0.921875,MarketGridChoice,7
1723054770.1875,1.125,MarketGridChoice,7
1723054771.234375,1.046875,MarketGridChoice,7
1723054772.28125,1.046875,MarketGridChoice,7
1723054773.28125,1.0,MarketGridChoice,7
1723054774.140625,0.859375,MarketGridChoice,7
1723054775.25,1.109375,ForecastPage,7
1723054776.3125,1.0625,ForecastPage,7
1723054777.4375,1.125,ForecastPage,7
1723054778.578125,1.140625,ForecastPage,7
1723054789.8125,1.0,ForecastPage,7
1723054790.703125,0.890625,ForecastPage,7
1723054791.890625,1.1875,ForecastPage,7
1723054807.9375,1.015625,MarketWaitPage,7
1723054829.875,0.90625,RiskPage2,7
1723054830.84375,0.96875,RiskPage2,7
1723054847.546875,0.984375,PreMarketWait,8
1723054848.53125,0.984375,PreMarketWait,8
1723054858.25,0.96875,MarketGridChoice,8
1723054866.96875,0.8125,MarketGridChoice,8
1723054867.96875,1.0,MarketGridChoice,8
1723055178.265625,0.4375,RoundResultsPage,10
1723055248.6875,0.96875,MarketGridChoice,11
1723055249.671875,0.984375,MarketGridChoice,11
1723055250.65625,0.984375,MarketGridChoice,11
1723055263.125,0.84375,ForecastPage,11
1723055264.03125,0.90625,ForecastPage,11
1723055265.0,0.96875,ForecastPage,11
1723055265.9375,0.9375,ForecastPage,11
1723055266.90625,0.96875,ForecastPage,11
1723055267.828125,0.921875,ForecastPage,11
1723055268.90625,1.078125,ForecastPage,11
1723055269.984375,1.078125,ForecastPage,11
1723055271.0,1.015625,ForecastPage,11
1723055272.015625,1.015625,ForecastPage,11
1723055272.953125,0.9375,ForecastPage,11
1723055273.96875,1.015625,ForecastPage,11
1723055274.953125,0.984375,ForecastPage,11
1723055275.90625,0.953125,ForecastPage,11
1723055276.921875,1.015625,ForecastPage,11
1723055295.34375,0.96875,MarketWaitPage,11
1723055343.671875,0.984375,PreMarketWait,12
1723055344.9375,1.265625,PreMarketWait,12
1723055373.34375,1.046875,ForecastPage,12
1723055374.421875,1.078125,ForecastPage,12
1723055381.375,0.90625,ForecastPage,12
1723055382.453125,1.078125,ForecastPage,12
1723055383.484375,1.03125,ForecastPage,12
1723055384.421875,0.9375,ForecastPage,12
