time,value,page,rnd
1721412629.671875,0.671875,ConsentWaitPage,-2
1721412640.90625,0.703125,ConsentWaitPage,-2
1721412641.609375,0.703125,ConsentWaitPage,-2
1721412642.328125,0.71875,ConsentWaitPage,-2
1721412643.0625,0.734375,ConsentWaitPage,-2
1721412643.765625,0.703125,ConsentWaitPage,-2
1721412644.4375,0.671875,ConsentWaitPage,-2
1721412645.125,0.6875,ConsentWaitPage,-2
1721412645.796875,0.671875,ConsentWaitPage,-2
1721412646.5,0.703125,ConsentWaitPage,-2
1721412647.234375,0.734375,ConsentWaitPage,-2
1721412647.984375,0.75,ConsentWaitPage,-2
1721412658.25,0.671875,PreMarketWait,1
1721412658.90625,0.65625,PreMarketWait,1
1721412659.578125,0.671875,PreMarketWait,1
1721412660.28125,0.703125,PreMarketWait,1
1721412664.015625,0.6875,PreMarketWait,1
1721412664.703125,0.6875,PreMarketWait,1
1721412665.4375,0.734375,PreMarketWait,1
1721412683.296875,0.6875,PreMarketWait,1
1721412684.0,0.703125,PreMarketWait,1
1721412684.734375,0.734375,PreMarketWait,1
1721412685.484375,0.75,PreMarketWait,1
1721412686.234375,0.75,PreMarketWait,1
1721412687.015625,0.78125,PreMarketWait,1
1721412687.78125,0.765625,PreMarketWait,1
1721412688.546875,0.765625,PreMarketWait,1
1721412689.28125,0.734375,PreMarketWait,1
1721412689.984375,0.703125,PreMarketWait,1
1721412690.703125,0.71875,PreMarketWait,1
1721412691.4375,0.734375,PreMarketWait,1
1721412692.1875,0.75,PreMarketWait,1
1721412692.9375,0.75,PreMarketWait,1
1721412693.703125,0.765625,PreMarketWait,1
1721412694.46875,0.765625,PreMarketWait,1
1721412695.25,0.78125,PreMarketWait,1
1721412696.0,0.75,PreMarketWait,1
1721412696.71875,0.71875,PreMarketWait,1
1721412697.4375,0.71875,PreMarketWait,1
1721412698.15625,0.71875,PreMarketWait,1
1721412698.90625,0.75,PreMarketWait,1
1721412699.65625,0.75,PreMarketWait,1
1721412700.40625,0.75,PreMarketWait,1
1721412701.125,0.71875,PreMarketWait,1
1721412701.890625,0.765625,PreMarketWait,1
1721412702.578125,0.6875,PreMarketWait,1
1721412703.265625,0.6875,PreMarketWait,1
1721412703.90625,0.640625,PreMarketWait,1
1721412704.546875,0.640625,PreMarketWait,1
1721412705.1875,0.640625,PreMarketWait,1
1721412705.828125,0.640625,PreMarketWait,1
1721412706.53125,0.703125,PreMarketWait,1
1721412707.234375,0.703125,PreMarketWait,1
1721412710.515625,0.6875,PreMarketWait,1
1721412711.21875,0.703125,PreMarketWait,1
