session,sess_date,n,flt,rad,bias,disp,pa,dur,peak_price,peak_round
n9slx1c3,2024-09-30,10,40.0,0.14434523809523808,2.5454545454545454,84.0,5.0,3,19.0,9
91yoqr0i,2024-09-30,10,40.0,0.3314732142857143,5.151515151515151,170.0,8.0,7,22.0,17
tnrp4x8n,2024-09-30,10,40.0,0.5410714285714285,8.090909090909092,267.0,11.5,9,26.5,23
8t7646lt,2024-10-01,10,40.0,0.5714285714285714,7.151515151515151,236.0,11.0,11,25.5,23
dydjaml1,2024-10-12,20,80.0,0.5569908814589666,8.893939393939394,293.5,16.0,13,31.0,20
wjsiy4f2,2024-10-13,20,80.0,0.06318681318681318,0.5,20.5,2.0,1,15.0,8
ca3g7jh7,2024-10-13,20,80.0,0.008403361344537815,0.045454545454545456,5.5,1.5,1,14.5,1
n4tf4zjp,2024-10-13,20,80.0,0.05742296918767507,0.7424242424242424,24.5,1.0,1,15.0,1
q6j65aev,2024-10-24,20,80.0,0.024553571428571425,0.3484848484848485,13.5,1.5,1,15.0,4
eofp88wq,2024-11-11,5,20.0,0.0625,-1.0303030303030303,34.0,2.5,2,14.0,-2
6xlh0ljt,2024-11-14,20,80.0,0.04945054945054945,0.5909090909090909,20.5,1.5,1,15.0,-1
f4sjyk8e,2024-11-18,20,80.0,0.06373626373626373,0.8181818181818182,27.0,1.0,1,15.0,-1
gkbl9ud8,2024-11-19,20,80.0,,-0.8484848484848485,28.0,2.0,2,14.0,-2
mrjdikm4,2024-11-21,20,80.0,2.357142857142857,27.0,891.0,54.0,2,70.0,30
ne4pwggz,2025-01-06,20,80.0,0.28174603174603174,3.8636363636363638,127.5,5.0,2,20.5,29
hrei2bal,2025-01-06,20,80.0,0.3806122448979592,5.242424242424242,173.0,8.0,2,23.0,30
iej4b858,2025-01-07,20,80.0,0.21085164835164835,-1.0757575757575757,42.5,8.0,2,15.0,0
u36f2qv3,2025-01-07,20,80.0,0.11478696741854637,-0.4696969696969697,43.5,5.0,1,16.0,-1
1vpzr064,2025-01-09,20,80.0,0.13509953161592503,-0.9848484848484849,42.5,5.0,2,15.0,-1
rh51vc2x,2025-01-10,20,80.0,0.046723952738990326,0.7272727272727273,24.0,1.5,2,15.5,2
o053dd6l,2025-01-11,20,80.0,0.05917159763313609,0.7878787878787878,26.0,1.0,1,15.0,1
strhps7i,2025-01-11,20,80.0,0.05459183673469387,0.7575757575757576,25.0,1.0,2,15.0,2
k5fe3pel,2025-01-11,20,80.0,,0.0,0.0,0.0,0,14.0,-2
fsx0h5fb,2025-01-11,20,80.0,,0.0,0.0,0.0,0,14.0,-2
2d2ckysg,2025-01-11,20,80.0,,0.0,0.0,0.0,0,14.0,-2
newmfpwu,2025-01-11,20,80.0,0.20768633540372672,2.0606060606060606,102.0,8.0,4,20.0,10
qovurr4n,2025-01-11,20,80.0,0.04707792207792208,0.3181818181818182,20.5,2.0,1,15.0,0
v75bhhk5,2025-01-11,20,80.0,0.10874799357945424,0.7121212121212122,46.5,4.0,2,16.0,8
hd5e6kig,2025-01-11,20,80.0,0.24185463659147868,3.287878787878788,108.5,4.5,2,18.5,22
7q3yvb8o,2025-01-13,20,80.0,0.05714285714285714,0.7424242424242424,24.5,2.0,1,16.0,23
czji0zow,2025-01-13,20,80.0,,0.0,0.0,0.0,0,14.0,-2
8l7rnwu8,2025-01-13,20,80.0,0.08154761904761904,1.5757575757575757,52.0,2.0,1,16.0,2
0ry2mwqc,2025-01-13,20,80.0,0.04554170661553212,0.4696969696969697,22.5,2.0,1,15.0,2
uo4ihlcd,2025-01-16,24,96.0,0.13988095238095238,3.212121212121212,106.0,6.0,2,20.0,14
